This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200302   ,0.63   ,0.82  ,-0.04  ,-2.70  ,-1.52  ,-1.91
200303  ,-0.96  ,-0.95  ,-0.86  ,-3.05  ,-1.57  ,-1.07
200304   ,6.62   ,7.93   ,8.44  ,11.73   ,9.18   ,8.89
200305   ,9.26   ,8.03   ,9.73   ,7.95   ,6.86   ,6.22
200306   ,5.32   ,5.05   ,5.28   ,1.39   ,3.18   ,2.62
200307   ,4.04   ,3.12   ,3.49   ,5.69   ,2.02  ,-0.13
200308   ,6.66   ,5.43   ,5.59   ,3.64   ,2.38   ,2.78
200309   ,6.34   ,6.84   ,8.15   ,4.51   ,3.55   ,3.47
200310   ,6.34   ,5.90   ,6.96   ,8.44   ,5.65   ,4.07
200311   ,0.55   ,0.24   ,0.09   ,1.51   ,2.78   ,2.33
200312   ,5.15   ,5.81   ,5.73   ,6.34   ,7.41   ,6.99
200401   ,6.27   ,5.09   ,5.55   ,3.83   ,1.77   ,1.49
200402   ,2.94   ,2.79   ,3.52   ,2.00   ,2.58   ,2.41
200403   ,4.00   ,5.06   ,6.09   ,0.41   ,0.86   ,0.47
200404  ,-3.60  ,-1.74  ,-0.68  ,-3.52  ,-2.36  ,-2.74
200405  ,-1.74  ,-1.68  ,-1.58  ,-0.08   ,0.74   ,0.72
200406   ,3.55   ,5.13   ,6.29   ,2.49   ,2.47   ,2.81
200407  ,-4.15  ,-3.64  ,-3.14  ,-4.71  ,-2.87  ,-3.07
200408   ,0.60   ,0.76   ,1.16   ,1.32   ,0.60   ,0.80
200409   ,2.59   ,2.04   ,2.93   ,2.79   ,2.88   ,2.75
200410   ,3.73   ,3.54   ,4.42   ,4.00   ,3.76   ,3.96
200411   ,7.56   ,6.69   ,6.15   ,8.03   ,5.60   ,5.59
200412   ,4.28   ,4.39   ,4.23   ,3.97   ,4.68   ,4.04
200501   ,2.29   ,2.77   ,3.21  ,-1.96  ,-1.63  ,-1.25
200502   ,4.90   ,4.63   ,4.39   ,2.95   ,4.03   ,4.61
200503  ,-1.36  ,-1.12  ,-1.54  ,-1.81  ,-2.18  ,-1.77
200504  ,-1.73  ,-1.92  ,-2.86  ,-2.75  ,-2.58  ,-1.93
200505  ,-2.02  ,-1.65  ,-1.37   ,0.30  ,-0.03  ,-0.22
200506   ,2.72   ,3.09   ,3.02   ,1.03   ,1.97   ,2.66
200507   ,3.60   ,3.12   ,3.84   ,3.66   ,3.28   ,3.37
200508   ,3.82   ,2.89   ,3.99   ,3.93   ,2.51   ,4.04
200509   ,2.99   ,2.44   ,2.31   ,3.65   ,3.72   ,4.30
200510  ,-2.38  ,-1.74  ,-1.74  ,-2.22  ,-2.33  ,-4.42
200511   ,1.97   ,2.46   ,2.56   ,2.06   ,3.48   ,1.68
200512   ,6.85   ,7.51   ,7.75   ,5.72   ,5.20   ,4.90
200601   ,7.64   ,6.31   ,5.98   ,6.18   ,6.03   ,5.96
200602  ,-0.43  ,-1.08  ,-0.87   ,0.40   ,0.86  ,-1.26
200603   ,4.92   ,4.16   ,3.86   ,4.33   ,3.20   ,3.62
200604   ,5.46   ,4.78   ,4.91   ,4.11   ,4.95   ,5.39
200605  ,-5.73  ,-5.52  ,-4.83  ,-4.67  ,-4.20  ,-3.57
200606  ,-2.88  ,-1.96  ,-2.49  ,-0.15  ,-0.30  ,-0.03
200607  ,-1.61  ,-1.70  ,-2.56   ,1.02   ,0.92   ,0.64
200608   ,2.40   ,2.70   ,3.20   ,2.90   ,3.71   ,2.07
200609  ,-1.13  ,-0.75  ,-0.08   ,0.37   ,1.14  ,-0.97
200610   ,3.38   ,3.20   ,3.51   ,3.16   ,3.74   ,4.77
200611   ,3.28   ,3.26   ,3.20   ,3.90   ,2.49   ,3.38
200612   ,2.48   ,2.46   ,3.58   ,3.04   ,3.74   ,2.60
200701   ,2.93   ,2.86   ,2.76   ,1.93   ,1.11   ,0.11
200702   ,2.12   ,2.48   ,1.79   ,0.74   ,0.19   ,1.41
200703   ,3.47   ,3.05   ,2.27   ,2.20   ,2.50   ,3.88
200704   ,4.50   ,4.42   ,3.46   ,3.81   ,4.76   ,3.95
200705   ,1.90   ,1.91   ,1.62   ,2.62   ,1.51   ,3.10
200706   ,1.69   ,1.74   ,1.47  ,-0.74  ,-0.82   ,2.08
200707   ,0.85   ,0.80   ,0.20  ,-1.61  ,-1.04  ,-1.10
200708  ,-6.91  ,-5.33  ,-5.95  ,-2.42  ,-2.02  ,-0.89
200709   ,4.16   ,2.74   ,3.70   ,6.99   ,4.55   ,6.80
200710   ,4.61   ,4.20   ,5.99   ,5.01   ,3.82   ,5.42
200711  ,-7.24  ,-6.98  ,-7.73  ,-4.89  ,-3.63  ,-3.83
200712  ,-2.24  ,-2.22  ,-3.50  ,-1.60  ,-1.56  ,-1.98
200801  ,-8.62  ,-9.17 ,-10.05  ,-8.15  ,-8.25  ,-9.12
200802   ,4.41   ,3.97   ,4.46   ,1.51   ,1.52   ,2.86
200803  ,-3.12  ,-1.36  ,-2.60  ,-0.74  ,-0.61  ,-2.31
200804   ,2.17   ,2.08   ,2.98   ,4.64   ,4.77   ,7.23
200805   ,3.55   ,2.50   ,2.72   ,1.44   ,0.88   ,3.17
200806  ,-5.62  ,-5.95  ,-7.40  ,-8.31  ,-8.35  ,-7.30
200807  ,-6.11  ,-4.59  ,-4.73  ,-3.79  ,-2.12  ,-5.29
