This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201310  -0.94   0.14   0.08  -0.89   0.78  -1.37
201311  -2.20  -0.79  -0.75   1.45   1.48   0.99
201312   2.12   0.65   1.18   0.65   0.52   1.45
201401   3.02   2.50   1.96  -3.54  -2.56  -4.14
201402  -4.16  -2.11  -2.17  -0.18  -0.23  -0.60
201403  -1.97   1.36   0.75  -0.37  -2.11  -1.16
201404  -2.49  -1.60  -2.12  -2.47  -2.37  -2.31
201405   4.98   2.33   1.76   3.60   4.10   4.24
201406  10.06   7.36   7.84   4.50   5.59   6.60
201407   0.66   1.17   1.10   1.05   0.78   0.11
201408  -0.46   0.93   0.87  -2.41  -2.27  -2.02
201409  -3.42  -2.54  -1.97   0.01  -0.95  -2.05
201410  -6.30  -4.42  -3.90  -0.43  -2.22  -3.03
201411  -0.17  -1.88  -1.82  -0.75   0.86   0.00
201412  -0.89   1.35   1.68  -1.92  -0.47  -0.77
201501   3.12   2.18   2.56   2.52   3.22   2.61
201502   1.38   2.23   2.03   5.69   4.35   8.93
201503   2.98   2.52   0.93   3.54   1.99  -0.66
201504   2.38   2.53   3.26   1.63   3.24   7.19
201505  -0.38   0.39  -0.62  -0.04   1.09   2.66
201506   5.27   1.42   1.82  -0.50  -1.10  -1.53
201507   2.14   0.14  -0.87   0.85   1.31   0.78
201508  -6.72  -1.36  -2.65  -5.10  -5.66  -5.89
201509  -4.38  -3.86  -2.90  -8.02  -5.02  -6.82
201510   2.37   6.56   5.18  10.63   9.11   9.58
201511   2.87   2.03   1.32   1.33  -0.79  -2.07
201512   2.12   1.18   0.43  -0.10   0.70   0.47
201601  -7.20  -6.99  -7.13  -7.41  -6.36 -10.01
201602   1.99  -0.09  -1.82   0.85  -2.74  -5.24
201603  11.99   7.60   6.20   5.07   4.33   4.91
201604   5.00   4.47   4.27   5.90   4.08   6.17
201605   0.28  -0.51  -0.70  -0.87  -1.03  -1.51
201606   0.78  -1.33  -0.92  -0.45  -2.83  -5.86
201607   1.26   6.54   8.42   3.81   7.59   9.52
201608  -3.82  -3.30  -2.21  -4.14  -1.17   3.44
201609   8.17   6.43   5.08   3.97   2.53   0.04
201610   0.19   1.85   3.52   0.11   1.19   3.93
201611  -7.58  -5.23  -2.94  -7.06  -4.21   0.91
201612   1.05   1.47   2.48   0.81   1.16   2.06
