This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
20141105  ,-0.27  ,-0.10  ,-0.08   ,0.42   ,0.67   ,0.33
20141106  ,-0.27  ,-0.30  ,-0.35  ,-0.23  ,-0.09   ,0.08
20141107   ,0.64   ,0.56   ,0.51   ,0.24   ,0.23   ,0.28
20141110   ,0.23   ,0.22   ,0.19   ,0.31   ,0.22   ,0.28
20141111   ,0.13   ,0.22   ,0.13   ,0.32   ,0.32   ,0.46
20141112   ,0.04  ,-0.03   ,0.00  ,-0.47  ,-0.29  ,-0.20
20141113  ,-0.45  ,-0.36  ,-0.34  ,-0.03   ,0.03   ,0.43
20141114   ,0.28   ,0.05   ,0.24   ,0.35   ,0.21   ,0.18
20141117  ,-0.96  ,-1.00  ,-0.94  ,-0.30  ,-0.32  ,-0.35
20141118   ,0.88   ,0.66   ,0.76   ,0.89   ,0.80   ,0.79
20141119  ,-0.87  ,-0.67  ,-0.47  ,-0.24  ,-0.16  ,-0.16
20141120   ,0.57   ,0.29   ,0.43  ,-0.18   ,0.12   ,0.12
20141121   ,0.35   ,0.26   ,0.33   ,0.74   ,0.59   ,0.51
20141124   ,0.63   ,0.47   ,0.37   ,0.47   ,0.14   ,0.40
20141125   ,0.14   ,0.16   ,0.25   ,0.29   ,0.15   ,0.02
20141126   ,0.32   ,0.29   ,0.24   ,0.14   ,0.24   ,0.33
20141127  ,-0.42  ,-0.33  ,-0.30  ,-0.08  ,-0.26  ,-0.11
20141128  ,-0.98  ,-0.82  ,-0.64  ,-0.38  ,-0.59  ,-0.11
20141201  ,-0.92  ,-0.72  ,-0.53  ,-0.76  ,-0.30  ,-0.60
20141202   ,0.37   ,0.22  ,-0.01   ,0.40   ,0.28   ,0.10
20141203   ,0.30   ,0.29   ,0.20   ,0.47   ,0.29   ,0.03
20141204  ,-0.07   ,0.00  ,-0.02  ,-0.42  ,-0.15  ,-0.15
20141205   ,0.18  ,-0.11  ,-0.20   ,0.63   ,0.08   ,0.06
20141208  ,-0.63  ,-0.42  ,-0.45  ,-0.55  ,-0.66  ,-0.69
20141209   ,0.55   ,0.31  ,-0.10  ,-0.66  ,-0.30  ,-0.50
20141210  ,-0.84  ,-0.70  ,-0.38  ,-1.09  ,-1.14  ,-1.00
20141211  ,-0.39  ,-0.36  ,-0.30  ,-0.11  ,-0.01   ,0.13
20141212  ,-0.71  ,-0.78  ,-0.60  ,-1.58  ,-1.49  ,-1.45
20141215  ,-1.10  ,-0.68  ,-0.55  ,-1.51  ,-1.10  ,-0.93
20141216  ,-0.08   ,0.01  ,-0.01   ,0.24   ,0.15  ,-0.14
20141217   ,0.86   ,0.32   ,0.07   ,0.66   ,0.84   ,0.67
20141218   ,1.51   ,1.25   ,1.29   ,2.22   ,2.02   ,2.43
20141219   ,0.44   ,0.45   ,0.51   ,0.47   ,0.76   ,0.24
20141222   ,0.01   ,0.18   ,0.20   ,0.17   ,0.36   ,0.35
20141223  ,-0.35   ,0.05  ,-0.03   ,0.28   ,0.12   ,0.02
20141224   ,0.52   ,0.44   ,0.41   ,0.12   ,0.26   ,0.15
20141225   ,0.03   ,0.01   ,0.01   ,0.03   ,0.05   ,0.04
20141226   ,0.40   ,0.31   ,0.35   ,0.08   ,0.09   ,0.17
20141229   ,0.15   ,0.29   ,0.18   ,0.01   ,0.11   ,0.09
20141230   ,0.12   ,0.08   ,0.12  ,-0.44  ,-0.55  ,-0.62
20141231  ,-0.08  ,-0.25  ,-0.08  ,-0.49  ,-0.60  ,-0.62
20150101   ,0.02   ,0.02   ,0.02   ,0.02   ,0.02   ,0.02
20150102  ,-0.36  ,-0.64  ,-0.63  ,-0.33  ,-0.47  ,-0.57
20150105  ,-0.78  ,-0.74  ,-0.56  ,-2.16  ,-1.87  ,-1.65
20150106  ,-1.29  ,-1.29  ,-1.26  ,-1.54  ,-1.00  ,-1.00
20150107   ,0.27   ,0.03   ,0.03   ,0.32   ,0.49   ,0.87
20150108   ,0.97   ,0.98   ,0.99   ,1.69   ,1.72   ,1.88
20150109  ,-0.04   ,0.02   ,0.07  ,-0.86  ,-0.46  ,-0.40
20150112  ,-0.27  ,-0.34  ,-0.24  ,-0.24  ,-0.49  ,-0.34
20150113  ,-0.29   ,0.15   ,0.23   ,0.02   ,0.11   ,0.19
20150114  ,-0.55  ,-0.35  ,-0.34  ,-1.17  ,-0.67  ,-0.67
20150115  ,-0.14   ,0.16   ,0.11  ,-0.31   ,0.46   ,0.11
20150116   ,0.23  ,-0.19  ,-0.25   ,0.45   ,0.44   ,0.55
20150119   ,0.12   ,0.20   ,0.20   ,0.36   ,0.26   ,0.19
20150120  ,-0.13  ,-0.26  ,-0.31   ,0.22   ,0.07   ,0.30
20150121  ,-0.21   ,0.13   ,0.25   ,0.67   ,0.67   ,0.52
20150122   ,0.43   ,0.11  ,-0.03   ,0.97   ,0.57   ,0.64
20150123   ,0.04   ,0.18   ,0.27  ,-0.21   ,0.03   ,0.04
20150126   ,0.56   ,0.35   ,0.47   ,0.47   ,0.39   ,0.37
20150127   ,0.37   ,0.44   ,0.52  ,-0.16  ,-0.11  ,-0.64
20150128  ,-0.85  ,-0.58  ,-0.45  ,-1.32  ,-1.18  ,-0.63
20150129   ,0.03  ,-0.13  ,-0.21   ,0.31   ,0.09   ,0.67
20150130  ,-0.38  ,-0.32  ,-0.10  ,-0.80  ,-0.74  ,-0.87
20150202   ,0.42   ,0.53   ,0.45   ,1.01   ,0.93   ,0.90
20150203   ,1.01   ,1.12   ,0.90   ,1.69   ,1.43   ,1.26
20150204  ,-0.07  ,-0.07   ,0.14  ,-0.32  ,-0.16  ,-0.23
20150205   ,1.03   ,0.93   ,0.86   ,0.96   ,0.93   ,0.87
20150206  ,-0.52  ,-0.42  ,-0.59  ,-0.08  ,-0.64  ,-0.64
20150209  ,-0.17  ,-0.13  ,-0.01  ,-0.53  ,-0.21  ,-0.44
20150210   ,0.15   ,0.13   ,0.24   ,0.57   ,0.59   ,0.87
20150211  ,-0.33  ,-0.43  ,-0.46  ,-0.28  ,-0.20  ,-0.11
20150212   ,1.41   ,1.39   ,1.39   ,1.52   ,1.30   ,1.05
20150213   ,0.58   ,0.41   ,0.44   ,0.84   ,0.47   ,0.51
20150216   ,0.27   ,0.19   ,0.17   ,0.03  ,-0.04  ,-0.07
20150217   ,0.27   ,0.10   ,0.11   ,0.36   ,0.16   ,0.27
20150218   ,0.54   ,0.55   ,0.63   ,0.43   ,0.31   ,0.37
20150219   ,0.10   ,0.19   ,0.10   ,0.09   ,0.05   ,0.07
20150220   ,0.18   ,0.15   ,0.34   ,0.49   ,0.39   ,0.57
20150223  ,-0.03   ,0.01   ,0.04  ,-0.17   ,0.01   ,0.24
20150224   ,0.32   ,0.43   ,0.24   ,0.56   ,0.34   ,0.30
20150225   ,0.51   ,0.43   ,0.34   ,0.16   ,0.21  ,-0.06
20150226   ,0.02  ,-0.14  ,-0.34  ,-0.25  ,-0.24  ,-0.20
20150227  ,-0.10  ,-0.09   ,0.08  ,-0.15  ,-0.05  ,-0.09
20150302   ,0.14  ,-0.01  ,-0.05   ,0.23   ,0.22   ,0.30
20150303  ,-0.40  ,-0.29  ,-0.18  ,-0.47  ,-0.37  ,-0.42
20150304  ,-0.35  ,-0.47  ,-0.39  ,-0.42  ,-0.32  ,-0.46
20150305   ,0.23   ,0.04   ,0.19   ,0.37   ,0.13   ,0.15
20150306  ,-0.97  ,-0.82  ,-0.73  ,-0.94  ,-1.19  ,-1.26
20150309  ,-0.25   ,0.10  ,-0.05   ,0.00   ,0.05  ,-0.01
20150310  ,-1.08  ,-1.15  ,-1.04  ,-1.76  ,-1.64  ,-1.72
20150311   ,0.14  ,-0.12  ,-0.12   ,0.23  ,-0.05  ,-0.27
20150312   ,1.11   ,1.32   ,1.10   ,1.03   ,1.11   ,1.13
20150313  ,-0.30  ,-0.43  ,-0.27  ,-0.61  ,-0.64  ,-0.55
20150316   ,0.45   ,0.47   ,0.26   ,1.15   ,1.25   ,1.12
20150317  ,-0.01   ,0.01  ,-0.10  ,-0.26  ,-0.23  ,-0.13
20150318   ,1.30   ,1.52   ,1.61   ,1.56   ,1.81   ,1.68
20150319  ,-0.43  ,-0.67  ,-0.45  ,-0.93  ,-0.77  ,-0.66
20150320   ,1.06   ,1.35   ,1.40   ,1.40   ,1.32   ,1.30
20150323   ,0.48   ,0.65   ,0.75   ,0.23   ,0.24   ,0.11
20150324   ,0.05   ,0.15   ,0.03  ,-0.15  ,-0.30  ,-0.27
20150325  ,-1.02  ,-0.54  ,-0.60  ,-0.83  ,-0.81  ,-1.09
20150326  ,-0.61  ,-0.74  ,-0.83  ,-0.70  ,-0.73  ,-0.56
20150327   ,0.05   ,0.01   ,0.06   ,0.10   ,0.09   ,0.21
20150330   ,0.41   ,0.26   ,0.10   ,0.85   ,0.72   ,0.66
20150331  ,-0.32  ,-0.13  ,-0.07  ,-0.99  ,-0.83  ,-0.95
20150401   ,0.22  ,-0.05  ,-0.03   ,0.09  ,-0.18  ,-0.12
20150402   ,0.73   ,0.86   ,0.85   ,0.87   ,0.63   ,0.65
20150403   ,0.49   ,0.63   ,0.79   ,0.40   ,0.42   ,0.38
20150406   ,0.00  ,-0.01   ,0.01   ,0.00   ,0.14   ,0.33
20150407  ,-0.11  ,-0.29  ,-0.22   ,0.16   ,0.20   ,0.08
20150408   ,0.77   ,0.84   ,0.88   ,0.21   ,0.20   ,0.32
20150409  ,-0.16  ,-0.20  ,-0.07   ,0.32   ,0.34   ,0.32
20150410   ,0.53   ,0.37   ,0.35   ,0.44   ,0.36   ,0.42
20150413   ,0.42   ,0.29   ,0.10  ,-0.07  ,-0.35  ,-0.34
20150414   ,0.64   ,0.62   ,0.64   ,0.23   ,0.37   ,0.20
20150415   ,0.69   ,0.44   ,0.35   ,0.62   ,0.60   ,0.55
20150416   ,0.44   ,0.31   ,0.15   ,0.07   ,0.09  ,-0.04
20150417  ,-1.01  ,-0.96  ,-1.11  ,-1.14  ,-1.07  ,-1.17
20150420  ,-0.03  ,-0.11  ,-0.29   ,0.23   ,0.40   ,0.64
20150421   ,0.16   ,0.29   ,0.43   ,0.07   ,0.21   ,0.33
20150422   ,0.12   ,0.21   ,0.03   ,0.43   ,0.16   ,0.24
20150423   ,0.66   ,0.42   ,0.53   ,0.44   ,0.44   ,0.43
20150424   ,0.16   ,0.45   ,0.61   ,0.38   ,0.19   ,0.68
20150427  ,-0.14   ,0.15   ,0.19   ,0.12   ,0.19   ,0.18
20150428   ,0.44   ,0.49   ,0.37   ,0.13   ,0.19  ,-0.03
20150429  ,-0.11  ,-0.28  ,-0.37  ,-0.10  ,-0.45  ,-0.67
20150430  ,-1.09  ,-0.89  ,-0.87  ,-0.53  ,-0.83  ,-0.86
20150501  ,-0.20  ,-0.41  ,-0.42   ,0.18   ,0.22   ,0.50
20150504   ,0.47   ,0.35   ,0.36   ,0.40   ,0.35   ,0.18
20150505  ,-0.67  ,-0.42  ,-0.33  ,-0.94  ,-0.84  ,-1.07
20150506   ,0.34   ,0.23   ,0.34   ,0.27  ,-0.08  ,-0.07
20150507  ,-0.37  ,-0.34  ,-0.35   ,0.13  ,-0.22  ,-0.11
20150508   ,0.96   ,0.96   ,1.04   ,1.44   ,1.34   ,1.40
20150511   ,0.33   ,0.29   ,0.39  ,-0.10  ,-0.33  ,-0.27
20150512   ,0.16   ,0.02  ,-0.08  ,-0.24  ,-0.28  ,-0.27
20150513   ,0.65   ,0.80   ,0.84   ,0.57   ,0.50   ,0.34
20150514   ,0.42   ,0.41   ,0.30   ,0.71   ,0.80   ,0.82
20150515   ,0.19   ,0.15   ,0.40   ,0.02   ,0.19   ,0.18
20150518   ,0.41   ,0.07  ,-0.09   ,0.01  ,-0.03   ,0.07
20150519  ,-0.21  ,-0.20  ,-0.29  ,-0.08  ,-0.08  ,-0.24
20150520   ,0.01  ,-0.01   ,0.13   ,0.12  ,-0.07  ,-0.06
20150521   ,0.15   ,0.23   ,0.22   ,0.39   ,0.28   ,0.47
20150522  ,-0.28  ,-0.30  ,-0.31  ,-0.32  ,-0.47  ,-0.41
20150525  ,-0.03  ,-0.03  ,-0.04  ,-0.20  ,-0.05  ,-0.02
20150526  ,-0.93  ,-0.98  ,-1.10  ,-1.17  ,-1.23  ,-1.21
20150527   ,0.56   ,0.42   ,0.41   ,0.86   ,0.72   ,0.86
20150528   ,0.02  ,-0.03  ,-0.16   ,0.02   ,0.00  ,-0.22
20150529   ,0.02  ,-0.17  ,-0.18  ,-0.70  ,-0.62  ,-0.70
20150601   ,0.08  ,-0.05  ,-0.07  ,-0.19  ,-0.20  ,-0.07
20150602   ,0.80   ,0.84   ,0.90   ,0.75   ,0.33   ,0.25
20150603   ,0.56   ,0.54   ,0.38   ,0.69   ,0.34   ,0.37
20150604  ,-0.66  ,-0.60  ,-0.69  ,-0.85  ,-0.85  ,-0.90
20150605  ,-0.25  ,-0.55  ,-0.61  ,-0.64  ,-0.74  ,-0.82
20150608   ,0.14   ,0.16   ,0.21  ,-0.24  ,-0.26  ,-0.20
20150609  ,-0.74  ,-0.62  ,-0.61  ,-0.26  ,-0.28  ,-0.23
20150610   ,1.10   ,1.11   ,1.28   ,1.39   ,1.36   ,1.37
20150611   ,0.25   ,0.22   ,0.30   ,0.18   ,0.22   ,0.30
20150612  ,-0.16  ,-0.08  ,-0.05  ,-0.49  ,-0.68  ,-0.67
20150615  ,-0.45  ,-0.55  ,-0.44  ,-0.70  ,-0.59  ,-0.66
20150616  ,-0.06  ,-0.03   ,0.11   ,0.08   ,0.30   ,0.37
20150617   ,0.28   ,0.30   ,0.23   ,0.04   ,0.18   ,0.24
20150618   ,0.44   ,0.34   ,0.23   ,0.59   ,0.60   ,0.69
20150619   ,0.18   ,0.28   ,0.44  ,-0.12  ,-0.19  ,-0.17
20150622   ,0.51   ,0.35   ,0.46   ,1.34   ,1.05   ,0.99
20150623   ,0.19   ,0.25   ,0.38   ,0.22   ,0.13   ,0.05
20150624  ,-0.29  ,-0.22  ,-0.24  ,-0.44  ,-0.56  ,-0.41
20150625  ,-0.11  ,-0.10  ,-0.10  ,-0.21  ,-0.23  ,-0.19
20150626  ,-0.51  ,-0.32  ,-0.30  ,-0.18  ,-0.23  ,-0.37
20150629  ,-2.11  ,-1.71  ,-1.77  ,-2.36  ,-2.01  ,-2.00
20150630   ,0.40   ,0.16   ,0.34  ,-0.21  ,-0.32  ,-0.24
20150701  ,-0.13   ,0.10   ,0.28   ,0.57   ,0.38   ,0.53
20150702  ,-0.27  ,-0.07  ,-0.05   ,0.06   ,0.13   ,0.10
20150703  ,-0.65  ,-0.41  ,-0.56  ,-0.20  ,-0.13  ,-0.16
20150706  ,-1.50  ,-1.24  ,-1.50  ,-1.32  ,-1.01  ,-0.73
20150707  ,-0.74  ,-0.50  ,-0.13  ,-0.67  ,-0.11   ,0.11
20150708  ,-1.77  ,-1.37  ,-1.57  ,-1.26  ,-1.05  ,-1.21
20150709   ,1.05   ,0.43   ,0.78   ,1.09   ,0.64   ,0.48
20150710   ,1.32   ,0.99   ,1.01   ,1.74   ,1.46   ,1.57
20150713   ,0.87   ,0.68   ,0.83   ,0.96   ,0.71   ,0.92
20150714   ,0.90   ,0.76   ,0.93   ,0.67   ,0.71   ,0.58
20150715  ,-0.53  ,-0.50  ,-0.42   ,0.02  ,-0.22  ,-0.14
20150716   ,0.43   ,0.50   ,0.55   ,0.69   ,0.62   ,0.75
20150717  ,-0.16  ,-0.30  ,-0.10  ,-0.11   ,0.04  ,-0.21
20150720  ,-0.53  ,-0.27  ,-0.01   ,0.00  ,-0.03   ,0.19
20150721   ,0.31   ,0.46   ,0.64   ,0.01  ,-0.11  ,-0.22
20150722  ,-0.36  ,-0.45  ,-0.41  ,-0.28  ,-0.52  ,-0.73
20150723  ,-0.26  ,-0.09  ,-0.05  ,-0.21  ,-0.20  ,-0.19
20150724  ,-1.00  ,-0.81  ,-0.67  ,-0.84  ,-1.04  ,-0.92
20150727  ,-1.19  ,-1.01  ,-1.18  ,-0.94  ,-0.84  ,-0.79
20150728   ,0.56   ,0.50   ,0.49   ,0.82   ,0.90   ,0.98
20150729   ,0.05   ,0.35   ,0.46   ,0.26   ,0.64   ,0.70
20150730  ,-0.07   ,0.18  ,-0.10  ,-0.05   ,0.08   ,0.13
20150731   ,0.54   ,0.54   ,0.46   ,0.15   ,0.19   ,0.33
20150803  ,-0.58  ,-0.36  ,-0.30  ,-0.31  ,-0.14  ,-0.10
20150804  ,-0.25  ,-0.20  ,-0.08  ,-0.43  ,-0.26  ,-0.14
20150805   ,0.14   ,0.20   ,0.20   ,0.69   ,0.39   ,0.54
20150806  ,-0.51  ,-0.20  ,-0.42  ,-0.46  ,-0.47  ,-0.72
20150807  ,-0.33  ,-0.36  ,-0.33  ,-0.31  ,-0.25  ,-0.32
20150810   ,1.09   ,1.09   ,1.16   ,1.17   ,1.11   ,1.25
20150811  ,-0.76  ,-0.65  ,-0.64  ,-1.00  ,-0.99  ,-1.24
20150812  ,-0.27  ,-0.47  ,-0.58  ,-0.75  ,-0.54  ,-0.33
20150813  ,-0.17   ,0.10  ,-0.02   ,0.23   ,0.15   ,0.10
20150814   ,0.11   ,0.12   ,0.35   ,0.12   ,0.08   ,0.14
20150817   ,0.44   ,0.14   ,0.31   ,0.27   ,0.20   ,0.32
20150818  ,-0.66  ,-0.28  ,-0.36  ,-0.26  ,-0.33  ,-0.34
20150819  ,-0.74  ,-0.79  ,-0.92  ,-0.88  ,-0.98  ,-0.79
20150820  ,-1.52  ,-1.34  ,-1.42  ,-2.07  ,-1.68  ,-1.68
20150821  ,-1.23  ,-1.33  ,-1.66  ,-2.34  ,-2.47  ,-2.71
20150824  ,-3.90  ,-3.22  ,-3.81  ,-3.92  ,-3.70  ,-3.40
20150825  ,-0.26  ,-0.18  ,-0.14   ,0.29  ,-0.16  ,-0.29
20150826   ,0.83   ,0.60   ,0.75   ,1.10   ,1.27   ,1.91
20150827   ,1.73   ,1.53   ,1.73   ,2.47   ,2.35   ,2.08
20150828   ,1.34   ,1.18   ,1.14   ,0.54   ,0.48   ,0.26
20150831   ,0.08   ,0.20   ,0.24  ,-0.61  ,-0.54  ,-0.66
20150901  ,-1.90  ,-1.92  ,-2.12  ,-2.68  ,-2.55  ,-2.59
20150902   ,0.10  ,-0.29  ,-0.33   ,0.58   ,0.54   ,1.17
20150903   ,0.08   ,0.40   ,0.46   ,0.54   ,0.60   ,0.44
20150904  ,-0.70  ,-0.98  ,-1.01  ,-1.70  ,-1.67  ,-1.46
20150907  ,-0.08  ,-0.13  ,-0.20   ,0.12   ,0.18   ,0.14
20150908   ,1.07   ,0.73   ,0.72   ,1.64   ,1.62   ,1.89
20150909   ,0.46   ,0.81   ,1.09   ,0.55   ,0.30  ,-0.05
20150910   ,0.01  ,-0.03  ,-0.07  ,-0.26  ,-0.20  ,-0.03
20150911   ,0.28   ,0.17   ,0.47   ,0.04   ,0.04   ,0.21
20150914  ,-0.45  ,-0.41  ,-0.29  ,-0.59  ,-0.46  ,-0.56
20150915   ,0.26   ,0.21   ,0.09   ,0.70   ,0.79   ,0.66
20150916   ,0.70   ,0.82   ,0.95   ,0.95   ,1.40   ,1.08
20150917   ,1.04   ,0.88   ,1.16   ,0.21   ,0.53   ,0.33
20150918  ,-0.88  ,-1.18  ,-1.08  ,-2.14  ,-1.92  ,-1.57
20150921  ,-0.67  ,-0.47  ,-0.52   ,0.02   ,0.07  ,-0.02
20150922  ,-1.18  ,-1.22  ,-1.00  ,-1.81  ,-1.74  ,-1.67
20150923  ,-0.39  ,-0.30  ,-0.40  ,-0.27  ,-0.17  ,-0.26
20150924  ,-0.60  ,-0.76  ,-0.66  ,-0.82  ,-0.85  ,-0.68
20150925  ,-0.50   ,0.31   ,0.28   ,0.91   ,0.59   ,0.52
20150928  ,-1.41  ,-0.82  ,-0.74  ,-2.38  ,-1.96  ,-1.85
20150929  ,-1.31  ,-1.13  ,-1.23  ,-1.00  ,-0.51  ,-0.76
20150930   ,1.37   ,1.20   ,1.45   ,1.99   ,2.01   ,1.86
20151001   ,0.13   ,0.36   ,0.39   ,0.33   ,0.25   ,0.19
20151002   ,1.01   ,0.87   ,0.82   ,1.03   ,1.32   ,1.08
20151005   ,1.62   ,1.68   ,1.70   ,2.12   ,1.97   ,1.84
20151006   ,0.43   ,0.76   ,0.64   ,0.52   ,0.34   ,0.31
20151007   ,1.14   ,0.84   ,0.67   ,0.77   ,0.74   ,0.66
20151008   ,0.39   ,0.49   ,0.34   ,0.38   ,0.72   ,0.69
20151009   ,0.82   ,0.79   ,0.74   ,0.65   ,0.63   ,0.59
20151012  ,-0.10   ,0.04  ,-0.02  ,-0.16  ,-0.03   ,0.05
20151013  ,-0.83  ,-0.72  ,-0.69  ,-0.88  ,-0.61  ,-0.77
20151014  ,-0.11  ,-0.20  ,-0.12  ,-0.35  ,-0.18  ,-0.56
20151015   ,1.39   ,0.96   ,1.14   ,1.40   ,1.16   ,1.10
20151016  ,-0.29  ,-0.43  ,-0.37   ,0.58   ,0.28   ,0.26
20151019  ,-0.13  ,-0.19   ,0.03  ,-0.35  ,-0.23  ,-0.02
20151020  ,-0.10   ,0.06   ,0.11  ,-0.19  ,-0.17  ,-0.05
20151021  ,-0.49  ,-0.26  ,-0.26  ,-0.41  ,-0.27  ,-0.26
20151022  ,-0.18  ,-0.15  ,-0.31   ,0.70   ,0.64   ,1.18
20151023   ,0.57   ,0.36   ,0.58   ,0.93   ,0.95   ,1.24
20151026  ,-0.02   ,0.02   ,0.12  ,-0.09  ,-0.11   ,0.08
20151027  ,-0.85  ,-1.06  ,-0.82  ,-0.66  ,-0.56  ,-0.67
20151028   ,0.71   ,0.61   ,0.51   ,1.05   ,0.69   ,0.71
20151029  ,-0.37  ,-0.02  ,-0.02  ,-0.39  ,-0.09   ,0.03
20151030   ,0.22   ,0.37   ,0.39  ,-0.17  ,-0.07  ,-0.04
20151102   ,0.71   ,0.44   ,0.42   ,0.62   ,0.56   ,0.42
20151103   ,0.28   ,0.36   ,0.27  ,-0.09   ,0.42   ,0.20
20151104  ,-0.14  ,-0.34  ,-0.38  ,-0.14  ,-0.29  ,-0.18
20151105  ,-0.14   ,0.05  ,-0.03  ,-0.08  ,-0.18  ,-0.04
20151106   ,0.10  ,-0.30  ,-0.22   ,0.07  ,-0.44  ,-0.43
20151109  ,-0.07  ,-0.21  ,-0.29  ,-0.59  ,-0.60  ,-0.80
20151110  ,-0.35  ,-0.28  ,-0.14   ,0.00   ,0.06  ,-0.15
20151111  ,-0.08   ,0.03   ,0.19   ,0.12   ,0.03   ,0.06
20151112  ,-0.88  ,-0.71  ,-0.63  ,-1.26  ,-0.99  ,-0.96
20151113  ,-0.46  ,-0.64  ,-0.67  ,-0.86  ,-1.04  ,-1.19
20151116  ,-0.14  ,-0.06  ,-0.15   ,0.19   ,0.73   ,0.64
20151117   ,0.18   ,0.25   ,0.46   ,0.42   ,0.57   ,0.54
20151118   ,0.63   ,0.58   ,0.40   ,0.87   ,0.79   ,1.07
20151119   ,0.43   ,0.54   ,0.84   ,0.49   ,0.32   ,0.64
20151120   ,0.05   ,0.12   ,0.30  ,-0.24   ,0.03   ,0.21
20151123   ,0.15   ,0.02   ,0.05  ,-0.24  ,-0.18  ,-0.10
20151124   ,0.34   ,0.32   ,0.41  ,-0.14  ,-0.03  ,-0.24
20151125   ,0.26   ,0.23   ,0.15   ,0.22   ,0.16   ,0.30
20151126   ,0.14   ,0.12   ,0.28   ,0.30   ,0.28   ,0.22
20151127  ,-0.07  ,-0.06  ,-0.15  ,-0.19  ,-0.28  ,-0.12
20151130   ,0.02   ,0.19   ,0.20  ,-0.34  ,-0.25  ,-0.32
20151201   ,0.68   ,0.82   ,0.92   ,1.09   ,1.02   ,0.84
20151202  ,-0.42  ,-0.44  ,-0.14  ,-0.74  ,-0.74  ,-0.60
20151203  ,-0.05   ,0.36   ,0.16  ,-0.65  ,-0.75  ,-0.84
20151204  ,-0.14  ,-0.45  ,-0.40   ,0.47   ,0.37   ,0.80
20151207  ,-0.94  ,-0.70  ,-0.53  ,-0.78  ,-0.51  ,-0.30
20151208  ,-0.56  ,-0.72  ,-0.66  ,-1.13  ,-0.87  ,-0.76
20151209  ,-0.21   ,0.11   ,0.04  ,-0.24  ,-0.19  ,-0.30
20151210  ,-0.34  ,-0.52  ,-0.52  ,-0.29  ,-0.22  ,-0.12
20151211  ,-1.04  ,-0.79  ,-0.98  ,-1.60  ,-1.40  ,-1.59
20151214  ,-0.93  ,-0.88  ,-0.87  ,-0.83  ,-0.46  ,-0.20
20151215   ,0.25   ,0.12  ,-0.02   ,1.22   ,1.02   ,0.61
20151216   ,1.02   ,0.91   ,0.93   ,1.32   ,1.10   ,1.31
20151217  ,-0.31  ,-0.12  ,-0.03  ,-0.54  ,-0.62  ,-0.88
20151218  ,-0.14  ,-0.29  ,-0.17  ,-1.06  ,-1.14  ,-1.29
20151221   ,0.15   ,0.06  ,-0.01   ,0.18   ,0.13   ,0.36
20151222   ,0.56   ,0.57   ,0.41   ,0.68   ,0.68   ,0.65
20151223   ,0.96   ,0.84   ,0.74   ,1.34   ,1.40   ,1.21
20151224   ,0.20   ,0.18  ,-0.11   ,0.18   ,0.08   ,0.06
20151225  ,-0.13  ,-0.13  ,-0.06  ,-0.10  ,-0.07  ,-0.07
20151228  ,-0.06   ,0.11   ,0.07  ,-0.23  ,-0.13  ,-0.13
20151229   ,0.79   ,0.81   ,1.04   ,0.85   ,0.94   ,1.02
20151230  ,-0.22  ,-0.12   ,0.04  ,-0.58  ,-0.50  ,-0.45
20151231  ,-0.49  ,-0.55  ,-0.38  ,-0.68  ,-0.81  ,-0.90
20160101   ,0.02   ,0.03   ,0.02   ,0.02   ,0.02   ,0.02
20160104  ,-1.70  ,-1.61  ,-1.60  ,-2.01  ,-1.89  ,-1.83
20160105  ,-0.20  ,-0.29  ,-0.57  ,-0.09  ,-0.13  ,-0.01
20160106  ,-1.07  ,-0.89  ,-1.01  ,-1.36  ,-1.31  ,-1.12
20160107  ,-1.87  ,-1.46  ,-1.61  ,-2.12  ,-1.79  ,-1.93
20160108  ,-1.00  ,-0.91  ,-0.78  ,-1.19  ,-1.16  ,-0.88
20160111  ,-1.05  ,-0.78  ,-0.77  ,-0.52  ,-0.48  ,-0.14
20160112  ,-0.65  ,-0.65  ,-0.74  ,-0.03   ,0.45   ,0.48
20160113  ,-0.90  ,-0.28  ,-0.10  ,-1.06  ,-0.99  ,-1.44
20160114  ,-0.31  ,-0.83  ,-1.05   ,0.01   ,0.39   ,0.27
20160115  ,-1.41  ,-1.31  ,-1.30  ,-2.12  ,-1.92  ,-1.88
20160118  ,-0.93  ,-1.08  ,-0.96  ,-0.76  ,-0.32  ,-0.25
20160119  ,-0.31   ,0.13   ,0.29   ,0.23   ,0.57   ,0.41
20160120  ,-1.24  ,-1.56  ,-1.85  ,-2.36  ,-1.94  ,-1.59
20160121  ,-0.54  ,-0.45  ,-0.47   ,0.30   ,0.51   ,0.55
20160122   ,2.33   ,2.32   ,2.80   ,2.36   ,2.50   ,2.27
20160125  ,-0.16  ,-0.03   ,0.28  ,-1.28  ,-0.86  ,-0.50
