This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199601   8.57   5.18   5.99   7.86   9.04   7.83   2.82   4.81  11.23   9.31   5.52   5.75   9.58   6.33   8.16   3.76   7.66   5.32  12.42  12.20   4.11   6.04   8.87  10.23  17.80
199602   5.31   1.00   3.61   2.83   4.42   4.17   2.60   1.18   0.86   1.55   2.66  -0.03   0.76   2.87   2.82   1.16  -0.87   6.66   4.18   1.41   2.16   1.36   1.13  -1.13  -3.27
199603   1.69   0.01  -0.75  -1.83  -0.29   1.18  -0.90  -0.82   0.20  -2.69   1.41   0.57   0.09   0.18  -0.91   1.70   0.80   0.45  -0.79  -0.44   0.67  -1.13  -0.80  -0.40  -1.80
199604   3.91   2.40   5.17   1.78   1.97   7.96   1.63   3.15   4.79   2.92   2.77   4.57   1.55   0.57   3.92   2.59   2.08   2.97   0.81   2.64   1.92   3.53   1.60  -0.21   1.55
199605   3.08   2.55   1.84   1.56   4.49   8.91   0.19  -1.64  -0.83   2.59   0.80  -0.62  -0.78   1.35  -0.86  -2.63  -0.33  -0.21  -2.19   2.42  -3.11   3.69   0.57   0.48   3.94
199606  -2.41  -1.77  -1.93  -2.69  -3.12  -3.56  -1.64  -0.66  -3.40   0.17   0.06  -0.84  -1.12  -3.79   0.03  -1.48  -0.50   0.90   2.36  -2.14   0.41  -4.06  -1.86  -1.70  -1.04
199607  -5.71  -3.40  -4.82  -3.87  -6.02  -5.50  -3.90  -4.43  -4.76  -6.02  -4.67  -3.78 -10.21  -3.91  -5.68  -2.16  -4.76  -4.39  -7.56  -5.18  -4.05  -4.76  -5.03  -4.56  -6.13
199608   4.25   3.83   4.93   4.43   3.55   2.98   4.82   5.44   5.04   4.40   1.65   1.82   5.55   3.89   5.32   4.60   0.05   5.46   6.03   4.32   5.91   3.68   4.57   4.55   2.77
199609   3.76   1.79   0.69   4.79   3.35   1.87   1.42   2.57   1.11   2.01   2.87   1.66   3.90   3.19   0.53   4.28   1.91   2.63  -0.84   1.59   4.52   3.89   3.53   3.86  -1.65
199610   5.77   4.17   6.88   4.81   6.55   3.29   7.14   6.84   0.94   5.31   1.45   2.71   1.27   0.00   0.78   4.50  -1.20   3.06   0.99   2.66   4.10   1.95   3.44   1.51   1.40
199611  11.46   5.61   5.10   8.25  11.40   5.75   6.30   6.91   6.87   3.93   7.43   7.52   9.36   6.30   7.51   9.68   6.79   6.56   9.75   3.71  11.72   7.09   6.49   7.35   0.91
199612   0.16   0.02   0.27  -0.11   0.09  -0.11   2.69   0.26  -3.68  -0.89  -1.33   0.90  -3.28   0.78  -1.82   2.66  -0.21  -2.23   0.11   1.44  -0.21   2.29  -1.35   0.43   0.22
199701   0.22   0.67   1.24   1.09  -0.85   1.22   1.13  -1.64   2.25  -1.18   0.67  -1.68  -3.13  -2.03  -1.28  -1.98  -3.37  -2.09  -0.15  -3.59  -4.09  -2.91  -1.76   0.34  -0.17
199702   5.30   8.52   5.04   5.73   6.84   2.20   5.39   3.39   2.70   6.13   1.22   3.77   2.42   2.59   3.51   4.68   1.57   0.69   3.93   4.60   1.44   0.39   1.24  -1.16  -0.94
199703  -1.00  -2.96  -2.02  -0.87  -2.11  -1.03  -3.18  -0.66  -5.26  -2.93  -4.56  -2.61  -2.54  -4.82  -1.43  -3.14  -3.44  -2.34  -6.19  -6.03  -5.72  -4.74  -2.59  -5.79  -7.45
199704   2.43  -0.30   1.21   2.05  -0.56  -1.25   1.15  -0.47  -0.79  -2.65  -0.71   0.38   0.91   0.60  -0.35   1.85  -1.31   2.24  -0.31   0.77   0.40   2.47   2.48  -0.56  -7.93
199705   8.40   1.35   3.39   7.34   4.82   5.76   7.83   2.25   3.88   4.59   4.36   2.42   5.80   8.81   5.76   6.06   1.24   3.85   3.76   7.99   9.56  10.03   7.48   8.42   5.85
199706  -1.67  -0.70  -0.65  -1.87  -2.30   0.16  -1.49  -0.50   1.32   1.38   5.11  -1.13   3.96  10.42   2.39  -1.05   3.41   2.71   2.52  -0.41  -2.39   3.77   6.65   1.13   0.70
199707   4.84   4.54   0.92   0.54   1.67   4.63   2.37   5.02  12.70   7.33   0.51   3.57  -0.54   9.28   1.26  -0.30  -1.12  -0.11   1.12   0.26   0.42  -0.24   1.75   3.42   5.31
199708   2.56   2.98   3.95   1.77   0.82   6.34  -0.63   0.87   7.01  -1.91  -3.09   1.23  -0.76  -0.98  -1.00  -4.98  -1.35  -4.48  -5.50   1.26  -8.18  -4.12 -11.87 -13.32  -9.92
199709  -4.06  -1.60  -4.71  -2.06  -3.54  -2.09  -4.55  -5.96  -2.15  -6.10  -1.61  -2.31  -0.88   0.41  -0.80   2.34   0.18   2.19  -0.03  -1.96   8.30   3.50   5.54   7.87   3.42
199710 -24.52 -15.06 -20.54 -21.55 -23.66 -29.38 -19.88 -22.95 -25.53 -28.76 -19.63 -19.86 -23.71 -25.43 -27.36 -18.23 -23.95 -22.40 -25.89 -25.38 -16.37 -21.47 -22.57 -19.67 -29.91
199711  -5.13  -2.36  -6.37  -8.96  -7.30 -10.19  -4.21  -5.16  -7.15  -6.94  -4.95  -5.32  -4.82  -4.76  -4.63  -2.04  -5.38  -5.60   0.91  -4.30  -0.15   0.50  -1.03   1.39  -1.88
199712  -4.83  -4.19  -8.62  -5.98 -11.81  -5.95  -4.74  -4.97  -5.69  -7.66  -5.17  -3.65  -4.18 -10.84  -7.99  -1.10  -4.63  -4.36  -3.38  -7.25   0.75  -0.18   1.88   0.30  -3.14
199801  -8.92 -10.22  -8.08  -6.92  -8.77 -19.14  -9.07 -11.06 -18.43 -17.14  -8.28  -7.62 -12.03 -20.88 -12.42  -4.77  -8.96  -8.74 -22.09 -13.70  -1.46  -8.32  -6.84  -7.70 -17.01
199802   9.81   6.50  10.89  10.19   6.46  17.18   9.75  13.58  14.54  22.71  13.27  13.59  14.19  23.44  20.36   6.80  14.02  13.85  21.40  13.78   6.02  14.90  12.17   9.79  24.78
199803  -1.96  -0.52   0.41  -1.30  -4.32  -0.85  -5.89   4.84  -1.53  -3.18  -2.58  -2.96  -4.03  -0.14  -3.05  -1.50  -2.11   0.07   0.70  -0.24  -0.92  -1.75   0.42  -3.87  -1.84
199804  -4.31  -4.23  -1.55  -4.40  -2.05  -3.56  -5.90  -2.28  -3.64  -3.90  -2.08  -2.69  -3.83  -7.76  -3.15  -5.72  -5.19  -4.45  -4.09  -1.59  -2.17  -4.89  -6.04  -7.03  -8.05
199805  -8.82  -7.37 -10.74  -9.81  -9.97 -10.71  -8.38  -7.16 -10.07 -13.21  -9.74 -10.51  -8.80 -14.55 -14.18  -6.04 -10.98  -9.87 -12.01 -14.66  -8.36 -10.40 -10.08 -12.10 -14.02
199806 -10.94  -1.38  -7.28 -12.14 -10.70  -8.01 -10.44  -6.61  -6.79 -13.51  -4.86 -10.44 -12.12 -16.24  -9.11  -6.39  -7.89  -7.73  -9.46 -10.67   4.30  -6.70  -5.64  -4.75 -12.63
199807  -1.69   0.32  -4.38  -5.04  -1.84  -7.08  -5.42  -5.68  -8.75  -7.52  -2.55  -4.61  -5.03  -4.39  -6.51  -0.74  -2.05  -1.75  -7.28  -5.06  -2.11  -2.99  -2.34  -4.63  -1.69
199808 -13.69 -11.80 -12.07 -14.30 -16.83 -15.05 -15.46 -16.04 -19.93 -15.39 -16.09 -17.29 -16.18 -15.52 -14.42 -18.87 -21.79 -19.59 -16.61 -14.50 -15.54  -9.30 -12.25 -11.97 -10.16
199809   3.86   3.19   6.59   7.15   6.97   6.24   6.84   8.83  11.64   4.87  11.49   6.88  14.74   8.97   3.92   8.35  11.31   7.80   8.86  10.30   9.20  11.70   9.83  14.15  14.26
199810  10.62  13.64  26.16  20.92  19.74  14.37  22.20  23.98  28.67  20.01  19.80  24.34  22.64  18.88  14.68  25.11  27.12  23.83  23.53  14.59  22.28  16.61  15.18  17.48  19.44
199811   6.86   5.18   3.35   1.36   9.78   7.24   5.04   7.97   8.81   7.43   8.48   8.32   9.72  12.08   9.22   8.62   6.81  12.27  18.70   4.31   6.05   1.89   8.52   2.23   1.07
199812  -1.88  -1.40  -1.43  -6.98  -3.95  -2.71  -2.94  -1.04  -6.47  -7.32  -3.78  -1.71  -0.84  -4.80  -4.79  -4.00  -5.72  -0.74  -4.87   2.32  -0.98  -1.48  -1.25  -3.86  -2.89
199901   2.10   2.20   0.86   1.42   3.99  -2.60  -1.33  -1.23  -3.57  -2.90  -1.98   3.84  -2.96  -6.21   3.93   2.95   2.90  -4.87  -2.91   2.76   3.68   2.73   1.69  -4.52  -1.82
199902  -1.15  -1.70  -1.53  -2.14  -0.20   0.87  -0.74   0.39  -2.80  -2.26  -3.70  -0.24  -1.96  -2.03   1.69  -1.34  -2.40  -4.77   0.60   0.17  -1.48   0.15  -1.08   0.01  -2.54
199903   2.89   2.23   2.35   3.97   5.85   3.34   6.88   3.65   2.96   4.46   5.88   2.03   5.43   7.69   2.35   6.89   7.83   8.80   3.81  12.66  10.60   8.80  10.73   9.36   7.00
199904  20.97  18.39  22.34  24.02  34.08  17.25  24.04  24.11  30.77  17.45  29.77  18.45  19.11  21.53  18.45  15.49  22.95  15.31  16.55  10.42  14.61  18.64  12.44  21.81  13.30
199905   8.57   6.04  11.40  20.12  15.24   2.41   3.09   7.95  15.16   6.74  -2.26   3.29  -2.72  -3.31   9.68  -4.93  -1.08  -1.52   0.38  -0.61  -4.71  -8.77  -6.66  -7.78  -7.10
199906  12.32  12.15  20.25  22.07  20.09  15.66  16.45  10.44  18.57  18.59  21.93   7.99  15.31   9.92  17.03   5.13   8.59   9.75  14.06  16.34   7.21  11.04   5.76  10.04   6.36
199907  -0.80  -2.49  -2.76   1.06  -3.06  -8.14  -9.54  -5.86  -9.91  -3.50  -8.65  -3.19   0.03  -3.72   0.46  -5.86   2.30  -1.70  -2.91   2.42  -3.19   0.90  -3.92  -1.56  -0.49
199908  -4.10  -4.11  -3.55  -2.41  -3.48  -1.61  -3.95  -2.42  -3.52  -3.74  -3.24  -2.18  -3.55  -4.09   1.19  -4.15  -2.85  -1.07  -4.52  -4.93  -0.93  -2.35   1.23  -1.32  -4.25
199909  12.23   2.47   2.14   0.03   9.00   3.15   7.25  -6.23   0.87  -0.65  -0.56  -1.73   1.79  -1.35   3.17  -7.92  -4.07  -3.62   2.27   1.93  -5.91  -4.88  -1.28  -0.94  -1.91
