This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199805  -6.53  -3.02  -5.28  -3.31  -4.02  -4.65  -3.07  -4.12  -3.73  -4.60  -4.31  -4.21  -2.68  -2.61  -3.74  -1.06  -2.55  -2.94  -2.84  -2.62  -6.20  -2.69  -4.95  -7.11  -2.79
199806   1.84   2.04   0.60   0.56   0.38   2.12   3.31   1.01   1.55   1.56   2.20  -1.29   1.56   0.44   0.05  -0.88   0.37   0.26   1.67   3.43  -0.22   1.27   0.70   1.71   0.74
199807  -0.26  -1.58  -3.44  -2.32  -1.92  -3.40  -1.23  -0.58  -2.76  -1.49   0.52   0.48  -0.92  -0.26  -1.67   2.71  -1.18  -2.44  -2.42  -1.22   0.21  -0.99  -4.23  -1.48  -5.99
199808  -9.08  -7.46  -5.57  -7.82  -8.86  -6.26  -9.93  -7.83  -5.92  -9.82  -4.99  -6.82  -5.30  -6.26  -7.78  -3.71  -6.94  -5.54  -5.76  -7.62  -9.65  -7.66  -9.33 -11.51 -13.07
199809  -9.04  -8.29  -5.90  -4.98  -6.67  -5.98  -2.90  -6.18  -5.55  -7.19  -6.23  -2.27  -6.77  -1.99  -5.08  -6.86  -2.65   0.87  -0.53  -7.97  -2.54  -2.45  -2.36  -5.85  -9.97
199810  16.62  10.65  13.25  11.12  14.99  13.59  15.22   8.84  12.71  13.66  15.84  10.52   7.92  11.89  14.42  13.35  14.90  15.55  13.09  20.54  13.69  20.83  21.12  13.06  31.43
199811   7.65   3.46   6.23   4.81   5.66   4.96   1.57   6.29   5.22   9.49   4.19   3.03   5.79   3.88   4.04   3.74   1.89  -0.06   1.38   4.24   4.28   2.13   3.93   9.04   3.03
199812   3.66   5.22   3.03   4.39   2.25   4.02   2.70   4.51   4.32   0.07   5.79   6.24   3.20   4.30   1.33   7.45   3.15   3.82   5.66   4.75   2.44   5.10   1.68   4.76  -1.37
199901  -0.58   0.34  -0.13  -0.06  -1.22   4.87   0.38  -0.91  -0.34  -0.26   3.00   2.32   3.07   1.29   0.80   1.11   2.19   0.27  -0.96   0.22   1.82  -1.11   1.60   4.44   1.93
199902  11.96   2.70  -0.09   2.45   0.96  10.05  -0.04   0.34  -1.02  -2.02   4.54  -2.59  -3.14  -4.26  -3.39  -0.15  -2.74  -4.15  -6.11  -1.64  -1.29  -3.76  -3.48  -3.21  -1.71
199903  24.00  16.55  13.50  15.46  15.53  16.96  14.36  12.11  12.50  14.78  17.67  10.51  11.75   9.42  13.91  22.85   8.16   9.97  11.33  14.70  14.04  11.39  14.15  15.51  24.96
199904  10.59  11.80  10.92  11.25  14.13   7.18   5.82   9.43   9.98  11.58  10.76   7.84   6.42   5.24  10.10   6.57   3.12   1.72   3.41   7.28   3.83   2.69   4.41   3.30  14.56
199905  -1.27  -8.78  -7.52  -6.68  -6.02  -3.80  -4.30  -3.57  -4.88  -5.92  -5.44  -4.59  -2.59  -3.55  -5.49  -7.15  -1.65  -2.17  -2.77  -5.05  -4.60  -4.44  -5.74  -3.78 -10.61
199906  23.58  16.59  26.85  19.98  17.29  43.77  20.04  24.17  15.50  13.29  27.07   9.51  13.53   7.77   9.26  23.20   7.65   5.10   4.41   7.75  12.39   5.53   6.14  14.33  13.20
199907   1.97   3.59  13.08   7.98   9.68   5.28   7.43   5.01   4.82   6.50   6.96   5.91   6.56   6.39   9.22   8.81   9.87   6.70   6.85  10.27  11.74  11.87   7.66  11.51  11.40
