This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
201209    2.27   -0.50    1.11    0.01
201210   -1.90    0.92   -1.65    0.01
201211    1.71   -0.68    0.84    0.01
201212    3.83   -2.72    7.07    0.01
201301    3.78    1.91   -1.10    0.00
201302    2.86    0.48   -0.74    0.00
201303    5.50    4.86   -3.64    0.00
201304    8.95    2.68   -4.30    0.00
201305   -5.30    0.34   -3.22    0.00
201306    0.83   -6.84    3.56    0.00
201307    1.42    3.02   -0.48    0.00
201308   -2.55    0.12    0.61    0.00
201309    8.79    2.43   -0.71    0.00
201310   -0.23    0.25    0.27    0.00
201311    1.08   -2.55    0.50    0.00
201312    0.80    0.44   -0.07    0.00
201401   -2.66    5.90   -0.82    0.00
201402   -0.56   -2.48    0.79    0.00
201403   -1.16    1.26    0.96    0.00
201404   -2.33    0.31    0.27    0.00
201405    3.79   -0.96   -1.29    0.00
201406    5.76    2.86   -0.06    0.00
201407    0.77    0.33   -0.25    0.00
201408   -1.99    2.68    0.86    0.00
201409   -1.05   -1.64   -0.30    0.00
201410   -2.13   -2.98   -0.10    0.00
201411   -0.05   -1.33   -0.45    0.00
201412   -0.85    1.77    1.86    0.00
201501    2.80   -0.16   -0.23    0.00
201502    5.42   -4.44    1.95    0.00
201503    1.90    0.52   -3.12    0.00
201504    3.49   -1.30    3.23    0.00
201505    0.89   -1.44    1.23    0.00
201506   -0.68    3.88   -2.24    0.00
201507    0.92   -0.51   -1.54    0.00
201508   -5.30    1.97    1.64    0.00
201509   -6.21    2.91    1.34    0.00
201510    9.26   -5.07    0.88    0.00
201511   -0.16    2.59   -2.48    0.00
201512    0.42    0.89   -0.57    0.01
201601   -7.58    0.82   -1.27    0.01
201602   -1.94    2.40   -4.95    0.02
201603    5.06    3.82   -2.97    0.02
201604    5.14   -0.80   -0.23    0.01
201605   -1.04    0.83   -0.81    0.01
201606   -2.47    2.56   -3.55    0.02
201607    6.72   -1.57    6.44    0.02
201608   -1.17   -2.49    4.60    0.02
201609    2.67    4.38   -3.51    0.02
201610    1.60    0.11    3.58    0.02
201611   -3.88   -1.80    6.31    0.01
201612    1.35    0.32    1.34    0.03
201701    3.83    2.05   -0.53    0.04
201702    1.13    2.56    0.80    0.04
201703    0.84    1.54   -2.77    0.03
201704    1.25   -1.47    0.33    0.05
201705    2.95    2.75   -6.19    0.06
201706    1.17    1.58    1.24    0.06
201707    2.33    1.80    0.51    0.07
201708    0.30    2.20    0.09    0.09
201709    1.71   -0.28    2.38    0.09
201710    4.12   -1.17   -0.59    0.09
201711    2.60    0.36   -2.28    0.08
201712    1.29    1.89    1.96    0.09
201801    4.41    2.21   -2.86    0.11
201802   -1.44    0.79   -1.82    0.11
201803   -1.49    0.19   -3.70    0.12
201804    0.28   -2.56    4.40    0.14
201805   -1.32    2.04   -5.43    0.14
201806   -2.56   -0.67   -0.66    0.14
201807   -0.13   -1.31    2.28    0.16
201808   -0.43   -0.01   -2.93    0.16
201809    2.78   -2.12    0.90    0.15
201810   -8.82   -0.47    3.90    0.19
201811    0.83    0.80   -3.65    0.18
201812   -7.30   -4.38    4.29    0.19
201901    5.21   -1.02   -1.50    0.21
201902    0.29    2.24   -3.64    0.18
201903    0.17   -0.26   -2.54    0.19
201904    1.21   -0.64   -1.43    0.21
201905   -3.80    0.69   -1.57    0.21
201906    2.51   -0.37    0.10    0.18
201907    0.34    1.44   -2.37    0.19
201908   -1.28   -1.88   -2.38    0.16
201909    3.83   -1.06    3.30    0.18
201910    4.83    0.41    2.42    0.15
201911    0.67    1.53   -1.97    0.12
201912    2.07    0.75    0.94    0.14
202001   -2.05   -1.37   -1.47    0.13
202002  -10.09   -5.21    2.19    0.12
202003   -5.30    1.09   -3.54    0.12
202004    4.96    3.18   -7.00    0.00
202005    6.43    3.66   -7.39    0.01
202006   -0.24    0.77   -3.99    0.01



 Annual Factors: January-December
      Mkt-RF     SMB     HML      RF
1991    0.98    0.50    3.94    5.60
1992  -27.06   -6.63    4.12    3.51
1993   21.57   -6.23    5.40    2.90
1994   18.84    8.16   18.79    3.90
1995   -7.99   -2.77   -4.04    5.60
1996  -21.31   -7.65    7.52    5.21
1997  -33.90  -25.05   -8.72    5.26
1998    2.73    9.41   -1.55    4.86
1999   77.05  -10.37  -65.29    4.68
2000  -38.94   -1.84   38.38    5.89
2001  -32.59    4.09   15.71    3.83
2002   -9.54    2.89   12.69    1.65
2003   40.54   20.50   12.85    1.02
2004   16.13   19.31   11.59    1.20
2005   24.20   13.14    2.30    2.98
2006   -4.80  -21.73   12.96    4.80
2007   -9.79   -7.98    6.19    4.66
2008  -27.49    4.97   18.70    1.60
2009    5.26    1.55   -4.49    0.10
2010   15.87    6.38   -3.04    0.12
2011   -9.93    8.54    6.08    0.04
2012    6.54    1.62    1.12    0.06
2013   28.05    8.31  -11.76    0.02
2014   -2.78    5.41    1.70    0.02
2015   12.43    0.69    0.15    0.02
2016    3.57    8.99    5.22    0.20
2017   26.31   18.02   -6.42    0.80
2018  -15.09   -5.15   -3.53    1.81
2019   17.21    1.89  -12.97    2.14
