This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201109 -16.02 -14.70 -17.95 -12.98 -15.73 -18.54
201110  11.88  10.42  11.19  13.51  15.05  13.25
201111  -5.61  -4.99  -6.67  -4.89  -7.34  -6.50
201112  -2.70  -1.54  -3.56  -1.33  -0.56  -1.30
201201   7.86   7.39   9.55   6.76  10.59  11.79
201202   8.26   8.71   7.82   4.43   5.00   5.22
201203  -1.16   0.04  -3.83   0.13  -2.96  -2.23
201204  -0.37   0.39  -1.94   1.47   1.04   2.14
201205 -11.22  -7.54 -13.63 -11.01 -11.42 -12.18
201206   1.53   1.99   0.27   3.85   5.72   3.41
201207   1.30   2.47   0.16   7.95   5.22   2.51
201208   2.37   2.34   0.92   0.03   0.80   2.55
201209   4.94   6.36   6.13   2.94   4.40   5.55
201210   1.19   2.38   0.31   2.91   1.70   1.14
201211  -0.23   0.10  -0.59   2.93   1.14   2.11
201212   5.23   5.37   3.38   2.16   2.83   2.97
201301   6.28   8.73   6.51   4.42   5.52   5.98
201302   0.73   1.87  -0.71   2.06   1.71  -0.54
201303  -0.86  -0.61  -1.67   2.21  -1.74   0.53
201304  -1.48  -1.68  -4.16   4.85   3.34   0.54
201305  -3.71  -2.19  -3.52  -8.81  -7.68  -1.79
201306  -5.34  -5.84  -8.23  -4.01  -6.35  -7.87
201307   4.84   4.16   6.08   3.40   2.34   5.09
201308   0.74   0.58   0.82   0.05  -1.15   0.90
201309   7.87   6.88   6.62   8.03   5.24   8.21
201310   0.84   1.91   2.31   4.62   3.34   3.36
201311  -1.23  -0.76  -3.95  -2.48  -2.70  -1.03
201312   1.12  -0.67   1.63   0.05  -0.99   0.56
201401  -0.05  -1.14  -1.64  -4.55  -4.96  -4.92
201402   4.21   3.72   3.41   6.37   5.10   6.02
201403   0.37   0.96   1.34   2.27   3.62  -2.14
201404  -2.55   0.00  -2.67   1.45   2.40   1.05
201405   1.98   2.97  -0.36   0.97   2.48   1.38
201406   1.42   1.19   1.55   0.17  -0.24   0.22
201407   5.33   2.93   3.28   2.19   3.36   4.83
201408   1.81   1.94   1.18   0.74  -0.60  -1.34
201409  -4.97  -4.32  -8.15  -6.99  -9.39  -7.74
201410   0.38  -0.57  -1.62   2.67   5.37   2.46
201411  -1.87  -1.29  -2.72  -1.96  -3.72  -1.30
201412  -5.83  -3.94  -4.85  -2.04  -3.40  -2.85
201501  -2.56  -0.31  -1.95   0.50   0.75   0.52
201502   1.32   1.18   3.92   3.68   3.67   1.63
201503   1.41   0.57  -1.59  -2.10  -0.59   0.15
201504  16.84  13.43  18.62   3.64   5.02   7.55
201505   6.29   5.71   7.07  -1.75  -2.17  -5.14
201506  -2.75  -3.06  -5.04  -4.47  -4.18  -5.88
201507 -10.30  -9.37  -9.32  -1.34  -2.20  -5.82
201508 -11.79 -11.18 -12.26 -11.22 -10.90  -9.71
201509   0.99  -0.62  -1.48  -2.66  -3.91  -2.39
