This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
196106  -6.08  -5.60  -4.44  -2.09  -3.22  -3.54
196107   0.78   0.40   1.36   1.54   4.21   3.64
196108   0.62   0.42   0.78   4.12   1.94  -0.41
196109  -4.97  -2.86  -3.09  -1.83  -2.37  -0.69
196110   0.76   3.19   0.55   3.30   2.02   3.32
196111   6.50   4.94   3.15   2.98   4.91   3.82
196112  -1.31  -0.19  -0.36  -2.00   0.52   2.29
196201  -2.24  -0.61   1.65  -5.74  -4.24   0.90
196202   0.08   0.62   1.59   0.91   2.54   0.49
196203  -1.69  -0.22  -1.85  -0.13  -1.06  -0.19
196204 -10.04  -5.79  -5.39  -8.31  -5.29  -5.14
196205 -13.05 -10.26  -7.66 -11.61  -8.32  -4.31
196206 -10.75  -6.70  -6.64 -11.21  -7.61  -5.44
196207   7.71   5.81   3.65   8.62   4.88   3.84
196208   4.21   3.11   1.01   1.47   2.11   0.58
196209  -7.50  -6.33  -6.37  -6.58  -3.33  -4.05
196210  -4.01  -2.61  -1.90   0.48   0.65   0.34
196211  16.36  11.76  12.42  10.84   9.89   8.52
196212  -3.65  -0.57  -2.97   1.12   2.19   0.61
196301   8.09   7.79   9.12   4.38   4.10   7.76
196302  -2.84  -1.94  -0.68  -2.81  -2.49  -2.79
196303   1.09   1.45   1.63   2.40   3.79   4.96
196304   3.14   4.46   3.57   4.50   4.80   5.39
196305   4.06   2.80   3.13   1.82  -0.12   4.07
196306  -1.56  -1.96  -2.15  -2.43  -0.96  -3.31
196307  -1.65  -1.38  -0.72  -0.36   0.02  -0.22
196308   6.01   4.32   2.84   5.68   4.07   5.38
196309  -2.28  -1.84  -0.88  -1.55  -1.39  -1.01
196310   2.60   1.46   1.18   3.17   1.39   6.40
