This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200608   3.77   2.16   1.84   3.20   3.09   1.42
200609  -0.55   0.43  -0.37   1.85   2.85   1.04
200610   5.36   5.38   6.59   3.70   2.93   3.86
200611   2.43   1.69   2.02   2.64   1.79   2.29
200612   0.54   1.13  -0.31   1.49   1.90  -0.10
200701   1.31   1.59   1.99   1.87   1.41   1.78
200702   0.02   0.18   0.02  -0.88  -1.90  -1.53
200703   0.79   1.95   1.73   1.10   0.88   2.00
200704   2.39   2.65   4.77   4.13   4.25   4.84
200705   3.53   4.28   5.51   3.31   4.09   4.49
200706  -0.96  -0.85  -0.32  -1.68  -1.77  -0.80
200707  -5.48  -5.34  -6.04  -4.19  -2.83  -1.65
200708  -0.22   1.80  -2.14   1.09   2.02   0.47
200709   3.70   1.54   2.03   3.94   3.98   4.86
200710   3.44   2.73   2.21   1.45   3.06   2.80
200711  -9.67  -6.64  -8.24  -6.31  -4.45  -4.09
200712   0.44  -0.40   0.72  -1.61  -1.16   1.52
200801  -7.62  -5.91  -6.84  -5.00  -6.08  -6.71
200802  -1.68  -2.11  -1.11  -3.13  -3.53   0.10
200803  -2.16   0.50  -1.20  -1.43  -1.61  -0.20
200804   1.76   4.31   5.25   4.84   4.20   6.11
200805   4.85   4.36   7.25   1.79   1.93   3.21
200806  -8.08  -7.34  -3.86 -10.70  -9.50  -4.26
200807   1.11   1.46   0.32   1.33  -1.31  -3.78
200808   2.25   3.86   3.99  -0.84   1.36   1.41
200809 -10.71  -8.55 -12.29  -8.47 -10.40  -9.67
200810 -22.67 -20.26 -22.66 -21.78 -16.71 -16.92
200811 -11.90 -12.10 -14.08 -12.20  -6.83  -4.74
200812   5.70   4.84   5.96   1.46   0.69   1.37
200901  -8.86 -10.21  -9.63  -9.80  -8.34  -4.99
200902 -11.71 -10.64 -11.42 -10.90 -10.23  -8.77
200903   9.65   8.61  10.12  12.30   7.93   8.08
200904  14.78  17.27  20.48  11.75  10.02   8.70
200905   6.29   3.71   5.94   9.00   6.44   6.13
200906   1.69   0.87  -0.36  -0.82  -0.72   0.38
