This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19910920  -0.04   0.06   0.19   0.56   0.58   0.42
19910923   0.71   0.09   1.07   0.35   0.05  -0.01
19910924   0.06  -0.68  -0.04  -0.38  -0.11  -0.44
19910925  -0.17  -0.27  -0.49  -0.32  -0.09  -0.25
19910926   0.21   0.47   0.22  -0.13   0.34  -0.24
19910927   0.67   1.42   1.04   0.49   0.21   0.20
19910930   0.23  -0.02  -0.95   0.33   0.30   0.73
19911001   0.50  -0.20   0.26   1.51   1.45   1.56
19911002   0.41   0.25   0.66   0.25   0.57   0.24
19911003   0.07  -0.28   0.95  -0.15   0.35   0.24
19911004  -0.49  -0.66  -0.52  -0.62  -0.42  -0.27
19911007   0.36   0.22   0.56   0.10  -0.05  -0.15
19911008  -0.24  -0.21  -0.36  -0.88  -0.22  -0.73
19911009   0.43   0.28   0.14  -0.04   0.34   0.10
19911010  -0.34  -0.03  -0.13  -0.82  -0.58  -0.81
19911011   0.59   0.31   0.53  -0.19  -0.14   0.28
19911014   0.43   0.28   0.73   0.89   0.45   0.77
19911015   0.58   0.69   0.64   1.06   0.67   0.93
19911016   0.13   0.28  -0.16  -0.07  -0.11  -0.19
19911017   0.76   0.80   0.40   1.22   0.60   0.66
19911018   0.78   0.41   0.72   0.19  -0.03   0.61
19911021   0.81   0.27   0.61   0.09   0.36   0.34
19911022  -0.05   0.27   0.41  -0.18  -0.05   0.76
19911023  -0.69  -1.15  -0.89  -0.73  -0.16  -0.48
19911024   1.75   0.84   1.13   0.49   0.02   0.17
19911025   0.33   0.27   1.41  -0.28  -0.40  -0.67
19911028   0.03   0.01   0.10   0.02   0.31  -0.18
19911029   1.02   1.15   1.33   0.64   0.56   0.43
19911030  -0.44   0.33  -0.10   0.20  -0.02   0.55
19911031   1.18   0.87   1.42   1.43   0.47   0.66
19911101   0.07   0.33   0.12  -0.30   0.16   0.28
19911104   0.47   0.31   0.87   0.48   0.87   0.65
19911105  -0.30   0.01  -0.37   0.52   1.03   0.90
19911106   0.55   0.26   0.45  -0.06   0.42   0.01
19911107   0.30   0.19   0.94   0.17   0.57   0.25
19911108   1.45   0.83   0.61   1.08   1.15   0.84
19911111   0.94   0.67   0.83   0.06  -0.04   0.05
19911112   0.23   0.04   0.59  -0.53  -0.08  -0.63
19911113   0.19   0.37   1.11  -0.31  -0.44  -0.75
19911114   0.25  -0.35  -0.56   0.03  -0.42   0.43
