This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201510    ,6.19   ,-2.97   ,-0.77    ,0.00
201511   ,-1.49    ,0.33   ,-2.80    ,0.00
201512   ,-1.86    ,3.77   ,-1.25    ,0.01
201601   ,-6.43   ,-0.76   ,-1.49    ,0.01
201602   ,-1.71    ,1.46    ,0.38    ,0.02
201603    ,6.70    ,1.71    ,1.18    ,0.02
201604    ,2.38   ,-0.64    ,3.35    ,0.01
201605   ,-0.38    ,1.53   ,-2.87    ,0.01
201606   ,-5.01   ,-2.39   ,-1.64    ,0.02
201607    ,4.44    ,1.54    ,0.21    ,0.02
201608    ,0.77    ,1.61    ,1.92    ,0.02
201609    ,0.95    ,0.92   ,-0.14    ,0.02
201610   ,-3.08   ,-0.78    ,6.36    ,0.02
201611   ,-2.50    ,0.89    ,1.92    ,0.01
201612    ,4.72   ,-0.83    ,1.99    ,0.03
201701    ,2.84    ,2.03    ,0.47    ,0.04
201702    ,0.68   ,-0.04   ,-2.60    ,0.04
201703    ,4.27   ,-1.30    ,0.50    ,0.03
201704    ,4.63    ,1.91   ,-1.30    ,0.05
201705    ,5.03    ,0.02   ,-0.79    ,0.06
201706   ,-0.67    ,1.55    ,2.04    ,0.06
201707    ,3.49    ,0.79    ,2.60    ,0.07
201708    ,0.11   ,-0.06   ,-0.70    ,0.09
201709    ,2.72   ,-0.11    ,0.47    ,0.09
201710    ,0.59   ,-0.96   ,-0.12    ,0.09
201711   ,-0.01   ,-0.37    ,1.28    ,0.08
201712    ,1.47    ,1.55    ,0.50    ,0.09
201801    ,5.52    ,0.80    ,1.10    ,0.11
201802   ,-5.35    ,1.22   ,-0.75    ,0.11
201803   ,-0.71   ,-0.56   ,-0.94    ,0.12
201804    ,2.20   ,-0.75    ,1.50    ,0.14
201805   ,-2.73    ,1.23   ,-4.98    ,0.14
201806   ,-0.92   ,-0.84   ,-1.56    ,0.14
201807    ,2.69   ,-1.92    ,0.41    ,0.16
201808   ,-2.65    ,0.87   ,-2.64    ,0.16
201809    ,0.12   ,-1.45    ,2.33    ,0.15
201810   ,-8.54   ,-1.70    ,1.48    ,0.19
201811   ,-1.31   ,-1.18   ,-0.57    ,0.18
201812   ,-4.59   ,-0.67    ,0.95    ,0.19
201901    ,6.19    ,0.60   ,-0.96    ,0.21
201902    ,2.93   ,-1.47   ,-1.22    ,0.18
201903    ,0.58   ,-1.76   ,-2.32    ,0.19
201904    ,3.70    ,0.11   ,-1.05    ,0.21
201905   ,-5.34    ,1.32   ,-1.54    ,0.21
201906    ,5.87   ,-2.64   ,-1.32    ,0.18
201907   ,-2.56   ,-1.28    ,0.04    ,0.19
201908   ,-2.39   ,-0.61   ,-1.91    ,0.16
201909    ,2.15   ,-0.86    ,3.08    ,0.18
201910    ,3.26    ,0.96   ,-0.51    ,0.15
201911    ,1.78    ,2.05   ,-2.29    ,0.12
201912    ,4.07    ,2.79    ,0.40    ,0.14
202001   ,-2.55    ,0.36   ,-2.95    ,0.13
202002   ,-8.94    ,0.24   ,-0.69    ,0.12
202003  ,-15.44   ,-4.32  ,-10.96    ,0.12
202004    ,6.70    ,5.03   ,-3.87    ,0.00
202005    ,5.42    ,1.21   ,-4.12    ,0.01
202006    ,4.03   ,-1.21    ,1.71    ,0.01



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991    ,4.55  ,-10.70   ,-6.87    ,5.60
1992  ,-11.29  ,-11.65   ,-1.31    ,3.51
1993   ,25.52    ,3.42   ,22.25    ,2.90
1994   ,-0.48    ,7.95    ,6.68    ,3.90
1995   ,13.33  ,-10.12   ,-6.66    ,5.60
1996   ,16.52   ,-2.29    ,2.01    ,5.21
1997   ,14.85  ,-13.49   ,12.51    ,5.26
1998   ,20.52  ,-15.51   ,-0.95    ,4.86
1999   ,14.98   ,15.86  ,-23.68    ,4.68
2000  ,-15.86   ,-5.73   ,27.94    ,5.89
2001  ,-24.00    ,0.69   ,25.83    ,3.83
2002  ,-15.76    ,8.03   ,21.32    ,1.65
2003   ,41.66   ,13.95   ,20.39    ,1.02
2004   ,22.60    ,8.59   ,11.18    ,1.20
2005    ,8.82    ,5.79    ,9.63    ,2.98
2006   ,32.19    ,7.55   ,11.07    ,4.80
2007    ,9.70   ,-9.25   ,-0.13    ,4.66
2008  ,-47.45   ,-6.47   ,-3.30    ,1.60
