This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199904  ,12.52   ,8.94  ,14.60  ,17.78
199905   ,5.91   ,5.11   ,8.85  ,11.69
199906  ,13.30  ,11.33  ,16.81  ,19.70
199907   ,4.22  ,-0.15   ,2.89  ,-1.32
199908   ,3.07   ,5.55   ,5.87   ,5.65
199909  ,-4.92  ,-3.91  ,-2.67  ,-5.06
199910   ,7.16   ,5.39   ,3.87   ,2.69
199911  ,10.46   ,8.90   ,4.20   ,2.64
199912   ,7.49  ,11.76   ,8.22   ,7.03
200001   ,6.98   ,2.57   ,8.50   ,7.62
200002   ,6.16   ,5.26   ,2.89   ,2.08
200003   ,3.89  ,-1.11   ,3.16   ,3.61
200004 ,-11.13 ,-12.25  ,-7.43  ,-7.70
200005  ,-3.65  ,-2.66  ,-3.58  ,-4.47
200006  ,-0.80   ,2.21   ,0.20   ,0.25
200007  ,-6.11 ,-10.21  ,-1.77  ,-3.52
200008  ,-0.44   ,0.83   ,1.53   ,1.54
200009  ,-9.78 ,-13.24  ,-7.91  ,-7.68
200010 ,-10.03 ,-13.96  ,-8.42  ,-7.77
200011  ,-5.25  ,-8.18  ,-3.81  ,-3.34
200012  ,-4.22 ,-10.00  ,-1.33  ,-2.73
200101  ,11.35  ,31.25  ,12.78  ,10.62
200102  ,-3.72  ,-4.07   ,0.10  ,-2.20
200103  ,-6.88 ,-11.24  ,-6.89  ,-8.07
200104   ,2.36   ,4.67   ,0.80   ,1.85
