date,recession
01-Mar-1933,1
01-Apr-1933,0
01-May-1933,0
01-Jun-1933,0
01-Jul-1933,0
01-Aug-1933,0
01-Sep-1933,0
01-Oct-1933,0
01-Nov-1933,0
01-Dec-1933,0
01-Jan-1934,0
01-Feb-1934,0
01-Mar-1934,0
01-Apr-1934,0
01-May-1934,0
01-Jun-1934,0
01-Jul-1934,0
01-Aug-1934,0
01-Sep-1934,0
01-Oct-1934,0
01-Nov-1934,0
01-Dec-1934,0
01-Jan-1935,0
01-Feb-1935,0
01-Mar-1935,0
01-Apr-1935,0
01-May-1935,0
01-Jun-1935,0
01-Jul-1935,0
01-Aug-1935,0
01-Sep-1935,0
01-Oct-1935,0
01-Nov-1935,0
01-Dec-1935,0
01-Jan-1936,0
01-Feb-1936,0
01-Mar-1936,0
01-Apr-1936,0
01-May-1936,0
01-Jun-1936,0
01-Jul-1936,0
01-Aug-1936,0
01-Sep-1936,0
01-Oct-1936,0
01-Nov-1936,0
01-Dec-1936,0
01-Jan-1937,0
01-Feb-1937,0
01-Mar-1937,0
01-Apr-1937,0
01-May-1937,0
01-Jun-1937,1
01-Jul-1937,1
01-Aug-1937,1
01-Sep-1937,1
01-Oct-1937,1
01-Nov-1937,1
01-Dec-1937,1
01-Jan-1938,1
01-Feb-1938,1
01-Mar-1938,1
01-Apr-1938,1
01-May-1938,1
01-Jun-1938,1
01-Jul-1938,0
01-Aug-1938,0
01-Sep-1938,0
01-Oct-1938,0
01-Nov-1938,0
01-Dec-1938,0
01-Jan-1939,0
01-Feb-1939,0
01-Mar-1939,0
01-Apr-1939,0
01-May-1939,0
01-Jun-1939,0
01-Jul-1939,0
01-Aug-1939,0
01-Sep-1939,0
01-Oct-1939,0
01-Nov-1939,0
01-Dec-1939,0
01-Jan-1940,0
01-Feb-1940,0
01-Mar-1940,0
01-Apr-1940,0
01-May-1940,0
01-Jun-1940,0
01-Jul-1940,0
01-Aug-1940,0
01-Sep-1940,0
01-Oct-1940,0
01-Nov-1940,0
01-Dec-1940,0
01-Jan-1941,0
01-Feb-1941,0
01-Mar-1941,0
01-Apr-1941,0
01-May-1941,0
01-Jun-1941,0
01-Jul-1941,0
01-Aug-1941,0
01-Sep-1941,0
01-Oct-1941,0
01-Nov-1941,0
01-Dec-1941,0
01-Jan-1942,0
01-Feb-1942,0
01-Mar-1942,0
01-Apr-1942,0
01-May-1942,0
01-Jun-1942,0
01-Jul-1942,0
01-Aug-1942,0
01-Sep-1942,0
01-Oct-1942,0
01-Nov-1942,0
01-Dec-1942,0
01-Jan-1943,0
01-Feb-1943,0
01-Mar-1943,0
01-Apr-1943,0
01-May-1943,0
01-Jun-1943,0
01-Jul-1943,0
01-Aug-1943,0
01-Sep-1943,0
01-Oct-1943,0
01-Nov-1943,0
01-Dec-1943,0
01-Jan-1944,0
01-Feb-1944,0
01-Mar-1944,0
01-Apr-1944,0
01-May-1944,0
01-Jun-1944,0
01-Jul-1944,0
01-Aug-1944,0
01-Sep-1944,0
01-Oct-1944,0
01-Nov-1944,0
01-Dec-1944,0
01-Jan-1945,0
01-Feb-1945,0
01-Mar-1945,1
01-Apr-1945,1
01-May-1945,1
01-Jun-1945,1
01-Jul-1945,1
01-Aug-1945,1
01-Sep-1945,1
01-Oct-1945,1
01-Nov-1945,0
01-Dec-1945,0
01-Jan-1946,0
01-Feb-1946,0
01-Mar-1946,0
01-Apr-1946,0
01-May-1946,0
01-Jun-1946,0
01-Jul-1946,0
01-Aug-1946,0
01-Sep-1946,0
01-Oct-1946,0
01-Nov-1946,0
01-Dec-1946,0
01-Jan-1947,0
01-Feb-1947,0
01-Mar-1947,0
01-Apr-1947,0
01-May-1947,0
01-Jun-1947,0
01-Jul-1947,0
01-Aug-1947,0
01-Sep-1947,0
01-Oct-1947,0
01-Nov-1947,0
01-Dec-1947,0
01-Jan-1948,0
01-Feb-1948,0
01-Mar-1948,0
01-Apr-1948,0
01-May-1948,0
