This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
20040908   0.51   0.71   0.81   0.62   0.50   0.48
20040909   0.04   0.12   0.15  -0.20  -0.42  -0.08
20040910   0.91   0.73   0.86   1.13   0.75   0.68
20040913   0.43   0.36   0.30   1.09   0.78   0.66
20040914   0.18  -0.04   0.03  -0.51  -0.30  -0.13
20040915  -0.82  -0.88  -0.82  -1.12  -0.94  -1.13
20040916   0.51   0.46   0.58   0.87   0.49   0.50
20040917   0.38   0.33   0.27   0.47   0.67   0.65
20040920  -0.12  -0.14  -0.29  -0.49  -0.36  -0.54
20040921   1.32   1.23   1.27   1.50   1.69   1.67
20040922  -0.47  -0.43  -0.39  -0.82  -1.00  -1.12
20040923  -0.26  -0.23  -0.22  -0.41  -0.75  -0.54
20040924   0.16   0.24   0.29   0.17   0.43   0.39
20040927  -0.14  -0.12  -0.12  -0.65  -0.52  -0.11
20040928   0.37   0.36   0.49   0.59   0.71   0.67
20040929   0.23   0.23   0.02   0.66   0.48   0.20
20040930   0.89   1.02   1.01   0.51   0.13   0.27
20041001   0.22   0.15   0.12   1.53   1.32   1.65
20041004  -0.28  -0.41  -0.45   0.06  -0.05  -0.30
20041005   0.29   0.40   0.19   0.20   0.48   0.29
20041006   0.05  -0.19  -0.02  -0.15  -0.22  -0.24
20041007   0.24   0.39   0.36   0.17  -0.19  -0.16
20041008   0.80   0.77   0.95   0.73   0.67   0.66
20041011   0.03  -0.12   0.06  -0.22  -0.21  -0.31
20041012  -0.95  -0.97  -0.92  -1.33  -1.19  -1.19
20041013   0.14   0.02   0.14   0.55   0.14   0.14
20041014   0.05   0.17   0.05  -0.39  -0.11  -0.04
20041015   0.68   0.53   0.70   0.66   0.43   0.64
20041018  -0.05   0.05   0.19   0.10  -0.12  -0.07
20041019   0.33   0.64   0.69   1.02   0.83   1.04
20041020   0.29   0.37   0.50  -0.21  -0.11  -0.02
20041021   0.61   0.59   0.73   0.52   0.48   0.60
20041022   0.63   0.65   0.71   0.41   0.47   0.40
20041025   0.28   0.36   0.40  -0.47  -0.40  -0.53
20041026  -0.14  -0.10  -0.10   0.22  -0.04  -0.15
20041027  -0.07  -0.17  -0.03   0.59   0.55   0.97
20041028   0.43   0.29   0.42   0.77   0.92   0.80
20041029   0.74   0.45   0.49   0.37   0.00   0.11
20041101   0.08  -0.05   0.14   0.39   0.52   0.47
20041102   0.63   0.32   0.39   0.89   0.87   0.60
20041103   0.81   0.98   0.97   0.81   1.05   0.78
20041104   0.34   0.45   0.29   0.06   0.40   0.31
20041105   1.27   1.22   1.18   1.25   1.20   1.20
20041108  -0.09  -0.18   0.00  -0.25  -0.45  -0.42
20041109  -0.07   0.10  -0.04  -0.08  -0.22  -0.20
20041110   0.32   0.23  -0.02  -0.05   0.34   0.11
20041111   0.63   0.60   0.39   0.98   0.84   1.02
20041112   0.88   0.87   0.86   1.18   0.85   0.68
20041115  -0.22  -0.08  -0.07  -0.26  -0.40  -0.42
20041116  -0.02  -0.10   0.01  -0.50  -0.52  -0.36
20041117   1.16   1.09   0.94   1.73   1.32   1.48
20041118  -0.36  -0.39  -0.35  -0.47  -0.56  -0.59
20041119   0.65   0.56   0.36   0.06  -0.09  -0.39
20041122  -0.18  -0.08  -0.08  -0.15  -0.33  -0.26
20041123   0.64   0.72   0.74   0.48   0.31   0.36
20041124   0.95   1.00   0.82   0.89   0.75   0.71
20041125   0.97   0.97   0.88   1.20   1.29   1.38
20041126   0.28   0.28   0.31  -0.06  -0.04   0.00
20041129   0.25   0.06   0.08  -0.02  -0.21   0.11
20041130   0.09   0.15   0.33  -0.19  -0.55  -0.47
20041201   1.02   0.77   1.19   1.64   1.53   1.55
20041202  -0.31  -0.38  -0.30   0.13  -0.19  -0.34
20041203   1.55   1.67   1.53   1.05   1.20   1.03
20041206  -0.36  -0.35  -0.30  -0.55  -0.72  -0.51
20041207   0.38   0.49   0.35   0.37   0.37   0.57
20041208  -0.73  -0.75  -0.74  -0.74  -0.86  -0.70
20041209  -0.59  -0.52  -0.46  -1.17  -0.66  -0.75
20041210  -0.38  -0.52  -0.24  -0.41  -0.25  -0.38
20041213   0.73   0.91   0.88   1.37   1.39   1.38
20041214  -0.02   0.03   0.04  -0.27   0.18  -0.03
20041215   1.15   1.02   1.11   0.69   0.78   0.61
20041216  -0.86  -0.58  -0.54  -0.68  -0.65  -0.67
