This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200810 -21.84 -19.83 -24.51 -16.22 -17.86 -19.83
200811 -11.96 -11.85 -13.27  -5.71  -6.86  -9.61
200812   4.59   4.87   7.01   1.26   0.70   1.62
200901 -10.40 -10.67  -7.31  -7.46  -8.60  -4.55
200902 -12.19 -11.01 -10.74 -10.13 -10.71  -7.19
200903   9.22   9.41   9.76   7.27   8.74  10.58
200904  17.38  16.18  16.19   8.91   9.23  12.17
200905   4.91   3.55   7.59   5.56   6.15   9.49
200906   0.87   1.06   1.67   1.07  -0.98  -0.66
200907  12.41   9.27   9.67   8.03   8.24   7.42
200908   6.04   2.60   2.21   3.97   2.22   2.93
200909   7.61   6.84   7.90   3.14   4.07   5.50
200910  -7.60  -5.33  -5.78  -1.95  -2.77  -2.04
200911   3.47   3.36   4.83   5.52   6.28   6.01
200912   8.77   7.29   7.52   1.50   2.38   3.67
201001  -2.51  -2.97  -3.78  -3.00  -2.88  -5.45
201002   5.45   4.88   4.82   3.13   3.74   3.69
201003   9.10   7.84   6.73   5.91   5.56   6.91
201004   6.60   6.10   4.12   1.57   1.40   1.56
201005  -9.08  -7.06  -7.56  -7.10  -7.39  -9.22
201006  -8.89  -6.94  -6.05  -4.81  -4.76  -6.39
201007   8.02   7.35   5.80   7.88   7.04   6.04
201008  -7.43  -5.92  -5.56  -6.74  -4.04  -2.34
201009  13.70  11.74  12.71   8.78   8.71  10.03
201010   4.58   4.01   4.81   3.87   4.13   3.41
201011   4.34   4.18   4.19   1.02   0.57  -0.18
201012   9.72   7.56   7.90   8.80   6.11   5.64
201101   1.05  -0.18  -0.36   2.61   2.39   1.55
201102   5.62   6.13   5.84   3.49   3.83   4.06
201103   2.55   2.90   1.15   0.16   0.41   0.05
201104   1.81   3.14   3.05   2.11   3.78   2.09
201105  -2.88  -1.99  -2.58  -2.21  -1.07  -1.05
201106  -2.69  -1.41  -2.87  -2.27  -1.22  -2.27
201107  -3.18  -3.16  -2.87  -3.70  -2.68  -0.20
201108  -9.79  -7.63  -8.59  -5.66  -5.62  -5.54
201109 -12.33 -11.09 -13.09  -7.99  -8.68  -7.69
201110  14.50  14.58  14.42  10.74  11.75  11.11
201111  -0.89  -0.18  -2.41  -0.21  -0.22  -0.73
201112   0.79   0.49  -1.13   2.24   0.71  -1.76
201201   7.37   6.22   8.20   3.82   5.32   5.86
201202   3.84   2.93   2.72   4.53   3.69   5.36
201203   2.50   2.14   0.33   3.14   2.07   2.50
201204  -1.26  -1.31  -2.11  -0.21  -0.85  -0.40
201205  -6.24  -6.50  -8.72  -4.70  -7.18  -7.65
201206   4.89   3.85   4.36   4.39   3.29   3.56
201207  -1.45  -0.49  -1.17   1.31   1.45   0.83
201208   3.95   2.60   4.16   2.33   1.87   4.38
201209   3.63   3.72   3.93   3.90   2.36   2.10
201210  -1.55  -0.86  -3.03  -0.68  -0.88  -3.74
201211   1.35   1.02  -0.67   1.02   0.13   1.32
201212   3.62   3.08   3.18   1.51   1.14   0.54
201301   6.31   6.12   5.06   6.60   5.49   3.42
201302   0.43   0.62  -0.48   1.30   1.47   0.02
201303   4.98   4.16   3.89   4.63   3.92   2.00
201304   0.03  -0.98  -2.21   1.32   1.59   1.58
201305   4.07   3.71   4.91   2.01   2.13   3.16
201306  -0.90   0.03  -0.87  -2.15  -0.85  -2.46
201307   8.60   6.56   7.01   5.06   4.94   7.11
201308  -3.21  -2.95  -0.90  -3.05  -3.21  -0.72
201309   5.23   5.57   6.09   2.98   3.46   4.70
201310   3.01   2.88   1.72   4.39   4.12   4.43
201311   4.33   3.51   2.87   2.45   2.89   2.67
201312   2.32   2.11   2.23   2.67   2.17   3.60
201401  -2.34  -4.11  -1.98  -4.38  -3.52  -2.40
201402   4.90   3.98   5.57   4.69   4.28   5.41
201403  -0.17   1.15  -1.61   1.06   2.00  -1.78
201404  -2.76  -2.02  -3.23   1.38   0.46  -0.15
201405   0.14   1.02   0.02   1.22   1.91   3.67
201406   5.39   3.91   7.52   1.51   2.50   3.71
201407  -4.74  -5.29  -7.03  -2.43  -1.98  -0.13
201408   4.66   4.43   4.55   3.84   3.64   4.94
201409  -6.88  -5.90  -5.88  -2.07  -2.37  -1.50
201410   3.03   4.56   3.96   2.39   1.57   1.88
201411   0.37   0.31  -0.37   2.78   1.88   3.17
201412   1.16   2.18   1.78   0.59  -0.04  -1.87
201501  -4.90  -4.83  -4.50  -3.73  -3.98  -1.91
201502   6.10   5.43   8.38   5.84   5.39   7.48
201503   0.60   0.99   1.36  -1.61  -1.38  -1.26
201504  -0.82  -0.93  -0.95   1.10   1.10   1.88
201505   0.99   1.03   2.43   1.43   0.52   1.19
201506   0.03  -0.03   1.61  -2.20  -1.92  -1.69
201507  -5.68  -2.92  -2.93   0.88   1.76   2.47
201508  -4.51  -4.99  -6.54  -6.03  -5.98  -6.01
201509  -8.23  -3.38  -6.82  -2.99  -2.52  -3.89
201510   6.36   5.72   5.25   8.14   6.40   9.24
201511   2.00   2.08   3.19   0.24  -0.05   0.82
201512  -5.64  -5.21  -5.47  -1.89  -2.03  -2.74
201601  -8.75  -6.33 -11.14  -4.64  -4.66  -7.66
201602   2.81   2.35   0.11   0.83   0.72  -1.78
201603  10.37   7.45   8.31   6.47   6.81   7.63
201604   5.46   2.81   3.47   1.76   1.51  -1.60
201605  -0.45   1.17   1.20   0.71   0.86   3.66
201606   0.27   0.65  -0.20   1.34   0.13  -2.85
201607   5.68   4.99   6.29   2.56   3.41   5.32
201608   1.90   1.23   2.12  -0.10   0.77   0.14
201609   2.74   0.80   1.69  -0.04  -0.36   1.10
201610  -5.44  -3.41  -5.83  -1.77  -1.21  -2.22
201611  11.34  10.77   7.78   4.66   5.39   1.64
201612   1.58   3.20   1.49   1.93   2.06   1.12
201701   1.92   0.09   1.74   0.64   1.98   4.20
201702  -0.07   1.42   2.56   3.19   3.68   3.61
201703  -0.14  -0.06   1.17   0.22  -0.47   1.15
201704  -0.61   1.07   0.81   0.23   0.68   1.96
201705  -2.41  -2.31  -1.08   0.27   1.17   2.46
201706   2.19   3.55   4.91   1.31   0.88   0.32
201707   1.77   0.92   0.88   2.22   1.08   3.21
201708  -1.71  -1.81  -0.50  -1.55  -0.04   2.10
201709   6.46   5.52   5.53   3.26   2.76   0.90
201710  -1.07   1.16   0.87   0.16   1.06   5.19
201711   2.04   2.92   3.03   3.43   3.63   2.08
201712   1.82  -0.31   1.25   2.24   1.34   0.56
201801   3.86   1.27   2.89   4.33   4.84   7.46
201802  -4.57  -4.13  -3.98  -6.28  -4.10  -1.68
201803  -0.44   0.57   1.45  -1.25  -2.36  -3.06
201804   2.13   1.40   0.53   0.77  -0.32   0.89
201805   5.53   4.58   5.53   1.17   1.01   4.59
201806   1.20   0.67  -0.09   0.96   0.22   0.50
201807   1.01   2.26   0.69   3.99   3.38   3.21
201808   2.99   3.06   4.43   0.75   2.22   6.24
201809  -1.38  -1.99  -2.17   0.57   0.59   0.17
201810 -10.17  -9.88 -12.70  -6.09  -6.20  -9.21
201811  -0.22   1.74  -0.51   2.17   3.34   0.39
201812 -11.68 -11.34 -11.10  -9.37  -9.10  -8.93
201901  11.25  10.20  12.70   7.93   7.97   9.61
201902   4.70   3.81   7.22   3.14   3.85   3.17
201903  -1.87  -3.23  -1.53   0.45   0.88   2.90
201904   2.35   4.18   2.87   3.23   4.07   5.10
201905  -7.75  -7.46  -7.71  -5.60  -6.35  -7.35
201906   6.79   7.09   8.46   7.37   6.72   7.40
201907   0.39   1.32  -0.69   1.14   1.02   2.19
201908  -6.63  -4.75  -5.17  -2.22  -1.36  -2.45
201909   3.10   3.29   0.49   2.82   2.52  -0.92
201910   1.43   1.79   2.23   1.64   1.82   2.73
201911   3.63   2.77   5.71   3.65   3.78   4.36
201912   5.04   3.07   3.69   3.86   2.45   2.12
202001  -4.77  -4.56  -2.58  -1.31   0.15   2.19
202002  -9.75  -9.36  -7.80  -9.20  -8.24  -6.39
202003 -24.81 -22.92 -22.89 -12.57 -14.60 -11.30
202004  19.17  13.03  17.66  13.23  11.00  15.62
202005   6.33   4.45   9.55   4.22   5.21   6.57
202006   4.31   1.90   4.29   2.23   1.83   3.07



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
