This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
201905   -4.78    1.20   -1.99    0.21
201906    4.98   -2.63   -0.42    0.18
201907   -1.63    0.72   -1.01    0.19
201908   -2.52   -1.14   -2.24    0.16
201909    2.39   -0.74    3.08    0.18
201910    3.28    0.22    0.75    0.15
201911    1.34    0.50   -1.49    0.12
201912    3.39    1.49    0.74    0.14
202001   -2.32   -0.60   -2.97    0.13
202002   -8.87   -2.29    0.55    0.12
202003  -13.93   -0.98   -7.13    0.12
202004    7.11    3.91   -4.43    0.00
202005    5.00    2.69   -5.35    0.01
202006    3.33   -0.98    0.28    0.01



 Annual Factors: January-December
      Mkt-RF     SMB     HML      RF
1991    3.85   -4.08   -1.19    5.60
1992  -18.88   -0.47    2.10    3.51
1993   27.29   12.11   13.58    2.90
1994    6.10   -1.49   11.63    3.90
1995    2.82   -0.61   -4.28    5.60
1996    0.65    1.55    6.48    5.21
1997   -5.75  -16.43    0.08    5.26
1998   11.94   -9.37    2.09    4.86
1999   31.94   11.41  -32.54    4.68
2000  -22.33   -4.66   31.41    5.89
2001  -25.00    1.92   22.42    3.83
2002  -13.65    6.81   18.76    1.65
2003   42.88   17.07   16.77    1.02
2004   21.51    9.13   10.59    1.20
2005   13.82    6.68    6.07    2.98
2006   20.71   -9.95    9.27    4.80
2007    8.37   -6.74    2.80    4.66
2008  -44.40   -3.63    4.39    1.60
2009   33.45   10.18   -1.23    0.10
2010   11.77   12.66   -6.37    0.12
2011  -12.64   -2.81   -3.31    0.04
2012   17.24   -4.89    6.05    0.06
2013   23.00    2.08    3.91    0.02
2014   -4.54   -0.82   -1.52    0.02
2015   -0.78    7.57   -8.88    0.02
2016    3.09    5.96   11.56    0.20
2017   26.32    5.07    0.76    0.80
2018  -15.81   -5.52   -2.99    1.81
2019   19.75   -4.26  -11.33    2.14
