cmtcode,date,value
2000003,1986-08-29,1.2460889935730E+00
2000003,1986-09-30,2.5852713838322E-01
2000003,1986-10-31,6.1305146766113E-01
2000003,1986-11-28,4.9441770902648E-01
2000003,1986-12-31,2.3485320133883E-01
2000003,1987-01-30,6.2837347941675E-01
2000003,1987-02-27,4.0922576385806E-01
2000003,1987-03-31,3.8731152592081E-01
2000003,1987-04-30,-4.3408742755423E-02
2000003,1987-05-29,4.2981280301969E-01
2000003,1987-06-30,9.9098974195445E-01
2000003,1987-07-31,5.8526127434017E-01
2000003,1987-08-31,3.5423628463338E-01
2000003,1987-09-30,2.4016840043133E-02
2000003,1987-10-30,1.5685667044946E+00
2000003,1987-11-30,5.8257583907058E-01
2000003,1987-12-31,5.1158553691265E-01
2000003,1988-01-29,1.1253905974673E+00
2000003,1988-02-29,7.6765471039400E-01
2000003,1988-03-31,3.8586505506663E-01
2000003,1988-04-29,3.6883156691778E-01
2000003,1988-05-31,1.6170418148956E-01
2000003,1988-06-30,7.4933581598129E-01
2000003,1988-07-29,2.5580473571840E-01
2000003,1988-08-31,4.3283177712137E-01
2000003,1988-09-30,8.8239032450453E-01
2000003,1988-10-31,8.5754004550213E-01
2000003,1988-11-30,7.0741440036648E-02
2000003,1988-12-30,4.5014911601389E-01
2000003,1989-01-31,8.4957320019328E-01
2000003,1989-02-28,2.6715300021536E-01
2000003,1989-03-31,6.2343417128249E-01
2000003,1989-04-28,1.3278371825212E+00
2000003,1989-05-31,1.1498775795733E+00
2000003,1989-06-30,1.4121146437892E+00
2000003,1989-07-31,1.1753075388060E+00
2000003,1989-08-31,3.7405550983775E-02
2000003,1989-09-29,5.9003179377582E-01
2000003,1989-10-31,1.2721639970997E+00
2000003,1989-11-30,7.8497240599184E-01
2000003,1989-12-29,5.0576376792392E-01
2000003,1990-01-31,4.7225501770955E-01
2000003,1990-02-28,6.6029645158428E-01
2000003,1990-03-30,4.9502855933998E-01
2000003,1990-04-30,5.4841527636264E-01
2000003,1990-05-31,1.2023024788785E+00
2000003,1990-06-29,9.4273684632956E-01
2000003,1990-07-31,1.0009692217502E+00
2000003,1990-08-31,5.4924552387810E-01
2000003,1990-09-28,7.5456530724494E-01
2000003,1990-10-31,9.6868054018883E-01
2000003,1990-11-30,7.9644525554684E-01
2000003,1990-12-31,9.6618042751692E-01
2000003,1991-01-31,9.2463403290694E-01
2000003,1991-02-28,7.1353368908890E-01
2000003,1991-03-28,6.7963822134181E-01
