This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
201106  ,-1.69  ,-1.22  ,-1.71  ,-1.29
201107   ,1.28   ,0.41   ,0.04  ,-0.28
201108 ,-10.07  ,-7.83 ,-10.31  ,-8.22
201109 ,-15.50 ,-14.58 ,-16.54 ,-10.78
201110  ,12.39  ,12.14  ,12.84  ,10.76
201111  ,-8.17  ,-5.62  ,-7.37  ,-4.07
201112  ,-1.44  ,-2.11  ,-1.10   ,0.46
201201  ,10.70   ,9.70  ,13.07  ,10.92
201202   ,6.01   ,6.62   ,6.39   ,6.04
201203  ,-3.39  ,-1.86  ,-4.50  ,-1.53
201204  ,-1.00  ,-1.57  ,-2.77   ,0.14
201205 ,-10.39  ,-9.78 ,-10.69 ,-11.15
201206   ,2.30   ,3.95   ,3.98   ,3.81
201207   ,0.69   ,2.51   ,1.06  ,-0.33
201208   ,2.25   ,0.21   ,0.52  ,-0.16
201209   ,5.32   ,5.10   ,6.42   ,6.48
201210  ,-0.09  ,-0.76  ,-1.43   ,0.88
201211   ,0.27   ,1.98   ,0.54   ,1.06
201212   ,4.25   ,4.13   ,5.95   ,6.45
201301   ,1.44   ,0.89   ,2.51   ,2.33
201302  ,-0.07  ,-0.09  ,-1.05  ,-2.83
201303  ,-1.47  ,-1.19  ,-0.78  ,-2.09
201304   ,1.22   ,1.44   ,1.14  ,-0.13
201305  ,-0.28  ,-1.48  ,-2.25  ,-3.85
201306  ,-5.84  ,-5.60  ,-7.51  ,-6.45
201307   ,2.09   ,0.86   ,2.18   ,1.31
201308  ,-3.18  ,-2.99  ,-2.11  ,-1.44
201309   ,6.82   ,6.53   ,7.29   ,6.46
201310   ,4.26   ,4.57   ,4.23   ,3.77
201311   ,0.23  ,-1.33  ,-2.32  ,-1.60
201312  ,-0.09  ,-0.35  ,-0.15  ,-1.93
201401  ,-4.40  ,-5.98  ,-6.57  ,-5.89
201402   ,5.52   ,4.37   ,2.17   ,3.09
201403   ,0.72   ,1.56   ,3.48   ,4.72
201404  ,-1.13   ,0.68   ,0.68   ,1.64
