This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197908,   7.5532,   7.6794,   8.5560,   5.9677,   5.4346,   7.8648
197909,  -0.3557,  -0.8238,  -0.0579,   0.8512,  -0.1814,  -0.5358
197910, -11.3082, -10.0811,  -9.8395,  -5.7124,  -6.6768,  -7.6610
197911,   7.5884,   7.1457,  10.1035,   6.1616,   5.1213,   7.6367
197912,   6.5509,   6.0078,   7.0433,   2.0293,   1.5086,   3.5551
198001,   8.4014,   7.3303,   8.3558,   9.0198,   5.0726,   5.0377
198002,  -2.0071,  -1.9644,  -1.4600,   3.0173,  -0.4932,  -3.5991
198003, -18.0141, -16.4791, -18.8818, -13.4244,  -9.2648,  -9.8718
198004,   6.6488,   5.5482,   6.1861,   5.4901,   4.6950,   4.8661
198005,   7.6042,   7.8082,   8.3777,   6.4468,   5.0617,   6.6213
198006,   3.9183,   4.7227,   5.1676,   2.7572,   3.2600,   3.3987
198007,   8.3232,   8.9207,  12.9786,   7.2531,   5.8393,   7.5109
198008,   5.5213,   5.6688,   6.8294,   1.7184,   1.7189,   2.0093
198009,   2.7548,   2.4498,   4.8507,   2.2135,   1.7514,   5.7383
198010,   3.3229,   3.6791,   4.6021,   1.7855,   1.2127,   2.9404
198011,   5.3713,   5.1680,  10.3749,   8.6276,  10.0003,  15.1076
198012,  -2.6390,  -1.9614,  -4.5159,  -3.3968,  -2.4022,  -3.8884
198101,   0.4868,   0.9288,  -2.8886,  -3.0290,  -2.9701,  -8.3482
198102,   1.7335,   2.4996,   0.0938,   3.1301,   2.5352,   0.2606
198103,   6.3691,   7.0668,   9.1267,   6.5346,   2.6901,   4.8290
198104,   3.1756,   3.2386,   3.2253,  -0.2985,  -1.4791,  -2.7580
198105,   2.7854,   2.7470,   4.4777,  -0.4021,   0.9139,   1.0990
198106,  -0.4132,   0.2556,  -4.1857,  -0.4743,  -0.0009,  -2.0592
198107,  -2.2935,  -1.9750,  -2.5752,  -3.5813,  -0.6964,   2.7845
198108,  -7.2476,  -5.6089,  -8.9723,  -5.6484,  -4.7201,  -6.8387
198109,  -7.4464,  -5.8120,  -9.4930,  -5.0640,  -3.2980,  -8.5950
198110,   7.6932,   7.0177,   8.6663,   4.7761,   3.9332,   9.3319
198111,   2.8741,   4.9460,   2.2146,   4.8789,   4.5746,   4.2821
198112,  -0.8738,  -1.0806,  -2.7158,  -1.7158,  -2.0651,  -4.6875
198201,  -2.8500,  -2.2232,  -4.6332,  -2.2621,  -0.5017,  -4.6392
198202,  -3.3682,  -1.9311,  -6.4686,  -2.2609,  -3.4031,  -8.3000
198203,   0.4471,   0.3091,  -2.2310,  -0.7365,   0.4967,  -2.8083
198204,   5.3200,   5.0232,   6.3757,   6.2632,   3.2717,   5.5110
198205,  -2.3730,  -1.6491,  -2.9901,  -3.6612,  -2.6342,  -2.8599
198206,  -1.9422,  -1.4080,  -3.5722,  -0.8295,  -0.4226,  -4.6305
198207,  -0.6344,  -0.7997,  -2.3446,  -2.2546,  -1.5136,  -3.6220
