This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                                                                              Small                                                                                                                                            Big
                   Lo OP                                   2                                   3                               Hi OP                               Lo OP                                   2                                   3                               Hi OP
          Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV
199503     6.93     6.41     5.24     8.65     6.16     7.52     7.33     5.20     8.67     6.78     5.39     5.54     5.93     6.57     6.49     4.41     7.61     6.22     8.34     5.06     4.44     5.59     9.24     8.23    13.22    11.79    11.84     9.35    12.42    10.53    13.74    11.03
199504     1.96     4.54     2.59     3.00     1.73     1.21     2.82     3.07     2.82     1.34     2.38     0.86    -0.80     1.27     0.56     1.87     6.80     6.38     4.36     6.22     9.42     5.49     1.82     3.47     3.17     1.13     2.65     3.49     1.96     2.82     2.94     3.70
199505   -13.38   -10.66   -11.84   -10.79    -7.84    -7.55    -7.45    -9.61    -9.12    -8.09    -8.29    -7.90    -7.17    -8.27    -7.11    -8.03    -7.08    -9.46    -6.76    -9.26    -4.91    -7.37    -6.56    -5.78    -4.60    -5.81    -5.05    -7.36    -7.48    -6.49    -5.57    -4.78
199506    -5.65    -8.26    -9.22    -8.57    -4.26    -4.83    -4.61    -6.07    -6.12    -4.92    -4.70    -4.15    -4.35    -5.99    -2.86    -5.55    -9.05    -8.69    -7.13    -5.93    -9.15    -3.95    -2.67    -4.80    -1.59     0.16    -3.61    -2.07    -0.47    -1.41    -0.95    -0.47
199507     9.76    11.21    11.00    10.45     8.13     7.99     6.49     7.17     5.27     4.86     3.34     4.76     1.19     3.28     3.45     3.33     8.60    13.91     9.64    11.01    12.09     8.12     6.83     6.01     6.75     5.18     3.66     4.94     6.80     4.15     2.88     2.53
199508     3.03     1.82     4.34     2.11     0.65     1.50     0.90    -1.16    -2.59     0.67    -0.84     0.04     0.54    -0.34    -4.76    -2.03    -3.67    -7.29    -0.54    -2.77    -0.90    -6.32    -2.80    -1.85    -2.12    -2.01    -3.22    -1.30     1.30    -1.46     1.02    -5.29
199509    -5.73    -4.54    -7.58    -7.50    -4.71    -2.27    -4.86    -3.13    -2.14    -4.07    -1.68    -2.71    -2.79    -2.98    -2.66     0.20    -3.26     0.89    -4.86    -0.07    -3.22    -0.46    -1.04    -1.11    -1.04    -1.60    -3.32    -2.45     1.28     0.52    -0.93     1.50
199510    -3.17    -0.88    -3.65    -3.19    -4.08     1.25    -0.79    -2.21    -0.61    -2.45    -3.08    -2.54    -5.43    -2.93    -4.16    -4.06    -2.90    -7.14    -5.29    -1.35    -5.68    -5.58    -5.36    -6.18    -3.01    -5.05    -3.37    -1.17    -3.33    -2.70    -2.85    -3.00
199511     9.11     8.75     7.52     7.81     7.09     7.05     6.66     6.72     6.59     3.67     2.10     3.73     4.07     6.04     2.38     0.68     8.02     7.69     5.70     4.47     9.50     7.79     7.31     4.77     3.77     4.86     4.26     0.91     2.93     3.62     0.46     0.79
199512     8.40    10.04    11.90    11.04     7.41     6.13     6.52     8.72     3.53     8.15     5.82     4.22     8.20     4.48     5.91     5.55     5.74     6.53     4.22    -0.38     8.55     5.63     6.28     8.51     5.73     2.85     4.46     2.58     3.92     5.12     1.81     2.87
199601     3.61     3.68     5.97     5.36     4.50     1.00     1.17     2.26     4.62     2.83     0.87    -0.61     3.93     0.39     1.52     0.76    -1.34    -3.65    -1.35     2.13    -0.71    -4.74    -0.84    -1.68     0.57     1.76     0.17    -1.81    -1.09    -0.31    -1.76    -1.64
199602    -2.33    -2.44    -1.10    -3.91    -5.01    -2.58    -1.12    -0.94    -2.39    -2.54    -0.36    -0.95    -3.19    -1.85    -1.31    -0.29    -2.78    -5.57     0.97    -2.38    -3.35    -1.44    -0.09    -1.83    -1.46    -1.10    -0.45    -0.61    -0.87    -1.24     0.02    -0.50
199603     5.88     3.89     8.02     4.25     3.70     1.30     1.18     1.80     1.49     2.08     0.44    -0.21     0.96     1.63     0.17     1.77     4.34     6.49     1.98     3.30     6.77     5.45     0.76     4.36     4.06     1.64     3.05     0.99     0.35     2.89     0.45     1.69
199604    13.34    11.47    13.15    11.21    10.35     9.62    13.06    11.43    10.86    15.42    10.46    10.14    13.06    11.71    12.23     9.22     8.43     3.31     7.10     9.63     5.47     4.37     6.82     4.01     6.70     8.20     6.00     8.95     5.57     7.08     6.67     7.26
199605    -3.14    -4.35    -7.60    -1.53    -3.71    -3.21    -3.51    -4.02    -3.09    -3.35    -2.62    -2.81    -2.70    -3.99    -3.10    -2.12    -3.07    -4.14    -5.31    -4.52    -6.16    -5.45    -4.78    -6.60    -4.31    -4.71    -2.84    -4.12    -6.35    -2.62    -5.45    -4.05
199606    -2.42    -1.66    -2.97    -1.07    -2.87    -0.33    -1.60    -1.29    -1.97     1.84    -0.34    -0.17    -2.08    -1.04     0.04     0.79    -1.73    -1.60     0.99     0.16     0.01     0.18     1.02    -0.33     2.76     2.27     2.93     1.16     1.66     0.65     1.02    -0.16
199607    -8.79    -9.30    -8.33    -9.09    -5.88    -7.01    -6.56    -6.69    -5.88    -4.75    -3.58    -4.81    -5.93    -3.92    -2.98    -2.90    -6.18    -5.02    -7.42    -5.92    -9.07    -4.14    -3.53    -4.70    -4.16    -3.39    -2.03    -2.85    -4.96    -3.85    -3.41    -2.82
199608    -2.45    -2.99    -2.79     0.48    -3.69    -2.96    -4.47    -3.81    -4.98    -4.28    -4.34    -3.44    -3.69    -3.70    -4.10    -5.71    -4.49    -4.58    -4.30    -5.13    -2.08    -4.56    -5.03    -4.62    -4.95    -6.17    -4.76    -3.88    -6.54    -4.09    -4.07    -2.10
199609    -0.63    -1.55    -2.17    -1.67     1.38    -0.28    -1.78    -1.81    -2.74    -0.39    -0.45    -1.38    -1.08    -1.36    -2.26    -1.89     3.42     1.76     4.99     5.51     3.03     2.51     1.81     1.15     4.17     2.07     2.06     4.23     4.06     4.56     4.35     1.82
199610    -7.09    -6.14    -7.64    -5.97    -7.29    -6.15    -5.97    -6.09    -5.14    -5.87    -6.68    -6.46    -5.05    -5.49    -5.61    -6.25    -7.21    -8.39    -6.61    -9.58    -6.65    -6.72    -7.19    -5.15    -6.94    -5.97    -5.56    -7.34    -6.80    -8.32    -6.46    -6.04
199611    -4.05    -4.82    -3.74    -6.76    -5.39    -2.67    -2.74    -4.40    -4.33    -2.21    -1.95    -2.81    -4.07    -2.99    -2.84    -3.82    -1.13    -1.78     0.15     0.60    -0.69    -1.44    -0.28    -1.64     1.09     2.45     0.72     6.08    -0.34     1.71     3.92     1.78
199612   -13.96   -13.74   -13.75   -13.94   -12.94   -10.70   -11.26   -12.49   -12.07    -9.41    -8.58    -9.31   -12.34   -10.15    -8.41    -9.02   -12.55   -11.79    -9.10   -11.69   -12.11    -8.57    -8.03    -5.98    -8.47    -6.08    -5.17    -0.68    -7.39    -4.84    -1.42    -1.69
199701   -11.34   -10.05    -9.39   -10.25    -8.78    -9.57    -7.76    -8.37   -10.30    -9.76    -8.35   -10.56    -8.38    -9.01   -12.61    -9.89   -18.05   -15.78   -18.25   -11.56   -20.11    -7.31   -10.35    -8.88    -9.53    -8.35    -9.69    -8.13    -7.45    -7.59    -5.30    -6.82
199702    -2.14    -0.75    -0.10    -3.57     1.14     0.67     0.47    -1.19     0.31     0.98     2.21     0.65    -0.94     0.37    -3.11    -4.06     4.78     2.42     7.31     4.55     0.77     2.17     2.05     2.36     1.13     1.45     0.75     0.14     2.06     0.07     1.10     2.31
