TICKER,OFTIC,STATPERS,MEASURE,FISCALP,FPI,ESTFLAG,MEANEST,FPEDATS,ACTUAL
@SPX,SPX,16DEC1999,EPS,ANN,1,P,37.79,31DEC1999,38.8769
@SPX,SPX,16DEC1999,EPS,ANN,2,P,41.62,31DEC2000,40.2339
@SPX,SPX,16DEC1999,EPS,ANN,3,P,45.13,31DEC2001,37.2616
@SPX,SPX,20JAN2000,EPS,ANN,1,P,37.79,31DEC1999,38.8769
@SPX,SPX,20JAN2000,EPS,ANN,2,P,41.74,31DEC2000,40.2339
@SPX,SPX,20JAN2000,EPS,ANN,3,P,45.41,31DEC2001,37.2616
@SPX,SPX,17FEB2000,EPS,ANN,1,P,37.66,31DEC1999,38.8769
@SPX,SPX,17FEB2000,EPS,ANN,2,P,41.83,31DEC2000,40.2339
@SPX,SPX,17FEB2000,EPS,ANN,3,P,45.58,31DEC2001,37.2616
@SPX,SPX,16MAR2000,EPS,ANN,1,P,42.09,31DEC2000,40.2339
@SPX,SPX,16MAR2000,EPS,ANN,2,P,45.83,31DEC2001,37.2616
@SPX,SPX,16MAR2000,EPS,ANN,3,P,50.08,31DEC2002,38.0154
@SPX,SPX,20APR2000,EPS,ANN,1,P,42.39,31DEC2000,40.2339
@SPX,SPX,20APR2000,EPS,ANN,2,P,45.68,31DEC2001,37.2616
@SPX,SPX,20APR2000,EPS,ANN,3,P,49.75,31DEC2002,38.0154
@SPX,SPX,18MAY2000,EPS,ANN,1,P,42.61,31DEC2000,40.2339
@SPX,SPX,18MAY2000,EPS,ANN,2,P,46.26,31DEC2001,37.2616
@SPX,SPX,18MAY2000,EPS,ANN,3,P,49.75,31DEC2002,38.0154
@SPX,SPX,15JUN2000,EPS,ANN,1,P,42.68,31DEC2000,40.2339
@SPX,SPX,15JUN2000,EPS,ANN,2,P,46.28,31DEC2001,37.2616
@SPX,SPX,15JUN2000,EPS,ANN,3,P,49.75,31DEC2002,38.0154
@SPX,SPX,20JUL2000,EPS,ANN,1,P,41.98,31DEC2000,40.2339
@SPX,SPX,20JUL2000,EPS,ANN,2,P,45.53,31DEC2001,37.2616
@SPX,SPX,20JUL2000,EPS,ANN,3,P,49.31,31DEC2002,38.0154
