This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200812   6.75   5.77   6.78   5.09   4.46   3.56
200901  -6.76  -8.14  -7.70  -9.87  -9.68  -7.17
200902 -10.35  -9.52  -9.19 -11.89 -10.84  -8.25
200903   6.13   5.62   7.28   8.77   7.72   6.62
200904  11.43  14.11  16.79  13.41  12.29   9.15
200905  11.36  10.63  12.31  11.09   9.52   9.46
200906   2.30   2.13   1.83  -0.80  -0.66  -0.21
200907   7.37   8.42   9.44   9.12   9.98   7.25
200908   4.89   6.09   6.49   6.36   4.22   1.65
200909   5.55   6.02   7.36   3.95   4.87   3.97
200910  -3.90  -2.20  -1.59  -4.59  -2.37  -0.05
200911   1.17   1.49   0.89   2.25   4.26   4.46
200912   2.22   3.20   2.78   0.71   2.33   2.04
201001  -1.64  -1.43  -0.92  -3.74  -3.69  -4.54
201002   1.52   1.46   1.17   1.60   1.17   1.18
201003   6.40   6.74   7.24   7.23   6.01   5.76
201004   4.05   3.60   4.75  -0.52  -0.18   0.42
201005 -10.21  -9.33 -10.44  -9.70  -9.38  -9.44
201006  -3.79  -2.95  -3.03  -3.08  -2.77  -3.39
201007   7.17   6.67   7.32   8.83   8.80   7.58
201008  -4.82  -4.01  -4.11  -5.40  -3.63  -3.00
201009  11.46  10.16  11.31   9.62  10.45   9.08
201010   3.42   3.75   4.18   2.83   4.22   4.39
201011   0.06  -0.77  -0.58  -2.51  -2.70  -2.03
201012  10.32   9.32   8.85   8.95   7.72   6.17
201101   1.07   1.28   1.10   3.21   2.35   1.65
201102   3.88   3.63   3.10   3.93   3.38   3.36
201103  -0.03   0.42   0.61  -2.80  -0.33  -0.01
201104   2.94   3.64   4.38   3.47   5.04   4.75
201105  -3.50  -2.32  -1.56  -3.42  -1.83  -1.46
201106  -2.84  -0.73  -0.92  -2.92  -1.01  -1.14
201107  -1.10  -0.43   0.13  -2.98  -1.88  -0.95
201108  -9.14  -6.99  -7.48  -9.61  -7.77  -5.78
201109 -11.21  -8.85 -10.00 -10.37  -9.73  -7.69
201110   8.11   6.42   8.62  10.58  10.68   9.63
201111  -3.78  -3.15  -4.05  -4.57  -2.46  -1.45
201112  -0.79  -0.30  -0.73  -0.76  -0.29  -0.32
201201   8.08   6.94   6.97   7.43   5.18   4.53
201202   4.41   3.78   4.48   5.61   4.96   4.72
201203   0.43   1.86   1.44   1.33   1.23   1.22
201204  -1.91  -0.71   0.22  -2.81  -0.81  -0.46
201205  -9.92  -8.71  -8.67 -10.49  -9.11  -7.62
201206   3.66   3.41   3.95   6.10   4.80   4.64
201207  -1.25  -0.53  -0.22  -0.33   1.51   1.38
201208   2.68   2.80   2.60   3.98   2.65   2.32
201209   4.44   4.12   3.96   4.45   3.07   2.00
201210  -1.17  -0.51  -0.29   1.01  -0.31  -1.22
201211  -0.02   0.72   0.74   1.62   1.74   1.01
201212   4.24   3.68   3.96   3.98   2.20   0.99
201301   5.80   6.07   5.75   6.74   5.65   4.30
201302  -0.05   0.63   0.74  -0.63   0.39   0.18
201303   2.41   2.45   3.72   1.74   2.23   2.51
201304   1.68   2.67   2.29   4.19   2.47   3.15
201305  -0.30   1.07  -0.39   1.72  -0.10   0.62
201306  -2.73  -1.86  -2.47  -3.20  -2.01  -2.74
201307   5.94   5.58   5.82   6.55   5.38   5.17
201308  -1.07  -0.88  -0.18  -1.78  -2.33  -1.57
201309   7.46   7.24   7.48   5.93   5.34   4.76
201310   1.68   3.45   2.74   3.62   3.99   3.80
201311   1.42   1.75   1.64   2.07   1.45   2.16
201312   1.88   2.03   2.03   2.50   2.00   2.19
201401  -0.01  -1.58  -1.46  -2.88  -3.30  -4.41
201402   4.24   4.44   3.80   4.27   5.33   5.53
201403  -0.46   0.59   0.75  -0.46   0.32   0.44
201404  -2.50  -0.93  -0.99  -0.72   0.98   1.78
201405   0.53   0.97   0.99   1.46   2.04   1.88
201406   4.25   3.77   3.33   1.79   2.03   1.61
201407  -3.16  -3.09  -2.54  -1.78  -2.31  -1.59
201408   1.75   0.92   1.43   2.12   1.66   2.25
201409  -5.86  -5.46  -5.10  -2.47  -2.96  -2.88
201410  -0.49  -0.06  -0.67  -0.93   0.61   0.92
201411  -0.58  -0.90  -0.38   1.46   1.30   2.77
201412   0.22   0.16  -0.05  -1.90  -0.91  -2.26
201501  -2.27  -1.95  -1.19  -3.60  -1.73  -0.50
201502   5.71   5.44   5.35   7.16   5.68   5.54
201503  -0.33   0.43   0.57  -0.98  -1.02  -1.77
201504   3.86   3.76   3.37   3.42   2.26   2.51
201505   2.00   1.12   1.10   1.36   0.06   0.13
201506  -0.40  -0.32   0.22  -1.68  -2.63  -2.31
201507  -3.03  -1.63  -0.44   1.09   1.23   2.02
201508  -5.41  -4.26  -4.71  -6.44  -6.41  -6.13
201509  -4.62  -4.07  -2.97  -5.41  -3.43  -3.34
201510   4.95   5.26   5.69   6.98   7.60   7.88
201511   0.86   0.63   1.36  -0.88  -0.30  -0.29
201512  -1.43  -0.89  -0.44  -2.19  -1.65  -1.68
201601  -9.04  -7.12  -7.34  -8.91  -5.46  -5.14
201602  -0.28   0.74   0.38  -1.56  -0.68   0.12
201603   7.82   8.21   8.61   6.53   6.80   7.06
201604   4.40   2.87   1.97   3.42   2.24   0.30
201605  -0.21   0.12   0.83   0.42   0.44   0.65
201606  -2.04  -2.24  -2.48  -4.34  -0.88  -0.73
201607   5.65   5.74   6.23   4.63   4.48   4.10
201608   1.20   1.00   0.48   1.21   0.60  -0.84
201609   3.26   2.34   2.36   0.97   0.49   0.82
201610  -3.28  -1.87  -2.21   0.09  -1.60  -3.12
201611   2.74   2.25   1.07   3.09   0.79   0.72
201612   1.99   2.71   2.39   2.56   2.44   1.95
201701   3.21   3.13   2.88   2.53   2.90   2.54
201702   1.59   1.51   1.55   0.94   2.34   3.26
201703   0.77   2.18   2.25   1.31   1.31   1.85
201704   1.06   2.93   2.95   1.72   2.04   1.90
201705   0.40   2.56   2.17   0.93   2.28   3.34
201706   3.02   1.81   1.49   1.82   0.59  -0.46
201707   2.57   2.80   2.85   3.62   2.61   1.83
201708  -0.02  -0.16   0.30  -1.12   0.53   0.99
201709   3.75   4.14   2.97   3.31   2.13   1.74
201710   0.76   1.16   1.78   1.15   2.49   2.10
201711   0.97   1.84   1.51   1.07   1.68   3.39
201712   2.38   1.88   2.57   1.99   0.92   1.42
201801   4.49   3.73   4.34   5.60   5.35   5.43
201802  -3.39  -3.85  -2.33  -4.63  -3.96  -3.48
201803  -1.16  -0.09  -0.31  -1.77  -1.72  -1.82
201804   1.56   0.50   0.01   2.14   1.01   0.62
201805   2.06   1.63   1.54  -1.29   0.61   1.65
201806  -1.23  -1.12  -1.12  -0.56  -0.59   0.22
201807   0.42   1.08  -0.04   3.18   2.32   3.45
