This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19980622  -2.00  -1.85  -1.99  -3.16  -3.66  -0.84
19980623  -0.82  -0.76  -0.76  -1.14  -0.12  -0.81
19980624   0.19   0.14   0.24   0.48   0.10   0.09
19980625   0.50   0.24   0.77   2.91   1.90   0.59
19980626  -0.58  -0.54   0.37   0.39  -0.28   0.55
19980629  -0.62  -0.14  -0.52  -0.22  -0.52  -0.81
19980630   1.10   1.71   1.57   3.21   1.55   2.16
19980701   0.51   0.61   0.86   0.39   1.22   1.92
19980702   0.21   0.11   0.36   2.75   2.31   1.05
19980703  -0.44  -0.23  -0.56  -1.76  -1.51   0.10
19980706  -0.46  -0.24  -0.64  -1.09  -1.37   0.12
19980707  -0.16   0.26   0.14  -0.13   0.53   0.81
19980708  -0.79  -0.77  -0.48   0.25   0.77   0.39
19980709  -0.91  -0.44  -0.92  -0.91  -1.40  -0.75
19980710  -0.89  -0.71  -1.14  -1.83  -1.91  -1.00
19980713  -1.17  -1.06  -0.70  -1.30  -1.45  -0.59
19980714   0.82   0.72   1.22   0.97   1.87   1.96
19980715   0.18   0.31   0.43   1.27   1.50   1.26
19980716   1.01   1.15   1.24   1.75   2.27   1.83
19980717  -0.07   0.42   0.39   0.25  -0.13   0.30
19980720  -0.23  -0.02   0.00  -0.50  -1.01  -0.29
19980721  -0.32  -0.25  -0.51  -0.31  -0.48  -0.84
19980722  -1.20  -0.85  -0.69  -2.25  -1.37  -1.60
19980723  -0.63  -0.99  -0.55  -1.61  -1.28  -0.59
19980724  -0.12  -0.56  -0.18  -0.68  -0.02  -0.58
19980727  -1.15  -1.47  -1.04  -2.77  -2.30  -1.54
19980728   0.05   0.24   0.38  -0.34   0.11   1.16
19980729  -0.82  -0.71  -0.65  -2.28  -1.63  -0.43
19980730  -0.22  -0.15  -0.39   0.20   0.24  -0.19
19980731   0.05   0.43   0.41  -0.62  -0.22   0.16
19980803  -1.60  -1.40  -1.40  -2.37  -2.99  -2.33
19980804   0.14  -0.36   0.22   0.71   1.27   0.58
19980805  -0.58  -0.81  -1.30  -1.19  -0.81  -0.67
19980806  -1.21  -0.55  -0.84  -2.52  -2.23  -1.43
19980807  -1.08  -1.11  -0.77  -1.96  -1.76  -1.13
19980810  -0.64  -0.02  -0.08   0.22  -0.28  -0.47
19980811  -1.99  -1.96  -2.02  -2.95  -2.91  -1.78
19980812  -0.73  -0.83  -0.41  -0.93   0.20   0.28
19980813  -1.11  -0.89  -0.80  -1.74  -1.87  -0.85
19980814   0.58   0.31   0.50   3.14   4.15   1.52
19980817  -0.79  -0.91  -0.54  -1.32  -1.32  -1.25
19980818  -0.20   0.01  -0.02   1.30   0.18   1.79
19980819   0.52   0.94   0.59   3.59   2.66   1.95
19980820   0.36   0.59   0.47   0.69   0.85   0.55
19980821  -1.27  -1.47  -0.51  -1.77  -1.63  -1.67
19980824  -1.06  -1.38  -1.15  -1.43  -0.27  -0.04
19980825  -0.53  -0.34  -0.54   1.01   1.10   0.38
19980826  -1.43  -1.28  -1.15  -0.62  -1.01  -1.59
19980827  -1.78  -2.10  -1.29  -1.25  -1.26  -2.26
19980828  -2.59  -2.21  -1.62  -2.36  -1.46  -0.32
19980831  -0.47  -1.21  -0.54  -4.53  -4.19  -2.62
19980901  -0.18   0.15  -0.48  -2.32  -0.57   0.48
19980902   0.52   1.16   1.12   2.67   2.80   1.97
19980903  -0.19  -0.25  -0.02   0.58  -0.08   0.23
19980904   1.31   0.89   0.58   0.92   1.64   0.79
19980907   3.64   4.34   3.07   8.27   6.64   3.87
19980908   0.97   0.58   0.50   1.21   0.88  -0.01
19980909  -0.86  -0.76  -0.41  -2.42  -1.63  -0.79
19980910   0.68   0.41   1.65  -0.68   0.11   0.18
19980911  -0.84   0.04  -0.56  -2.42  -2.55  -1.99
19980914   0.90   1.45   1.30   1.68   1.47   0.95
19980915   0.43   0.99   0.45   1.77   1.76   1.53
19980916   1.31   0.95   0.70   1.33   1.29   0.84
19980917  -1.22  -0.76  -0.72  -1.32  -1.29  -0.78
19980918  -1.18  -1.05  -2.12  -2.47  -1.86  -1.24
19980921  -1.90  -1.86  -1.13  -2.89  -2.89  -1.95
19980922  -0.03   0.12   0.60   1.34   1.10   1.00
19980923   0.17   0.07   0.14   1.11   1.80   1.31
19980924   1.26   1.60   1.67   4.34   3.30   2.42
19980925  -0.13   0.23  -0.26  -1.26  -1.16  -1.39
19980928  -0.17   0.48   0.57   2.77   2.25   1.36
19980929   0.15   0.68   0.49   0.36   0.74   1.04
19980930  -0.29   0.02   0.53  -0.48   0.48  -0.78
19981001  -0.06  -0.05  -0.48  -0.52  -0.08  -0.72
19981002  -0.63  -0.33  -0.62  -1.63  -0.82  -1.36
19981005  -0.50  -1.19  -1.11  -2.61  -2.37  -1.95
19981006  -0.12  -0.14   0.25  -0.73   0.11   0.48
19981007   2.41   3.55   3.18   3.87   4.36   5.07
19981008   0.27   0.07  -0.42   0.87   2.04  -0.90
19981009   1.47   1.68   0.33   3.59   4.35   0.03
19981012   3.06   3.26   2.47   5.94   4.17   2.04
19981013  -0.84  -0.91  -0.26   0.16  -0.14  -0.26
19981014   0.92   2.34   1.15  -1.34  -1.19  -0.23
19981015   1.91   1.66   1.06   0.86   1.43   0.88
19981016   2.61   2.39   1.48   9.02   5.82   2.72
19981019   0.75  -0.06  -0.22   0.28  -1.81  -0.73
19981020   0.85   0.84   0.87   0.25   0.61  -0.22
19981021   0.84   1.43   1.25   2.01   0.68  -0.55
19981022  -1.24  -1.10  -0.26  -1.85  -0.31   0.15
19981023  -0.30  -0.56  -1.04   0.48   0.49  -0.90
19981026   1.15   0.72  -0.41  -0.40   0.32  -0.03
19981027   1.34   2.48   1.48   2.86   1.58   0.95
19981028   1.16   1.78   0.83   0.95   0.71   0.94
19981029   1.00   1.91   2.71   0.79   1.48   1.08
19981030   1.78   1.75   2.13   2.74   2.08   1.18
19981102   2.55   2.46   1.61   2.33   0.62   0.65
19981103   1.45   0.48   0.46   1.69   0.68   0.03
19981104   1.51   2.07   2.06   1.18   1.82   0.92
19981105   0.77   0.87   0.13  -2.03  -1.62   0.09
19981106   0.04  -0.53   0.10  -0.30  -0.74   0.73
19981109  -1.87  -2.63  -1.01  -3.29  -2.33  -0.82
19981110  -1.56  -2.47  -2.12  -2.33  -1.87  -0.99
19981111   2.96   2.58   2.20   5.37   3.57   2.15
19981112  -1.54  -1.08  -0.90  -1.49  -0.99  -0.41
19981113  -0.44  -0.36  -0.10  -0.80   0.24  -0.40
19981116   1.07   0.74   0.71   2.19   1.94   0.24
19981117  -0.11  -0.38  -0.69  -0.50  -0.55  -0.69
19981118   2.27   1.79   1.42   1.17   1.80   0.84
19981119   1.87   1.59   0.97   1.28   1.00   0.58
19981120   0.80   1.25   1.16   0.24  -0.79   0.94
19981123  -0.34   0.52   0.96   1.73   1.67   0.95
19981124   1.45   1.93   2.23   2.02   3.06   1.94
19981125  -1.37  -0.77  -0.59  -1.15  -0.81  -0.83
19981126  -0.82  -0.71  -0.44  -0.70   0.27  -0.03
