This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        LoINV     2   HiINV  LoINV     2   HiINV 
198212   1.7034   0.4469   0.9813   0.6602   1.8764  -0.4715
198301   6.7559   5.3020   8.0853   3.8804   3.2250   3.4948
198302   6.8210   6.4981   3.9739   1.8591   1.8166   3.0344
198303   6.6539   5.1347   3.0383   4.9576   2.5260   3.1479
198304   8.3498   7.5794   7.0579   8.1355   7.3731   6.2375
198305   6.6032   4.6894   7.0930  -0.9199  -2.0546   1.9423
198306   4.8578   4.1235   4.2414   2.1358   2.9436   4.6864
198307  -1.8716  -1.4412  -3.4455  -1.3431  -2.9574  -5.5094
198308  -4.0201  -2.3615  -3.9414   2.3060   0.6731  -0.7473
198309   2.0267   2.1873   1.1595   1.1759   1.8999   0.7277
198310  -4.8709  -4.3545  -7.4312  -0.9616  -0.9345  -4.3928
198311   4.8933   4.4007   3.7874   2.1565   1.2524   2.5558
198312  -1.0109  -1.2608  -2.4454  -0.3912  -1.1392  -1.4962
198401  -0.4254  -0.3710  -2.6302   0.1110  -0.1778  -3.7157
198402  -5.7657  -5.2114  -5.9905  -3.1716  -3.9393  -5.4977
198403   1.6138   0.6847   0.6237   2.0808   0.6433   0.6875
198404  -1.0219  -0.1527  -0.8750   1.1324   0.9943  -0.5248
198405  -5.6985  -4.1818  -6.2520  -6.7847  -5.7322  -4.6853
198406   1.9798   2.7032   2.7774   0.8461   2.9573   2.8870
198407  -5.9566  -2.3534  -4.8653  -4.3808  -1.3813  -0.9359
198408  10.3201   9.7191  12.7434  12.1918   9.2228  11.7589
198409   0.2701   1.4313  -2.1869   0.5857   0.1787  -1.7062
198410  -2.6364  -0.1411  -1.3973  -1.2169   0.7787  -0.0627
198411  -1.9989  -0.4026  -3.5610  -0.6455  -1.0735  -2.7794
198412   0.2939   1.9511   2.3507   1.8189   2.2171   2.5410
198501  10.5717   9.5626  13.6823   6.7912   6.5392  10.6903
198502   2.2347   2.2665   2.4400   2.1606   1.2843   0.1771
198503  -1.3956  -0.3919  -2.9496   1.7415   0.1036  -2.3033
198504  -0.9355   0.6524  -1.6204  -0.2645  -0.4135  -0.8562
198505   2.4839   3.5473   4.4533   4.9820   5.4411   6.0986
198506   1.0538   2.3735   1.9807   0.6910   1.7384   1.1945
198507   2.4865   1.9556   2.4268  -0.6968  -1.1788   0.0216
198508  -0.6428   0.3547  -2.2092  -0.2728  -0.8371  -1.9874
198509  -5.7620  -4.4401  -6.6659  -2.6843  -3.7065  -4.8439
198510   2.4644   3.9184   2.9458   3.2672   5.0655   5.0128
198511   4.3754   7.0300   7.8080   5.3261   6.8344   7.0279
198512   2.7191   4.3322   4.6028   3.3011   4.1644   5.1688
198601   1.2456   1.5560   2.4686  -1.5430   1.3611   1.3708
198602   5.0730   7.4771   7.5587   5.8968   8.6244   6.6149
198603   5.1372   5.0688   4.3514   5.5010   5.8058   4.4653
198604   0.8522   0.9759   2.1117   0.5905  -2.8546  -0.7259
198605   3.4573   4.6623   3.4839   5.7145   5.0674   3.9237
198606  -0.1271   1.4083  -0.1361   0.9420   2.6832  -0.7039
198607  -9.7622  -7.0388 -10.1912  -6.8412  -3.8478  -7.4103
198608   3.6399   3.3442   2.4172  10.0729   6.9304   5.0854
198609  -5.2885  -5.7921  -7.5821  -4.3056  -9.6834  -9.1451
198610   3.4560   2.6958   3.6480   6.2199   5.6185   4.1425
198611  -0.0601   0.1504  -0.4429   1.5958   1.9413   0.7722
198612  -3.3311  -2.1340  -3.1515  -3.4341  -2.5817  -3.4443
198701  11.7896   9.8818  11.9641  11.0009  13.2235  13.0019
