This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200606  -1.78  -1.15  -1.15   1.00   0.45  -0.66
200607  -1.00  -0.43   0.62   0.62   1.78   2.22
200608   3.03   2.34   3.41   3.22   2.76   3.60
200609   1.84   0.58   0.90   0.18   1.11   1.79
200610   3.40   4.47   5.27   3.89   3.94   5.02
200611   6.35   6.26   6.51   3.30   4.29   3.82
200612   5.12   4.12   4.44   2.75   3.51   4.50
200701   1.81   3.44   3.12   1.11   0.27   1.34
200702   0.71   1.67   0.84   0.16  -0.50  -0.16
200703   3.93   4.70   5.13   3.95   4.93   2.83
200704   5.20   5.99   5.91   5.00   6.09   6.80
200705   0.94   1.44   1.01   1.11   2.30   2.15
200706  -0.80  -0.26  -0.02   0.25   0.35   0.28
200707  -0.67   0.35  -0.15  -1.41  -1.87  -2.63
200708  -4.59  -5.18  -3.53  -0.50  -1.59  -1.69
200709   2.35   1.68   1.88   6.68   4.89   5.46
200710   5.58   5.52   4.03   4.65   5.01   4.28
200711  -8.40  -7.57  -7.27  -0.72  -2.87  -5.38
200712  -3.39  -2.36  -2.43  -2.97  -1.18  -1.47
200801 -10.46  -9.51  -8.10  -8.41  -9.99 -10.81
200802   4.21   4.80   4.64   2.23   2.57   0.74
200803  -0.52  -0.09   0.04  -1.54   0.05   2.65
200804   1.65   3.48   1.53   4.42   5.44   4.52
200805   1.42   1.71   1.37   1.75   1.81  -0.54
200806  -7.94  -6.78  -5.98  -6.84  -8.73 -10.18
200807  -5.30  -4.63  -5.67  -3.04  -5.33  -0.75
200808  -4.14  -4.16  -4.32  -3.98  -5.01  -3.97
200809 -17.97 -17.53 -16.85 -13.77 -16.21 -13.02
200810 -25.82 -26.46 -27.04 -19.10 -20.58 -24.93
200811  -8.11  -7.53  -9.20  -4.75  -6.16 -10.97
200812   3.38   5.19   6.87   6.43   8.03   5.31
200901  -5.20  -7.62  -7.28  -8.84 -11.16 -14.81
