This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201810   ,-7.81   ,-4.26    ,3.67    ,0.19
201811    ,1.62   ,-1.37    ,0.28    ,0.18
201812   ,-9.52   ,-2.06   ,-0.81    ,0.19
201901    ,8.59    ,3.07   ,-1.15    ,0.21
201902    ,3.39    ,2.41   ,-3.23    ,0.18
201903    ,0.95   ,-3.03   ,-3.76    ,0.19
201904    ,3.90   ,-1.23    ,0.81    ,0.21
201905   ,-6.82   ,-0.81   ,-1.18    ,0.21
201906    ,6.99    ,0.72   ,-1.17    ,0.18
201907    ,1.07   ,-0.90   ,-0.69    ,0.19
201908   ,-2.48   ,-3.14   ,-2.41    ,0.16
201909    ,1.52   ,-1.05    ,6.13    ,0.18
201910    ,1.83    ,0.20   ,-1.47    ,0.15
201911    ,3.80    ,0.87   ,-2.79    ,0.12
201912    ,2.79    ,0.50    ,1.43    ,0.14
202001   ,-0.34   ,-2.66   ,-6.10    ,0.13
202002   ,-8.23   ,-0.06   ,-2.51    ,0.12
202003  ,-14.09   ,-8.08  ,-10.39    ,0.12
202004   ,13.33    ,4.09   ,-2.53    ,0.00
202005    ,5.45    ,3.14   ,-5.41    ,0.01
202006    ,2.43    ,2.03   ,-3.59    ,0.01



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991   ,27.39   ,15.35  ,-20.16    ,5.60
1992    ,4.96    ,5.28   ,16.28    ,3.51
1993    ,8.75    ,7.15   ,19.86    ,2.90
1994   ,-3.94   ,-3.80    ,1.90    ,3.90
1995   ,29.95   ,-5.35   ,-2.19    ,5.60
1996   ,16.80   ,-4.61    ,9.95    ,5.21
1997   ,25.47  ,-12.14   ,15.66    ,5.26
1998   ,17.78  ,-25.57  ,-15.70    ,4.86
1999   ,18.89   ,11.71  ,-33.40    ,4.68
2000  ,-14.10   ,-4.15   ,50.11    ,5.89
2001  ,-14.84   ,11.89   ,20.03    ,3.83
2002  ,-22.65   ,-0.03   ,14.47    ,1.65
2003   ,31.73   ,22.58    ,5.62    ,1.02
2004   ,11.84    ,6.31    ,9.41    ,1.20
2005    ,4.97   ,-0.56    ,7.84    ,2.98
2006   ,10.62    ,0.30   ,12.73    ,4.80
2007    ,3.24   ,-6.96  ,-14.24    ,4.66
2008  ,-39.54   ,-1.06    ,1.07    ,1.60
2009   ,31.64   ,10.99   ,-5.66    ,0.10
