This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 E/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  E/P is is earnings before extraordinary at the last fiscal year end of the prior calendar 
year divided by ME at the end of December of the prior year.  Firms with negative or zero
E/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
196712  12.01   6.04   7.54   1.78   3.89   4.20
196801  -2.89   1.74   2.22  -5.75  -2.18  -2.77
196802  -8.21  -5.36  -4.46  -2.98  -2.54  -3.95
196803  -1.74  -1.14  -0.11   1.86  -0.90   0.77
196804  18.53  13.05  13.90   9.56   6.56  11.32
196805  10.27   8.04   9.38   1.86   0.93   3.48
196806  -0.46   1.45   1.48   0.29   2.37   0.33
196807  -5.46  -3.19  -1.44  -5.16  -1.17   3.35
196808   3.97   3.80   3.98   0.98   1.98   1.21
196809   8.17   6.98   5.70   2.90   4.68   4.31
196810  -1.12   1.44   2.51  -1.48   2.36   2.59
196811   8.76   8.14   6.80   6.23   4.69   6.62
196812   0.74  -1.26  -0.88  -4.99  -4.02  -2.39
196901  -2.06  -1.34  -0.22  -1.96   0.08  -0.45
196902 -10.66  -7.96  -7.03  -4.16  -4.72  -4.97
196903   3.54   2.63   2.52   4.02   2.74   3.32
196904   1.07   0.95   1.41   3.55   1.99   0.07
196905   0.14  -0.10   0.48  -0.60   0.48   1.98
196906 -12.98 -11.32  -9.69  -2.69  -7.32  -7.97
196907 -11.20  -9.72  -6.72  -4.79  -6.46  -6.82
196908   7.54   5.44   3.77   7.07   5.09   2.88
196909  -0.76  -2.10  -1.99  -0.33  -3.58  -4.21
196910  10.90   8.16   6.34   6.19   6.62   3.05
196911  -5.24  -5.77  -4.50  -1.86  -4.04  -3.55
196912  -5.27  -5.08  -4.93   0.64  -2.18  -2.98
197001  -5.80  -5.78  -2.02  -8.45  -7.15  -7.62
197002   3.33   3.71   4.97   3.72   7.73   7.14
197003  -5.31  -0.67  -0.05  -2.51   0.14   2.36
197004 -20.91 -13.69 -10.67 -11.03  -9.79  -7.58
197005 -11.55  -9.71  -8.20  -8.51  -5.97  -2.77
197006  -9.66  -7.33  -3.84  -6.21  -3.78  -4.53
197007   7.24   7.10   6.31   4.77   9.63   8.22
197008   6.53   6.46   6.72   3.89   5.53   5.29
197009  16.50  10.71   9.55   7.57   0.58   3.16
197010  -7.58  -5.46  -4.50  -0.65  -2.08  -0.49
197011  -0.16   2.42   3.33   4.83   6.33   5.15
197012   7.12  10.07  10.27   4.91   6.84   6.39
197101  11.87  10.88  11.64   4.43   4.70   3.01
197102   4.22   3.30   3.45   2.29   0.26   2.68
197103   7.56   6.49   4.07   5.62   3.55   2.74
197104   3.52   3.72   2.55   3.77   3.20   3.78
197105  -4.11  -5.32  -5.22  -2.78  -4.03  -4.55
197106   0.14  -0.86  -1.99   1.04   0.09  -0.12
197107  -7.13  -4.92  -4.37  -4.51  -3.23  -4.21
197108   4.48   4.86   4.62   6.28   1.90   2.37
197109  -1.11   0.47  -0.98   0.54  -1.02  -2.29
197110  -5.71  -5.77  -4.75  -3.89  -3.25  -5.07
197111  -2.53  -2.91  -2.92   0.81  -0.23  -0.72
197112  13.88  11.58  11.39   9.14   8.77   8.52
197201  11.47   6.09   7.58   2.52   0.27   5.07
197202   5.00   2.97   3.04   4.76   1.18   1.36
197203   1.51   0.34  -0.29   2.32  -0.51  -1.08
197204   0.30   1.34   0.27   1.00   0.07  -0.76
197205  -0.65  -2.04  -2.30   2.86   1.39  -0.04
197206  -2.52  -2.70  -3.23  -1.22  -2.12  -3.95
197207  -4.63  -3.30  -2.02   0.77  -1.19  -0.79
197208  -0.44   1.83   2.53   0.65   5.92   7.96
197209  -3.37  -3.02  -2.51  -0.26  -1.94   0.36
197210  -3.99  -1.10   1.17   0.66   1.41   1.58
197211   3.65   5.99   6.92   2.11   7.55   7.64
197212  -0.98  -1.50  -1.32   3.09  -0.56  -0.21
197301  -7.05  -5.68  -3.76  -2.09  -4.74  -0.30
197302 -10.61  -8.69  -5.23  -2.81  -4.51  -5.02
197303  -3.85  -2.89  -1.42  -0.97  -0.43   0.56
197304  -9.99  -7.07  -3.94  -6.26  -4.19  -1.30
197305 -10.38  -7.81  -6.22  -0.65  -1.34  -3.35
197306  -4.88  -3.36  -2.64  -0.67  -1.80   0.05
197307  19.43  10.63   8.01   6.41   3.39   2.20
197308  -3.14  -5.27  -4.86  -3.19  -2.98  -2.14
197309  10.81  10.47   7.65   1.91   8.89   8.92
197310  -1.59  -0.30  -0.05   0.67  -1.23  -1.32
197311 -22.11 -18.96 -15.86 -11.76 -11.38 -11.87
197312  -2.51  -1.22  -2.30  -1.09   5.34   3.63
197401   7.30  10.03  11.93  -2.24   0.15   4.96
197402  -0.96   0.70   2.08  -0.76   0.52   2.18
