This file was created by CMPT_VAR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196808,    1.19,    2.09,    3.12,    1.96,    3.06,    1.41,    0.95,    1.94,    2.28,    3.98,    2.19,    2.27,    1.60,    2.64,    3.31
196809,    2.86,    4.51,    5.25,    7.13,    9.68,    3.31,    2.30,    5.01,    3.79,    5.22,    5.27,    6.94,    7.32,    8.12,   10.85
196810,    1.10,    1.52,    1.88,    0.07,   -2.33,    1.28,    0.76,    0.92,    2.28,    2.79,    0.70,    0.08,    0.04,   -1.99,   -2.58
196811,    4.37,    6.53,    7.41,    8.16,    9.33,    4.32,    4.46,    7.01,    5.94,    7.29,    7.53,    7.88,    8.47,    9.42,    9.26
196812,   -4.55,   -2.87,   -3.16,   -2.47,   -0.86,   -4.65,   -4.31,   -2.60,   -3.23,   -3.17,   -3.15,   -2.76,   -2.19,   -2.38,    0.45
196901,   -0.77,    0.15,   -0.68,   -1.71,   -2.43,   -1.02,   -0.01,    0.27,    0.01,    0.29,   -1.63,   -1.11,   -2.32,   -3.40,   -1.55
196902,   -2.99,   -5.82,   -7.19,   -8.10,  -10.87,   -2.32,   -4.87,   -5.80,   -5.85,   -6.58,   -7.92,   -6.96,   -9.39,  -10.85,  -10.89
196903,    3.44,    3.33,    3.05,    2.12,    1.90,    3.38,    3.56,    3.40,    3.23,    3.04,    3.07,    1.28,    3.05,    2.53,    1.30
196904,    2.51,    1.65,    1.06,    1.81,    1.67,    2.76,    1.95,    1.43,    1.93,    0.74,    1.45,    1.33,    2.34,    1.97,    1.39
196905,    0.73,    0.38,   -0.72,    0.24,   -0.12,    0.49,    1.31,    0.72,    0.03,   -0.62,   -0.81,    1.69,   -2.36,    0.27,   -0.52
196906,   -3.69,   -6.81,   -8.99,  -10.46,  -14.50,   -3.28,   -4.63,   -6.94,   -6.68,   -8.07,  -10.08,   -9.86,  -11.40,  -12.60,  -16.09
196907,   -4.98,   -6.74,   -7.38,   -8.44,  -11.40,   -5.29,   -4.07,   -6.24,   -7.17,   -7.06,   -7.80,   -7.08,  -10.42,  -10.95,  -11.77
196908,    3.77,    5.12,    7.05,    7.31,    8.01,    3.69,    4.02,    5.66,    4.60,    7.15,    6.91,    6.58,    8.15,    7.67,    8.32
196909,   -2.51,   -1.11,   -3.70,   -3.04,   -2.47,   -2.60,   -2.17,   -1.48,   -0.49,   -3.58,   -3.83,   -4.51,   -0.54,   -1.97,   -2.91
196910,    4.93,    4.95,    5.65,    8.80,    7.70,    3.75,    7.33,    6.15,    3.85,    4.37,    7.77,    9.41,    8.16,    7.61,    7.79
196911,   -2.76,   -3.22,   -3.34,   -4.42,   -6.11,   -2.56,   -3.29,   -3.36,   -3.06,   -2.65,   -4.20,   -3.73,   -5.02,   -4.78,   -7.37
196912,   -0.69,   -2.44,   -2.08,   -3.55,   -6.48,   -0.64,   -0.84,   -2.71,   -2.07,   -2.65,   -1.14,   -3.73,   -3.32,   -3.98,   -8.65
197001,   -6.24,   -7.38,   -9.49,  -10.52,   -9.64,   -6.26,   -6.20,   -6.69,   -8.27,   -8.84,  -10.09,  -10.26,  -10.81,  -10.31,   -9.06
197002,    5.34,    6.08,    7.05,    6.91,    2.65,    5.40,    5.20,    7.23,    4.90,    7.24,    6.86,    7.11,    6.60,    4.19,    1.20
197003,    0.31,    0.62,   -1.08,   -2.60,   -5.18,    1.35,   -2.28,    1.62,   -0.96,   -0.14,   -2.26,   -2.14,   -3.16,   -4.58,   -5.80
197004,   -8.18,   -9.16,  -13.10,  -14.39,  -19.94,   -8.24,   -8.02,   -8.50,   -9.92,  -11.97,  -14.68,  -13.18,  -16.10,  -17.20,  -22.48
197005,   -5.51,   -5.60,   -7.18,   -8.66,  -12.03,   -5.63,   -5.21,   -5.58,   -5.62,   -7.98,   -6.38,   -7.48,   -9.96,  -11.03,  -13.15
197006,   -4.21,   -4.41,   -5.39,   -9.31,  -11.96,   -4.52,   -3.42,   -2.94,   -6.34,   -3.94,   -7.06,   -8.84,   -9.80,  -12.01,  -11.92
197007,    7.27,    7.20,    9.35,    7.21,    6.67,    7.52,    6.50,    5.62,    8.95,   10.54,    7.90,    6.95,    7.68,    9.51,    3.74
197008,    4.36,    3.94,    6.39,    8.06,    9.37,    4.54,    3.84,    3.36,    4.64,    4.88,    8.48,    6.16,   10.36,   10.47,    8.25
