This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19980527  ,-1.20  ,-1.17  ,-1.51  ,-1.92  ,-2.15  ,-1.98
19980528   ,0.14   ,0.11   ,0.35  ,-0.05   ,0.23   ,0.13
19980529   ,0.33   ,0.10   ,0.56   ,0.08   ,0.22   ,0.07
19980601   ,0.73   ,0.36   ,0.42   ,0.16   ,0.22   ,0.26
19980602   ,0.11  ,-0.05   ,0.31   ,0.17   ,0.12  ,-0.04
19980603   ,0.50   ,0.47   ,0.82   ,0.55   ,0.89   ,0.99
19980604   ,0.03  ,-0.08  ,-0.20  ,-0.16  ,-0.30  ,-0.40
19980605  ,-0.09   ,0.00   ,0.38   ,0.38   ,0.35   ,0.83
19980608   ,0.25   ,0.01   ,0.27   ,0.42   ,0.38   ,0.74
19980609  ,-0.14  ,-0.06  ,-0.22  ,-0.31  ,-0.15  ,-0.28
19980610  ,-1.02  ,-0.90  ,-1.05  ,-1.20  ,-0.92  ,-0.89
19980611  ,-0.81  ,-0.83  ,-1.02  ,-1.28  ,-1.33  ,-0.25
19980612  ,-0.16  ,-0.20  ,-0.49  ,-0.97  ,-0.99  ,-1.02
19980615  ,-1.05  ,-1.25  ,-1.42  ,-2.37  ,-1.67  ,-1.76
19980616   ,0.36   ,0.49   ,0.75   ,0.46   ,0.79   ,0.51
19980617   ,1.13   ,1.16   ,1.36   ,2.10   ,1.91   ,2.01
19980618  ,-0.13  ,-0.05  ,-0.10  ,-0.94  ,-0.74  ,-0.80
19980619  ,-0.02  ,-0.01   ,0.19  ,-0.33  ,-0.12  ,-0.36
19980622  ,-0.48  ,-0.51  ,-0.93  ,-0.98  ,-0.79  ,-0.59
19980623  ,-0.87  ,-0.79  ,-0.83  ,-0.46  ,-0.25  ,-0.33
19980624  ,-0.36  ,-0.06  ,-0.11   ,0.00   ,0.06   ,0.20
19980625   ,0.29   ,0.35   ,0.67   ,0.73   ,0.97   ,1.13
19980626  ,-0.70  ,-0.75  ,-0.78  ,-1.02  ,-0.85  ,-0.98
19980629   ,0.12   ,0.16   ,0.23   ,0.23   ,0.41   ,0.32
19980630   ,0.07   ,0.32  ,-0.09  ,-0.08  ,-0.34  ,-0.10
19980701  ,-0.49  ,-0.42  ,-0.41   ,0.42   ,0.66   ,0.90
19980702   ,0.08   ,0.00   ,0.28   ,0.11   ,0.39   ,0.33
19980703  ,-0.06  ,-0.11  ,-0.02   ,0.31   ,0.56   ,0.67
19980706   ,0.38   ,0.30   ,0.19   ,0.43   ,0.71   ,0.41
19980707   ,0.13  ,-0.13   ,0.02   ,0.42   ,0.32   ,0.91
19980708  ,-0.22  ,-0.09  ,-0.12   ,0.30   ,0.07   ,0.38
19980709  ,-0.38  ,-0.33  ,-0.51  ,-0.48  ,-0.40  ,-0.42
19980710   ,0.32   ,0.35   ,0.40   ,0.25   ,0.32  ,-0.09
19980713   ,0.77   ,0.84   ,0.91   ,0.79   ,1.04   ,2.00
19980714  ,-0.30  ,-0.19  ,-0.26   ,0.12   ,0.48   ,0.56
19980715   ,0.24   ,0.37   ,0.31   ,0.49   ,0.91   ,0.63
19980716   ,0.57   ,0.76   ,0.92   ,0.18   ,0.28   ,0.40
19980717   ,0.50   ,0.48   ,0.74   ,0.69   ,0.89   ,1.44
19980720   ,0.30   ,0.28   ,0.51   ,0.19   ,0.21   ,0.44
19980721  ,-0.42  ,-0.44  ,-0.31  ,-0.74  ,-0.61  ,-0.72
19980722  ,-0.36  ,-0.44  ,-0.46  ,-1.12  ,-0.97  ,-1.46
19980723  ,-0.10  ,-0.01  ,-0.11  ,-0.35  ,-0.39  ,-0.36
19980724  ,-0.20  ,-0.11  ,-0.32  ,-0.38  ,-0.23  ,-0.58
19980727  ,-0.50  ,-0.53  ,-0.54  ,-1.16  ,-1.34  ,-0.52
19980728   ,0.27   ,0.29   ,0.19   ,0.18   ,0.37   ,0.19
19980729  ,-0.76  ,-0.60  ,-1.00  ,-0.82  ,-0.77  ,-0.70
19980730  ,-0.46  ,-0.43  ,-0.39   ,0.19   ,0.07   ,0.39
19980731   ,0.33   ,0.34   ,0.23  ,-0.08  ,-0.03   ,0.88
19980803  ,-0.82  ,-0.81  ,-0.89  ,-1.23  ,-1.63  ,-1.78
19980804   ,0.46   ,0.50   ,0.55   ,0.73   ,0.68   ,0.63
19980805  ,-1.15  ,-1.15  ,-1.86  ,-1.75  ,-1.51  ,-2.60
19980806  ,-0.29  ,-0.29  ,-0.21  ,-0.77  ,-0.80  ,-0.81
19980807  ,-0.08  ,-0.17   ,0.22   ,0.56   ,0.68   ,1.04
19980810  ,-0.13   ,0.00  ,-0.09  ,-0.91  ,-0.76  ,-1.15
19980811  ,-1.40  ,-1.50  ,-2.28  ,-2.64  ,-2.72  ,-3.73
19980812  ,-0.27  ,-0.24  ,-0.29   ,0.57   ,0.60   ,1.34
19980813  ,-0.61  ,-0.65  ,-0.97  ,-0.82  ,-0.78  ,-1.12
19980814  ,-0.73  ,-0.59  ,-0.54  ,-0.27  ,-0.16  ,-0.06
19980817   ,0.06  ,-0.09  ,-0.19  ,-0.24  ,-0.08  ,-0.40
19980818   ,0.05   ,0.21   ,0.54   ,0.98   ,1.37   ,1.40
19980819   ,0.49   ,0.49   ,0.69   ,0.39   ,0.75   ,1.59
19980820  ,-0.01  ,-0.07  ,-0.08  ,-0.39  ,-0.79  ,-0.63
19980821  ,-0.35  ,-0.32  ,-0.72  ,-1.91  ,-2.23  ,-2.45
19980824  ,-0.43  ,-0.65  ,-0.78  ,-0.32  ,-0.35  ,-0.23
19980825  ,-0.18  ,-0.18  ,-0.25   ,1.10   ,1.16   ,1.22
19980826  ,-1.18  ,-1.03  ,-1.72  ,-2.24  ,-2.32  ,-2.37
19980827  ,-1.24  ,-1.64  ,-2.62  ,-2.42  ,-3.05  ,-3.28
19980828   ,0.59   ,0.55  ,-0.14   ,0.61   ,1.08   ,0.01
19980831   ,0.27   ,0.35   ,0.30   ,0.04  ,-0.21   ,0.08
19980901  ,-2.15  ,-2.31  ,-3.29  ,-2.22  ,-1.68  ,-3.37
19980902   ,1.03   ,1.00   ,1.92   ,1.90   ,2.16   ,2.72
19980903   ,0.24   ,0.28  ,-0.39  ,-0.85  ,-1.00  ,-0.37
19980904  ,-0.07  ,-0.17  ,-0.04   ,0.17  ,-0.17   ,0.17
19980907   ,0.60   ,0.67   ,1.06   ,1.37   ,1.20   ,1.53
19980908  ,-0.05  ,-0.18   ,0.27   ,0.72   ,1.28   ,1.63
19980909   ,0.73   ,0.84   ,1.04   ,0.10   ,0.25  ,-0.18
19980910   ,0.80   ,0.73   ,0.30  ,-1.30  ,-1.16  ,-1.26
19980911  ,-1.05  ,-1.16  ,-1.41  ,-1.50  ,-1.43  ,-1.62
19980914   ,0.46   ,0.77   ,1.00   ,1.88   ,1.89   ,2.69
19980915  ,-0.10  ,-0.01  ,-0.24  ,-0.71   ,0.22  ,-0.70
19980916   ,0.03   ,0.32   ,0.20   ,0.48   ,0.53   ,1.27
19980917  ,-0.90  ,-0.90  ,-1.64  ,-2.67  ,-2.94  ,-3.07
19980918  ,-0.61  ,-0.81  ,-0.80  ,-1.43  ,-1.28  ,-1.31
19980921  ,-1.12  ,-1.31  ,-2.16  ,-2.51  ,-2.77  ,-3.35
19980922   ,0.44   ,0.79   ,0.94   ,1.17   ,1.60   ,2.63
19980923   ,0.15   ,0.22   ,0.27   ,1.00   ,1.31   ,1.48
19980924   ,0.36   ,0.47   ,0.52   ,0.30   ,0.29   ,0.94
19980925  ,-0.65  ,-0.70  ,-0.96  ,-1.14  ,-1.46  ,-1.38
19980928   ,0.23   ,0.40   ,0.30   ,1.32   ,1.18   ,2.15
19980929   ,0.05  ,-0.17  ,-0.37  ,-0.13   ,0.30  ,-0.24
19980930  ,-0.50  ,-0.46  ,-0.88  ,-1.45  ,-1.46  ,-1.86
19981001  ,-0.59  ,-1.02  ,-1.80  ,-2.51  ,-2.58  ,-3.34
19981002  ,-1.59  ,-1.93  ,-2.72  ,-1.92  ,-2.32  ,-4.57
19981005  ,-0.82  ,-0.74  ,-1.74  ,-0.81  ,-1.01  ,-1.59
19981006  ,-0.06   ,0.04  ,-0.09   ,2.69   ,2.10   ,2.51
19981007   ,1.07   ,1.17   ,0.71   ,0.71   ,0.59   ,1.78
19981008  ,-1.64  ,-2.06  ,-2.78  ,-3.14  ,-3.46  ,-4.81
19981009  ,-0.19  ,-0.17  ,-0.05   ,0.89   ,1.24   ,1.75
19981012  ,-0.33  ,-0.16   ,0.99   ,2.25   ,2.35   ,4.45
19981013   ,1.47   ,1.39   ,1.68   ,1.30   ,1.87   ,2.01
19981014  ,-0.14  ,-0.05   ,0.18   ,1.03   ,0.82   ,1.10
19981015   ,1.40   ,1.55   ,2.02   ,2.39   ,2.22   ,3.64
19981016   ,1.14   ,1.50   ,2.48   ,1.92   ,2.08   ,2.85
19981019  ,-0.07  ,-0.02   ,0.23  ,-0.43  ,-0.32  ,-0.14
19981020   ,0.44   ,0.42   ,1.01   ,1.79   ,1.86   ,1.65
19981021  ,-0.37  ,-0.27  ,-0.41  ,-1.13  ,-1.02  ,-0.75
19981022   ,0.78   ,0.75   ,0.65   ,0.42   ,0.59   ,0.59
19981023  ,-0.04  ,-0.09   ,0.01  ,-0.16  ,-0.03   ,1.13
19981026  ,-1.18  ,-1.13  ,-0.98  ,-0.98  ,-0.75  ,-1.29
19981027   ,1.01   ,1.20   ,1.22   ,2.42   ,2.57   ,2.78
