date,Equity Risk Premium (1yr)
01-Feb-1980,10.1
01-Mar-1980,9.9
01-Apr-1980,10.85
01-May-1980,11.26
01-Jun-1980,11.03
01-Jul-1980,10.65
01-Aug-1980,9.83
01-Sep-1980,9.65
01-Oct-1980,9.67
01-Nov-1980,9.53
01-Dec-1980,10.44
01-Jan-1981,9.01
01-Feb-1981,8.27
01-Mar-1981,8.99
01-Apr-1981,8.79
01-May-1981,8.73
01-Jun-1981,7.41
01-Jul-1981,6.15
01-Aug-1981,5.45
01-Sep-1981,5.01
01-Oct-1981,5.88
01-Nov-1981,6.4
01-Dec-1981,8.51
01-Jan-1982,5.71
01-Feb-1982,6.49
01-Mar-1982,6.49
01-Apr-1982,6.74
01-May-1982,6.98
01-Jun-1982,6.73
01-Jul-1982,7.53
01-Aug-1982,8.3
01-Sep-1982,9.8
01-Oct-1982,10.8
01-Nov-1982,10.85
01-Dec-1982,11.36
01-Jan-1983,11.04
01-Feb-1983,11.91
01-Mar-1983,12.14
01-Apr-1983,12.32
01-May-1983,11.9
01-Jun-1983,11.88
01-Jul-1983,11.49
01-Aug-1983,11.27
01-Sep-1983,10.71
01-Oct-1983,9.22
01-Nov-1983,8.79
01-Dec-1983,8.32
01-Jan-1984,7.48
01-Feb-1984,7.2
01-Mar-1984,6.49
01-Apr-1984,5.98
01-May-1984,4.87
01-Jun-1984,4.38
01-Jul-1984,4.93
01-Aug-1984,4.79
01-Sep-1984,4.93
01-Oct-1984,5.1
01-Nov-1984,5.24
01-Dec-1984,7.38
01-Jan-1985,5.58
01-Feb-1985,5.76
01-Mar-1985,6.05
01-Apr-1985,6.51
01-May-1985,7.16
01-Jun-1985,7.33
01-Jul-1985,7.62
01-Aug-1985,7.31
01-Sep-1985,7.43
01-Oct-1985,7.14
01-Nov-1985,7.35
01-Dec-1985,7.81
01-Jan-1986,7.52
01-Feb-1986,7.87
01-Mar-1986,7.95
01-Apr-1986,7.77
01-May-1986,7.12
01-Jun-1986,7.3
01-Jul-1986,6.88
01-Aug-1986,7.01
01-Sep-1986,6.67
01-Oct-1986,6.66
01-Nov-1986,6.59
01-Dec-1986,6
01-Jan-1987,5.79
01-Feb-1987,5.4
01-Mar-1987,4.86
01-Apr-1987,4.04
01-May-1987,3.65
01-Jun-1987,3.61
01-Jul-1987,3.25
01-Aug-1987,2.85
01-Sep-1987,2.62
01-Oct-1987,2.88
01-Nov-1987,2.96
01-Dec-1987,4.23
01-Jan-1988,2.93
01-Feb-1988,2.96
01-Mar-1988,2.3
01-Apr-1988,2.09
01-May-1988,1.88
01-Jun-1988,2.08
01-Jul-1988,1.85
01-Aug-1988,1.65
01-Sep-1988,1.95
01-Oct-1988,2.44
01-Nov-1988,2.78
01-Dec-1988,4.49
01-Jan-1989,3.56
01-Feb-1989,4.99
01-Mar-1989,5.09
01-Apr-1989,5.47
01-May-1989,6
01-Jun-1989,6.32
01-Jul-1989,6.63
01-Aug-1989,6.56
01-Sep-1989,6.72
01-Oct-1989,6.97
01-Nov-1989,6.98
01-Dec-1989,6.62
01-Jan-1990,5.8
01-Feb-1990,5.38
01-Mar-1990,5.13
01-Apr-1990,4.7
01-May-1990,4.69
01-Jun-1990,4.44
01-Jul-1990,4.2
01-Aug-1990,3.58
01-Sep-1990,3.4
01-Oct-1990,3.36
01-Nov-1990,3.6
01-Dec-1990,4.62
01-Jan-1991,3.68
01-Feb-1991,3.78
01-Mar-1991,3.78
01-Apr-1991,3.85
01-May-1991,3.82
01-Jun-1991,3.74
01-Jul-1991,3.88
01-Aug-1991,4.51
01-Sep-1991,5.07
01-Oct-1991,5.37
01-Nov-1991,5.55
01-Dec-1991,5.77
01-Jan-1992,5.73
01-Feb-1992,5.53
01-Mar-1992,5.31
01-Apr-1992,5.2
01-May-1992,5.36
01-Jun-1992,5.31
01-Jul-1992,5.62
01-Aug-1992,5.64
01-Sep-1992,5.85
01-Oct-1992,5.53
01-Nov-1992,5.33
01-Dec-1992,5.07
01-Jan-1993,5.19
01-Feb-1993,5.38
01-Mar-1993,5.33
01-Apr-1993,5.43
01-May-1993,5.37
01-Jun-1993,5.63
01-Jul-1993,5.6
01-Aug-1993,5.85
01-Sep-1993,5.86
01-Oct-1993,5.91
01-Nov-1993,5.62
01-Dec-1993,4.94
01-Jan-1994,5.47
01-Feb-1994,5.12
01-Mar-1994,4.72
01-Apr-1994,4.17
01-May-1994,4.08
01-Jun-1994,3.96
01-Jul-1994,4.11
01-Aug-1994,4.55
01-Sep-1994,3.76
