date,all,hist_mean,ddm,cross_section,time_series,surveys,RF,recession
01-Jul-1986,6.69,6.83,0.67,10.9,5.58,,6.24,-100
01-Aug-1986,6.57,6.81,0.93,11.11,5.75,,5.52,-100
01-Sep-1986,7.42,6.71,0.75,10.7,5.61,,5.4,-100
01-Oct-1986,7.52,6.63,0.75,10.86,5.26,,5.52,-100
01-Nov-1986,7.09,6.61,0.6,10.92,5.27,,4.68,-100
01-Dec-1986,6.29,6.69,0.33,10.82,5.42,,5.88,-100
01-Jan-1987,5.22,6.84,0.38,11.3,5.88,,5.04,-100
01-Feb-1987,4.44,6.85,0.2,11.5,6.01,,5.16,-100
01-Mar-1987,3.44,7.03,-0.14,11.55,6.16,,5.64,-100
01-Apr-1987,2.47,7.11,-0.56,11.4,6.7,,5.28,-100
01-May-1987,2.16,7.16,-0.7,11.35,6.91,,4.56,-100
01-Jun-1987,1.79,7.2,-0.71,11.51,6.91,,5.76,-100
01-Jul-1987,1.32,7.26,-0.79,11.65,6.92,,5.52,-100
01-Aug-1987,0.8,7.25,-1.01,11.83,6.78,,5.64,-100
01-Sep-1987,0.62,7.29,-1.24,11.71,6.76,,5.4,-100
01-Oct-1987,3.39,7.35,-0.86,10.69,6.6,,7.2,-100
01-Nov-1987,4.14,7.32,-1.02,10.27,6.47,,4.2,-100
01-Dec-1987,4.96,7.35,-0.14,10.51,6.45,,4.68,-100
01-Jan-1988,3.69,7.36,-0.85,10.69,6.28,,3.48,-100
01-Feb-1988,2.94,7.6,-0.93,10.88,6.26,,5.52,-100
01-Mar-1988,2.23,7.77,-1.21,10.8,6.54,,5.28,-100
01-Apr-1988,1.71,7.91,-1.32,10.8,6.8,,5.52,-100
01-May-1988,2.58,7.8,-1.49,10.78,5.94,,6.12,-100
01-Jun-1988,1.36,7.79,-1.41,11.01,6.73,,5.88,-100
01-Jul-1988,0.83,7.97,-1.61,10.96,6.79,,6.12,-100
01-Aug-1988,0.68,8.04,-1.76,10.85,6.86,,7.08,-100
01-Sep-1988,0.53,8.17,-1.45,10.99,7.05,,7.44,-100
01-Oct-1988,2.49,7.9,-0.97,11.07,6.16,,7.32,-100
01-Nov-1988,6.23,7.47,-0.73,11,3.66,,6.84,-100
01-Dec-1988,8.64,7.11,-0.01,11.08,1.4,,7.56,-100
01-Jan-1989,5.88,7.05,-0.65,11.32,3.6,,6.6,-100
01-Feb-1989,3.72,7.08,-0.85,11.28,5.22,,7.32,-100
01-Mar-1989,3.44,7.12,-0.87,11.34,5.31,,8.04,-100
01-Apr-1989,3.45,7.12,-0.62,11.49,5.4,,8.04,-100
01-May-1989,3.93,7.03,-0.21,11.61,5.45,,9.48,-100
01-Jun-1989,4.49,6.89,-0.04,11.55,5.38,,8.52,-100
01-Jul-1989,4.25,7,0.2,11.78,5.37,,8.4,-100
01-Aug-1989,3.9,6.97,0.09,11.85,5.49,,8.88,-100
01-Sep-1989,4.07,6.96,0.05,11.77,5.41,,7.8,-100
01-Oct-1989,4.61,6.95,0.16,11.61,5.35,,8.16,-100
01-Nov-1989,4.69,7.02,0.32,11.62,5.4,,8.28,-100
01-Dec-1989,5.03,6.98,0.36,11.66,5.42,,7.32,-100
01-Jan-1990,4.68,7.03,-0.09,11.32,5.36,,6.84,-100
01-Feb-1990,4.38,7.08,-0.19,11.33,5.45,,6.84,-100
01-Mar-1990,3.85,7.23,-0.21,11.41,5.65,,7.68,-100
01-Apr-1990,3.87,7.21,-0.49,11.22,5.63,,8.28,-100
01-May-1990,3.2,7.27,-0.38,11.53,5.76,,8.16,-100
01-Jun-1990,2.93,7.36,-0.39,11.49,5.99,,7.56,-100
01-Jul-1990,2.87,7.46,-0.45,11.37,6.14,,8.16,-100
01-Aug-1990,3.03,7.53,-0.87,10.89,6.24,,7.92,100
01-Sep-1990,3.52,7.48,-0.89,10.58,6.38,,7.2,100
01-Oct-1990,3.95,7.46,-0.84,10.45,6.38,,8.16,100
01-Nov-1990,3.97,7.46,-0.6,10.7,6.21,,6.84,100
01-Dec-1990,4.98,7.39,-0.02,10.78,6.03,,7.2,100
01-Jan-1991,3.95,7.46,-0.53,10.86,6.03,,6.24,100
01-Feb-1991,3.78,7.32,-0.47,11.13,5.92,,5.76,100
01-Mar-1991,3.89,7.17,-0.57,11.21,5.65,,5.28,100
