erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
7.23,6.42,6,6.94,6.83,9.01,12.51,13.93,-100,0
6.53,5.89,5.37,6.23,6.28,8.58,11.28,11.57,-100,0
5.87,5.32,4.49,5.72,6.33,8.51,12.61,15.3,-100,0
5.26,4.54,3.32,4.6,4.94,7.89,8.76,7.59,-100,0
4.8,4.48,3.39,4.16,4.89,7.78,8.32,8.11,-100,0
5.55,5.32,3.97,4.79,5.81,8.12,11.32,14.05,-100,0
5.06,5.08,4.45,4.69,5.78,8.2,9.7,10.03,-100,0
5.59,4.94,4.54,4.84,5.66,8.19,10,13.57,-100,0
6.32,5.61,5.3,4.97,6.32,8.47,12.56,18.56,-100,0
6.53,6.03,5.38,5.09,6.41,8.58,11.02,17.64,-100,0
8.81,8.19,7.56,7.13,7.55,9.59,14.53,21.86,-100,0
6.6,6.1,6.11,5.39,6.24,8.72,13.53,18.82,-100,0
6.34,5.85,5.9,5.53,5.57,8.62,11.69,17.46,-100,0
7.16,6.1,6.4,5.81,5.75,8.8,12.28,17.86,-100,0
7.57,6.58,5.95,6.23,6.51,8.87,14.02,19.4,-100,0
8.27,7.67,6.95,6.87,6.62,9.39,13.41,20.47,-100,0
8.58,7.77,7.23,7.03,6.77,9.53,14.09,20.8,-100,0
8.8,7.7,7.33,7.3,7.32,9.4,15.93,21.76,-100,0
8.63,7.57,7.25,6.99,6.42,9.13,13.95,19.61,-100,0
8.46,7.68,6.92,7.1,6.33,9.01,13.94,19.61,-100,0
8.32,7.81,7.18,6.83,7.03,9.33,15.86,21.53,-100,0
8,7.76,7.41,7.02,6.64,9.39,14.88,20.62,-100,0
8.15,7.62,7.83,7.45,7.06,9.03,14.33,19.75,-100,0
7.93,7.17,7.12,7.17,7.19,9.28,16.13,22.33,-100,0
7.28,7.35,7.16,7.5,6.95,9.52,15.27,21.91,-100,0
7.12,7.38,7.31,7.61,7.34,9.86,15.77,23.64,-100,0
7.2,6.81,7.02,7.43,7.66,9.83,16.93,24.25,-100,0
6.03,5.81,6.28,6.76,6.57,9.18,14.37,20.39,-100,0
6.17,5.96,6.2,6.94,6.77,9.33,14.47,21.31,-100,0
6.69,5.74,5.62,6.52,7.01,9.3,15.25,22.45,-100,0
6.57,6.03,5.81,6.66,6.85,9.45,14.14,22.08,-100,0
7.42,6.19,5.65,6.29,6.6,9.21,13.54,21.42,-100,0
7.52,6.29,5.57,6.26,6.96,8.88,14.53,22.96,-100,0
7.09,6.35,5.38,6.17,6.31,8.47,12.22,21.74,-100,0
6.29,5.86,5.26,5.57,5.74,7.34,9.62,16.46,-100,0
5.22,5.63,5.01,5.38,6.29,7.96,12.95,20.87,-100,0
4.44,5.05,4.6,4.96,5.56,7.55,10.13,19.33,-100,0
3.44,3.69,3.95,4.39,5.02,7.03,8.77,17.24,-100,0
2.47,2.69,2.75,3.57,4.82,6.44,9.53,15.86,-100,0
2.16,2.36,2.49,3.19,4.12,6.13,6.94,13.47,-100,0
1.79,1.87,1.86,3.13,3.97,5.88,6.62,12.6,-100,0
1.32,1.44,1.4,2.77,4.19,5.65,8,12.76,-100,0
0.8,0.86,1.02,2.37,3.33,5.3,4.65,8.97,-100,0
0.62,0.51,0.16,2.12,2.89,5.04,3.8,6.91,-100,0
3.39,1.64,0.88,2.4,3.64,5.27,6.95,10.36,-100,0
4.14,2.46,0.98,2.44,3.04,5.09,4.89,7.8,-100,0
4.96,4.38,3.24,3.7,4.22,5.78,6.42,10.4,-100,0
3.69,3.27,1.96,2.37,3.54,5.16,6.09,9.91,-100,0
2.94,2.71,2.01,2.38,3,5,4.28,7.94,-100,0
2.23,2.25,1.65,1.71,2.62,4.77,3.27,6.32,-100,0
1.71,1.97,1.27,1.49,2.44,4.57,3.85,6.17,-100,0
