This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198003, -18.36, -16.89, -19.11, -13.65,  -9.58, -10.17
198004,   6.39,   5.31,   6.02,   5.25,   4.40,   4.67
198005,   7.16,   7.31,   8.10,   5.32,   4.21,   6.14
198006,   3.50,   4.25,   4.94,   2.54,   2.92,   3.05
198007,   8.05,   8.67,  12.86,   6.93,   5.61,   7.27
198008,   5.07,   5.21,   6.53,   0.87,   0.87,   1.64
198009,   2.38,   2.05,   4.68,   1.98,   1.45,   5.48
198010,   3.08,   3.43,   4.46,   1.33,   0.92,   2.72
198011,   5.00,   4.71,  10.14,   7.95,   9.18,  14.75
198012,  -3.03,  -2.39,  -4.70,  -3.63,  -2.68,  -4.09
198101,   0.26,   0.71,  -2.97,  -3.27,  -3.15,  -8.48
198102,   1.37,   2.13,  -0.13,   2.24,   1.67,  -0.15
198103,   5.97,   6.66,   8.93,   6.28,   2.36,   4.55
198104,   2.96,   3.05,   3.12,  -0.56,  -1.66,  -2.91
198105,   2.44,   2.43,   4.24,  -1.20,   0.06,   0.69
198106,  -0.77,  -0.15,  -4.32,  -0.73,  -0.34,  -2.34
198107,  -2.45,  -2.30,  -2.67,  -3.78,  -0.91,   2.67
198108,  -7.64,  -6.03,  -9.29,  -6.53,  -5.63,  -7.39
198109,  -7.79,  -6.28,  -9.62,  -5.34,  -3.66,  -8.78
198110,   7.36,   6.75,   8.54,   4.31,   3.60,   9.01
198111,   2.42,   4.49,   2.03,   4.09,   3.64,   3.82
198112,  -1.34,  -1.55,  -2.90,  -1.98,  -2.42,  -4.85
198201,  -2.99,  -2.56,  -4.75,  -2.50,  -0.69,  -4.75
198202,  -3.82,  -2.38,  -6.78,  -3.14,  -4.39,  -8.96
198203,  -0.03,  -0.21,  -2.40,  -1.07,   0.04,  -3.08
198204,   5.11,   4.68,   6.24,   6.04,   3.07,   5.39
198205,  -2.78,  -2.16,  -3.28,  -4.63,  -3.72,  -3.60
198206,  -2.43,  -1.81,  -3.76,  -1.16,  -0.80,  -4.88
198207,  -0.76,  -1.11,  -2.47,  -2.67,  -1.69,  -3.83
198208,   8.28,   7.98,   8.13,  12.34,  10.54,  12.49
198209,   3.42,   4.50,   2.75,   0.63,   1.19,   1.62
198210,  13.13,  12.71,  14.64,  14.02,   9.53,  13.36
198211,   9.68,   8.55,   8.60,   4.49,   2.96,   5.29
198212,   1.83,   0.37,   0.99,   0.66,   1.88,  -0.48
198301,   6.69,   5.38,   8.05,   3.88,   3.22,   3.50
198302,   6.85,   6.48,   3.98,   1.86,   1.82,   3.05
198303,   6.61,   5.12,   3.05,   4.96,   2.53,   3.13
198304,   8.36,   7.47,   7.11,   8.14,   7.37,   6.23
198305,   6.59,   4.69,   7.10,  -0.92,  -2.05,   1.96
198306,   4.86,   4.10,   4.24,   2.14,   2.94,   4.69
198307,  -1.84,  -1.44,  -3.45,  -1.34,  -2.97,  -5.49
198308,  -4.02,  -2.36,  -3.96,   2.28,   0.68,  -0.75
198309,   2.01,   2.19,   1.15,   1.20,   1.90,   0.74
198310,  -4.87,  -4.35,  -7.45,  -0.97,  -0.92,  -4.41
198311,   4.91,   4.40,   3.79,   2.17,   1.25,   2.55
198312,  -0.95,  -1.26,  -2.43,  -0.36,  -1.11,  -1.52
198401,  -0.45,  -0.37,  -2.63,   0.11,  -0.17,  -3.71
198402,  -5.77,  -5.21,  -5.99,  -3.20,  -3.94,  -5.50
198403,   1.60,   0.68,   0.63,   2.08,   0.64,   0.71
198404,  -1.03,  -0.15,  -0.88,   1.13,   0.99,  -0.53
198405,  -5.66,  -4.18,  -6.28,  -6.82,  -5.73,  -4.68
198406,   1.98,   2.70,   2.80,   0.86,   2.94,   2.91
198407,  -6.01,  -2.35,  -4.87,  -4.25,  -1.42,  -0.94
198408,  10.31,   9.72,  12.75,  12.06,   9.24,  11.76
198409,   0.29,   1.43,  -2.18,   0.54,   0.20,  -1.71
198410,  -2.65,  -0.14,  -1.40,  -1.30,   0.84,  -0.06
198411,  -2.03,  -0.40,  -3.56,  -0.69,  -1.06,  -2.78
198412,   0.33,   1.95,   2.35,   1.76,   2.24,   2.54
198501,  10.60,   9.56,  13.67,   6.78,   6.55,  10.69
