This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200903   5.82   4.47   4.67   5.24   7.07  10.19
200904  17.81  15.23  16.45   9.17  12.01  21.74
200905  14.17  13.89  13.31  12.75  13.72  11.25
200906   0.37  -0.20  -1.42  -0.71  -3.08  -1.47
200907   6.31   6.56   8.28   8.48  10.41  13.82
200908   4.53   7.47  11.26   2.62   4.39  10.79
200909   6.42   7.07   7.82   4.97   5.02   5.66
200910   0.17  -0.91  -1.47   0.10  -1.60  -5.10
200911   1.41   1.06   0.62   3.59   3.70   2.01
200912  -0.22  -0.73  -1.25   1.89   1.64  -0.08
201001  -0.85  -1.48  -1.06  -3.72  -6.66  -7.23
201002  -2.43  -2.47  -3.39  -0.85  -2.40  -3.23
201003   4.38   5.92   7.47   4.53   6.35   9.82
201004   1.65   0.81   0.55  -2.78  -1.49  -2.91
201005 -10.99 -12.18 -14.06 -10.19 -12.04 -14.14
201006  -0.64  -0.22  -2.03   1.33  -2.37  -1.60
201007  10.43  10.59  11.58   8.69  11.61  17.42
201008  -4.19  -4.15  -4.84  -1.82  -4.28  -6.82
201009  12.82  13.05  11.73  10.32  12.20  11.82
201010   5.64   5.30   5.14   4.57   5.30   5.36
201011  -7.39  -6.34  -8.23  -6.34  -7.51 -11.87
201012  10.31  11.76  11.53   7.68   9.37   9.09
201101   2.41   3.61   4.24   0.75   3.29   8.60
201102   1.43   1.98   2.70   3.06   3.02   3.42
201103   1.99   2.26   1.24   1.08  -0.61  -1.92
201104   7.44   6.79   7.29   8.67   8.22   7.54
201105  -2.62  -2.70  -3.51  -1.01  -3.43  -4.65
201106  -3.27  -3.18  -3.29  -1.95  -1.91  -1.61
201107  -2.50  -2.58  -4.33  -1.15  -2.54  -6.85
201108  -9.05  -8.92 -10.02  -6.91 -10.08 -13.61
201109 -11.01 -13.52 -13.89 -10.85 -11.67 -11.86
201110   9.47   8.11   6.71  11.04  12.26  10.59
201111  -5.88  -7.23  -8.62  -3.01  -3.47  -7.10
201112  -2.93  -2.60  -3.77  -1.59  -1.58  -3.21
201201   8.70   8.74   7.58   4.29   5.00   7.21
201202   8.12   7.37   7.45   6.01   6.66   5.95
201203   0.91   0.70  -0.09   1.62  -0.72  -0.79
201204  -0.32  -0.57  -2.92  -0.12  -1.36  -6.47
201205 -11.29 -12.14 -13.06 -10.54 -12.43 -14.10
201206   3.13   2.89   4.21   6.00   6.52  11.18
201207   0.30  -0.73  -1.42   2.00   1.35  -1.46
201208   3.99   4.17   5.82   2.90   4.12   7.39
201209   4.47   4.41   6.00   2.53   2.40   5.56
201210   1.07   1.08   1.71   0.76   1.35   3.59
201211   0.05   0.42   0.16   3.40   1.87   2.38
201212   4.68   5.05   7.09   1.56   3.62   4.71
201301   4.17   6.73   9.38   4.49   6.28   7.83
201302  -0.15  -0.14  -1.92  -0.30  -2.65  -5.09
201303  -0.16  -1.61  -2.37   2.30  -0.15  -3.96
201304   1.87   2.53   4.83   2.88   3.46   7.33
201305   2.16   1.66   2.99  -0.93   1.00   3.39
201306  -1.67  -2.50  -3.83  -3.38  -4.70  -6.58
201307   5.29   6.51   6.48   5.78   7.56   9.78
201308   2.12   1.14   2.36  -1.14  -1.34  -0.74
201309   6.77   7.26   7.59   6.10   7.83   7.44
201310   2.20   4.32   6.34   2.38   4.16   6.73
201311   2.96   2.44   0.95   0.79   1.60   1.52
201312   2.81   2.56   2.99   2.34   2.22   2.52
201401  -1.40   0.33   1.30  -4.78  -3.42  -2.28
201402   7.35   7.32   8.50   7.49   7.27   6.93
201403  -1.71  -0.61   1.60  -0.78  -0.34  -0.58
201404  -0.90  -0.10   0.49   2.00   2.39   1.50
201405   0.24   0.18   0.20   1.35   0.95   0.28
201406   0.08   0.54  -0.72   1.02   0.15  -1.56
201407  -4.54  -5.00  -4.21  -3.88  -4.55  -3.61
201408  -0.25  -0.84  -1.40   0.51  -0.06  -0.30
201409  -5.67  -5.27  -6.42  -3.16  -4.03  -3.34
201410  -2.35  -3.06  -5.73  -0.81  -2.68  -4.13
201411   1.44   0.72   0.99   3.26   3.30   0.36
201412   0.20  -1.57  -3.28  -3.19  -3.85  -5.29
201501  -1.34  -1.99  -2.05   2.27   0.89  -3.76
201502   7.08   7.02   7.54   4.55   6.10   7.87
201503  -2.91  -2.30  -2.75  -1.53  -2.87  -2.20
201504   7.43   6.12   6.73   3.88   4.68   5.15
201505   2.69   1.68  -0.31   0.74  -0.28  -1.61
201506  -0.78  -1.00  -1.24  -3.68  -2.74  -2.78
201507   2.91   2.01   0.31   4.05   2.24   1.24
201508  -2.43  -2.68  -2.76  -6.05  -5.87  -7.40
201509  -2.38  -3.14  -4.27  -2.39  -3.17  -7.61



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   5.95   4.36   4.74   5.39   4.62   4.10
199008  -8.41  -9.73  -9.06 -11.30 -12.10 -12.33
199009 -10.15  -9.52  -9.73 -13.09 -12.87 -12.98
199010   3.17   3.98   2.80   7.24   6.96   6.22
199011  -3.50  -3.46  -2.70  -1.39  -1.33  -1.17
199012  -1.65  -0.63  -0.44  -0.59  -0.87  -0.02
199101  -1.69  -2.37  -2.44   3.25   0.42   1.36
199102  10.66  10.29   9.87   9.03  10.76  11.81
199103  -0.52  -1.56  -2.01  -5.89  -5.92  -5.39
199104   0.03   0.19  -1.50  -0.50  -1.29  -2.08
199105  -2.32  -3.36  -3.11   0.56   0.83   0.74
199106  -6.71  -7.82  -6.61  -6.36  -6.35  -6.80
199107   3.00   2.92   2.88   3.94   4.90   4.61
199108   0.32   2.02   0.58   1.60   1.40   0.86
199109   5.86   7.41   7.46   3.43   2.78   2.76
199110  -3.44  -1.92  -3.28  -3.03  -3.37  -2.95
199111  -0.43  -0.82  -1.25  -1.46  -2.90  -3.12
199112   3.57   3.10   2.97   5.34   5.45   4.48
199201  -1.74  -1.99  -1.88  -0.72   1.22   2.34
199202   0.34  -1.22  -1.17   0.02   0.05  -0.46
199203  -5.38  -3.84  -4.05  -2.41  -2.99  -2.98
199204   5.49   5.29   7.38   3.71   5.20   5.39
199205   7.62   7.03   7.81   3.67   5.47   5.20
199206  -1.90  -1.15  -0.58  -1.43  -2.08  -2.16
199207  -4.84  -5.00  -6.43  -3.92  -5.38  -6.73
199208  -1.85  -1.72  -2.22  -1.42  -2.00  -1.48
199209  -6.22  -7.42  -8.15  -3.12  -4.55  -7.63
199210  -9.78 -10.75  -8.53  -6.20  -6.04  -3.03
199211  -2.39  -2.67  -1.60  -1.29  -0.10  -0.93
199212   3.93   2.36   0.70   0.92   1.63   0.61
199301   7.20   5.54   6.86   1.42   2.65   7.38
199302   1.69   1.05   1.99   0.56   2.42   1.07
199303   7.54   7.51   8.80   5.80   5.69   5.39
199304   6.03   6.31   8.06   2.35   4.23   7.13
199305   1.03   2.65   4.32   0.53   0.38   1.94
199306  -4.85  -4.89  -3.13  -3.75  -3.95  -3.63
199307  -1.10   0.39   5.14   1.19   2.07   3.23
199308   9.56   8.91  10.79   7.85   8.86  11.47
199309   1.17   1.56   2.04  -1.10   0.12  -2.03
199310  -0.34   0.98   1.15   1.67   2.48   1.59
199311  -0.50   0.02   0.07  -1.31  -2.45  -3.47
199312   3.30   5.30   6.34   5.90   7.71  10.15
199401  11.00  11.33  17.09   6.47   8.32  12.82
199402   0.56   1.16   2.96  -1.88  -2.37  -1.57
199403  -1.69  -0.65  -0.33  -1.35  -1.80   1.41
199404   3.07   3.27   4.91   3.62   4.65   6.35
199405  -1.91  -2.26  -0.93  -3.47  -3.69  -4.27
199406  -1.44  -0.49  -0.90  -0.29  -1.37  -2.01
199407   0.58   1.88   1.91   4.05   5.39   3.91
199408   2.27   1.67   1.35   2.17   1.80  -0.27
199409  -0.71  -0.33   0.58  -2.68  -3.28  -1.98
199410   1.11   0.95   1.39   3.14   2.96   1.54
199411  -5.84  -4.05  -4.37  -4.64  -4.34  -4.34
199412   0.44   0.56   1.55   0.78   0.64   0.43
199501   1.56   0.23   1.17  -1.90  -1.05  -0.11
199502   0.94   1.20   1.75   2.96   2.11   1.19
199503   1.98   2.42   2.42   3.90   2.25  -0.63
199504   1.48   1.16   1.03   2.19   3.46   4.03
199505   2.34   1.43   2.11   2.34   1.90   2.89
199506   0.60   1.51   1.92   2.55   1.07   0.88
199507   4.00   3.51   2.39   4.06   4.68   3.86
199508  -2.06  -2.51  -2.51  -2.55  -4.24  -5.03
199509   2.88   3.01   2.75   2.66   2.06   1.65
199510  -0.24  -0.16  -0.82  -1.35  -1.65  -2.24
199511  -2.67  -3.11  -2.29  -2.29  -1.13  -1.70
199512   1.35   1.33   1.34   2.31   2.36   2.47
199601   0.37   0.37   0.60   1.63   1.05   1.71
199602   4.11   3.25   3.43   3.11   3.27   3.32
199603   0.17   1.44   1.89   1.47   1.18   0.09
199604   0.83   1.37   1.89   0.70   2.61   2.13
199605   3.91   3.65   4.04   2.91   2.01   2.73
199606  -0.40  -0.04   0.54   0.12  -0.08  -0.14
199607  -1.68  -0.63   1.02  -2.02  -1.58  -1.51
199608   2.17   2.23   1.46   3.10   1.97   2.04
199609  -0.99  -1.24  -0.59  -0.09   1.11   0.23
199610   1.24   1.70   2.25   2.31   1.89   0.83
199611   2.24   1.83   2.80   3.25   3.01   5.08
199612   1.45   1.72   2.53   1.50   2.52   4.02
199701   0.09   1.44   1.80  -0.33   0.11   3.51
199702   3.85   2.58   2.38   0.51   0.52   1.24
199703   0.62   1.48   2.01   1.04   2.47   2.83
199704  -1.98  -1.87  -0.83  -2.38  -1.73  -0.97
199705   1.61   3.44   3.62   3.31   3.64   3.38
199706  -0.47   0.24   1.14   1.95   3.67   3.21
199707  -3.05  -2.81  -1.58   1.36   1.69   3.11
199708   1.20   0.99   0.85  -2.19  -2.57  -2.42
199709   4.68   4.87   5.73   7.10   7.76   9.76
199710  -0.28  -0.34   0.52  -3.56  -3.87  -2.42
199711  -2.10  -1.71  -1.08   0.83   0.73  -0.86
199712  -1.32  -1.79  -0.60   0.85   0.96   4.03
199801   1.71   0.95   2.83   2.55   2.13   4.84
199802   5.71   4.70   6.35   7.40   7.24   8.65
199803   6.64   6.56   7.54   7.11   8.50  11.92
199804   5.07   4.34   5.53   2.82   4.78   2.85
199805   5.13   4.19   4.40   2.31   3.01   3.02
199806  -3.08  -2.30  -2.33  -2.90  -2.48  -4.03
199807  -1.35  -0.98  -0.06   2.68   1.83   2.06
199808 -10.25  -9.16  -6.80 -11.20 -11.03 -12.55
199809  -3.85  -3.67  -2.21  -3.39  -4.70  -5.50
199810  -0.56  -0.03   0.32   6.14   7.65   6.31
199811   1.87   1.22   1.25   3.29   1.99   5.33
199812   1.06  -0.55   0.62   2.29   2.39   1.28
199901   2.88   0.43   0.84   1.63  -1.16  -0.77
199902   0.80  -0.85   0.36  -1.95  -2.01  -1.91
199903   1.34   0.49   1.34  -0.10   0.23   2.64
199904   4.06   5.40   4.67   3.01   5.39   5.21
199905   0.83   2.10   3.66  -1.32  -2.20  -2.47
199906   1.66   2.29   2.97   2.01   1.93   1.97
199907   4.52   7.19   5.35   2.25   1.71   2.98
199908   3.97   4.69   3.06   0.93   1.27   1.24
199909   1.72   1.87   1.73  -0.27   0.06   0.10
199910   0.08   0.38  -0.13   1.60  -0.95  -2.02
199911  10.40   3.96   0.60   5.43  -0.68  -1.39
199912  11.05   6.71   4.03  10.07   7.16   6.40
200001   8.63   4.60   2.01  -5.97  -7.05  -8.69
200002  10.96   6.37   1.14   7.01   3.04   1.20
200003  -1.52   0.17   0.68   1.02   3.12   4.46
200004 -10.39  -7.49  -5.32  -6.39  -3.07  -3.36
200005  -2.27   2.40   3.89   0.48   4.13   4.05
200006   1.01   1.06   2.78   1.17   1.90   2.48
200007  -4.10  -2.05  -1.11   3.10   0.28  -0.67
200008  -2.36  -0.98  -0.58   0.52  -0.47  -0.52
200009  -2.57  -1.69  -1.11  -5.81  -2.23  -2.66
200010 -14.53  -7.48  -4.35  -7.64  -2.03   0.61
200011 -12.31  -4.59   0.23 -12.83  -0.49   2.91
200012   2.33   3.46   5.91   6.43   8.25   8.26
200101   3.90   5.81   3.74   5.26   1.88   1.10
200102  -6.77  -5.36  -1.11 -13.49  -3.33   0.59
200103 -12.18  -9.35  -7.14 -15.98  -8.58  -8.24
200104   3.65   4.13   4.22  13.67   5.65   4.78
200105  -6.57  -2.65  -0.90  -6.16  -3.13  -1.69
200106 -11.61  -5.13  -1.02 -10.22  -2.68  -2.13
200107  -6.03  -2.61  -0.20  -1.22   0.00   1.18
200108  -3.01  -0.21   1.63  -3.43   0.60   0.56
200109 -19.29 -15.78 -11.46 -15.01 -12.94 -14.86
