This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197903,   9.05,   8.13,  10.22,   5.78,   5.03,   6.19
197904,   2.92,   2.08,   2.48,  -2.12,   0.44,   0.93
197905,  -0.88,  -1.91,  -1.50,  -1.43,  -2.58,  -2.65
197906,   6.12,   5.39,   4.85,   5.53,   4.02,   3.71
197907,   1.93,   3.34,   3.05,   1.95,   1.30,   0.73
197908,   7.22,   6.86,   8.80,   3.87,   5.59,   5.38
197909,  -0.67,  -0.76,  -0.34,  -1.10,  -0.60,   0.46
197910, -10.64, -10.31, -10.31,  -8.27,  -7.14,  -6.20
197911,   8.51,   6.43,   9.42,   5.64,   4.56,   5.02
197912,   7.41,   5.28,   6.18,   1.38,   1.93,   1.76
198001,  10.71,   6.72,   7.01,   5.94,   4.90,   6.26
198002,  -0.78,  -3.17,  -2.10,   0.45,  -2.85,  -0.22
198003, -19.91, -16.67, -17.95, -12.65,  -9.26, -10.92
198004,   6.65,   5.62,   5.55,   6.44,   4.57,   3.87
198005,   7.12,   7.37,   8.29,   4.77,   5.24,   4.45
198006,   4.24,   4.05,   4.51,   3.59,   1.95,   3.41
198007,   8.85,   8.87,  13.11,   3.68,   6.12,   7.63
198008,   4.75,   5.35,   7.02,  -0.83,   1.76,   1.15
198009,   2.66,   2.07,   4.86,   1.24,   2.78,   3.17
198010,   4.32,   3.23,   4.22,  -0.55,   1.14,   2.71
198011,   7.28,   5.94,   8.46,   4.38,  11.83,  11.84
198012,  -4.93,  -2.27,  -3.87,  -1.21,  -2.97,  -4.26
198101,  -1.01,  -0.12,  -2.22,  -0.90,  -4.76,  -6.21
198102,   0.86,   1.05,   0.75,   0.26,   2.28,   0.65
198103,   6.66,   6.98,   8.50,   7.84,   3.65,   2.12
198104,   1.64,   2.31,   4.84,  -1.57,  -1.09,  -2.69
198105,   2.67,   2.29,   4.74,   1.12,  -0.13,  -0.30
198106,  -2.10,  -0.89,  -3.50,   0.11,  -1.58,  -0.85
198107,  -1.82,  -2.17,  -3.28,  -2.15,  -1.03,   1.76
198108,  -8.52,  -6.59,  -8.83,  -6.71,  -5.89,  -6.72
198109, -10.04,  -7.20,  -7.86,  -4.93,  -4.70,  -6.82
198110,   7.19,   6.71,   9.72,   2.36,   5.42,   6.84
198111,   0.77,   4.00,   2.75,   5.04,   3.26,   3.59
198112,  -2.58,  -2.22,  -1.64,  -3.72,  -2.39,  -3.71
198201,  -3.04,  -3.04,  -4.44,  -0.93,  -2.66,  -2.42
198202,  -4.19,  -4.08,  -5.72,  -1.95,  -5.78,  -7.26
