This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19640303,   0.14,  -0.15,  -0.19,   0.52,   0.29,   0.33
19640304,  -0.07,  -0.11,  -0.14,  -0.13,  -0.25,  -0.20
19640305,   0.21,   0.16,   0.36,  -0.15,  -0.05,   0.05
19640306,   0.78,   0.62,   0.45,   0.41,   0.16,   0.63
19640309,   0.19,   0.17,   0.10,   0.19,  -0.14,   0.29
19640310,   0.19,   0.21,  -0.36,   0.23,   0.29,   0.56
19640311,   0.46,   0.20,   0.03,   0.60,   0.41,   0.51
19640312,   0.23,   0.16,   0.12,   0.13,   0.16,   0.32
19640313,   0.35,   0.20,   0.31,   0.46,   0.04,  -0.03
19640316,  -0.19,   0.32,   0.05,  -0.13,   0.21,  -0.14
19640317,   0.43,   0.11,   0.34,   0.12,   0.18,   0.23
19640318,   0.43,   0.37,   0.30,   0.40,   0.16,  -0.15
19640319,  -0.04,   0.15,   0.01,  -0.04,  -0.07,  -0.15
19640320,   0.12,  -0.51,   0.03,  -0.19,  -0.51,  -0.53
19640323,   0.36,   0.21,   0.36,   0.03,   0.05,  -0.01
19640324,   0.14,   0.08,  -0.03,   0.20,  -0.25,  -0.25
19640325,   0.73,   0.66,   0.44,   0.51,   0.01,   0.47
19640326,   0.83,   0.27,   0.44,   0.57,   0.10,   0.30
19640330,   0.15,   0.01,  -0.23,   0.14,  -0.03,  -0.37
19640331,  -0.12,  -0.16,   0.07,  -0.10,  -0.05,  -0.49
19640401,   0.76,   0.82,   0.56,   0.24,   0.37,   0.34
19640402,   0.69,   0.69,   0.16,   0.74,   0.51,   0.59
19640403,   0.27,   0.16,   0.22,   0.22,   0.16,   0.45
19640406,   0.37,   0.31,   0.23,   0.13,  -0.02,   0.22
19640407,  -0.41,  -0.28,   0.00,  -0.80,  -0.09,  -0.64
19640408,   0.38,   0.34,   0.53,   0.10,   0.03,  -0.06
19640409,   0.21,  -0.07,   0.21,   0.26,  -0.16,   0.21
19640410,   0.33,   0.20,   0.17,   0.08,   0.02,   0.57
19640413,  -0.29,   0.05,  -0.27,   0.05,   0.05,  -0.42
19640414,  -0.11,  -0.01,   0.17,   0.02,   0.42,   0.12
19640415,   0.08,  -0.17,  -0.19,   0.18,   0.26,  -0.01
19640416,   0.04,  -0.25,   0.07,  -0.03,   0.22,  -0.07
