This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198904,   3.90,   4.68,   5.26,   5.31,   4.82,   5.52
198905,   3.99,   3.84,   4.91,   4.30,   4.03,   4.27
198906,  -2.52,  -0.89,  -1.83,  -0.50,   0.04,  -0.99
198907,   3.58,   4.59,   4.40,   6.50,   7.92,   9.49
198908,   2.21,   2.14,   3.65,   2.69,   1.76,   2.21
198909,  -0.37,   0.64,   1.06,  -0.44,  -0.70,   0.55
198910,  -6.00,  -5.36,  -5.45,  -2.55,  -2.02,  -2.95
198911,   0.32,   1.07,   0.40,   3.01,   2.45,   0.94
198912,  -0.33,   0.09,  -0.04,   1.68,   3.29,   1.09
199001,  -7.74,  -8.06,  -9.63,  -6.46,  -6.82,  -7.35
199002,   2.94,   2.58,   3.01,   1.83,   1.45,   1.36
199003,   2.93,   4.01,   4.79,   0.81,   1.91,   3.23
199004,  -3.33,  -3.20,  -3.15,  -4.70,  -2.85,  -1.70
199005,   6.08,   7.16,   7.79,   8.38,   8.75,  10.24
199006,   1.66,   0.84,  -0.23,   0.43,  -1.32,  -0.14
199007,  -4.30,  -3.39,  -4.28,  -0.80,   0.11,  -1.71
199008, -13.60, -11.71, -14.33,  -9.18,  -8.70,  -9.32
199009,  -9.25,  -7.98, -10.31,  -6.83,  -3.75,  -5.75
199010,  -7.78,  -4.68,  -5.08,  -2.91,  -0.72,   0.26
199011,   5.37,   7.75,   8.12,   8.27,   6.21,   7.16
199012,   1.40,   3.95,   5.40,   1.95,   2.48,   3.76
199101,   7.94,   8.62,   9.54,   4.35,   4.07,   5.71
199102,  12.43,   9.65,  11.30,   7.64,   6.13,   8.19
199103,   7.53,   6.13,   6.41,   3.25,   1.64,   3.63
199104,  -0.09,   1.00,   1.11,   0.30,   0.01,   0.38
199105,   3.11,   4.07,   5.21,   2.81,   3.33,   5.05
199106,  -5.63,  -4.05,  -3.57,  -5.43,  -4.47,  -4.33
199107,   3.27,   3.64,   4.64,   3.81,   4.17,   5.38
199108,   4.70,   2.95,   4.25,   1.48,   1.32,   3.80
199109,   1.24,   0.29,  -0.21,  -0.17,  -0.24,  -2.32
199110,   4.22,   2.23,   2.11,   3.11,   1.21,   1.44
199111,  -6.06,  -3.56,  -4.36,  -3.09,  -4.48,  -2.99
199112,   7.49,   7.98,   9.95,   8.17,   9.57,  13.34
199201,   9.85,   7.14,   8.17,  -0.58,  -1.57,  -1.50
199202,   2.30,   2.32,   4.24,   2.20,   1.26,   0.84
199203,  -3.87,  -1.99,  -3.89,  -1.95,  -2.03,  -2.19
199204,  -5.65,  -2.08,  -2.65,   1.13,   3.72,   1.55
199205,   1.60,   0.89,  -0.89,   0.30,   0.59,   0.74
199206,  -4.73,  -3.46,  -4.46,  -2.06,  -0.57,  -2.46
199207,   2.54,   3.59,   3.92,   3.08,   4.49,   4.22
199208,  -5.42,  -2.35,  -1.40,  -4.84,  -2.05,  -1.37
199209,   0.02,   2.44,   3.09,   1.20,   0.92,   1.49
199210,   2.54,   2.85,   4.46,   1.02,  -0.42,   1.85
199211,   8.72,   7.48,   8.19,   5.45,   2.27,   4.50
199212,   2.57,   3.80,   3.53,   3.64,   0.90,   1.61
199301,   2.80,   3.76,   3.60,   4.04,   0.89,  -0.07
199302,  -3.80,  -1.61,  -2.59,   1.51,   2.86,  -0.58
199303,   1.62,   3.02,   3.46,   4.37,   2.60,   1.89
199304,  -2.41,  -2.92,  -3.82,   1.03,  -1.29,  -4.70
199305,   5.51,   4.11,   5.06,   2.92,   2.19,   3.38
199306,   1.00,   0.45,   1.17,   2.24,   0.08,   0.31
199307,   0.22,   1.13,   0.81,   2.59,   0.93,  -2.26
199308,   4.60,   4.04,   4.18,   5.31,   3.36,   3.55
199309,   3.01,   2.10,   3.27,  -1.30,   0.00,  -0.17
199310,   4.31,   1.57,   3.12,   0.62,   1.33,   1.70
199311,  -3.68,  -2.20,  -2.68,  -2.80,  -1.83,  -0.36
