This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199403 ,-13.26  ,-7.70  ,-8.76  ,-9.50  ,-9.47  ,-8.18  ,-9.75  ,-5.08  ,-8.11 ,-13.69 ,-12.17  ,-4.69 ,-10.66 ,-10.12  ,-8.36  ,-5.47  ,-9.35  ,-9.99  ,-8.93 ,-11.55 ,-11.43  ,-8.96  ,-8.02  ,-9.20 ,-11.21
199404  ,-4.13  ,-2.17  ,-2.23   ,1.71   ,1.54   ,0.81   ,5.22  ,-0.93  ,-0.10   ,4.66   ,1.26   ,2.10   ,5.68   ,3.25   ,0.72  ,-0.78   ,4.48   ,0.72   ,3.72   ,2.48   ,5.43   ,2.76   ,0.82   ,2.45   ,0.63
199405  ,-0.82  ,-0.44  ,-1.17   ,3.82   ,1.48   ,0.26   ,0.02   ,1.14   ,0.74   ,0.76  ,-2.03   ,2.17   ,1.81   ,0.19   ,4.10   ,2.88  ,-0.03   ,0.40   ,4.22   ,3.52   ,6.42   ,4.76   ,6.11   ,4.15   ,4.45
199406  ,-3.74  ,-4.35  ,-2.67  ,-3.96  ,-3.64  ,-2.73  ,-6.67  ,-2.80  ,-5.14  ,-3.99  ,-6.53  ,-5.15  ,-4.23  ,-5.57  ,-3.69  ,-2.06  ,-2.30  ,-3.09  ,-6.36  ,-7.27  ,-5.04  ,-5.69  ,-6.57  ,-7.53  ,-9.51
199407   ,2.66  ,-0.40   ,1.20   ,1.42   ,2.16  ,-0.80   ,1.82   ,1.82   ,2.98   ,0.97   ,0.78   ,3.56   ,0.38   ,1.34   ,1.82   ,3.71   ,3.64   ,3.50   ,4.55   ,4.48   ,4.56   ,7.34   ,4.55   ,8.16   ,4.75
199408  ,-1.57  ,-1.00   ,0.92   ,2.14   ,0.85   ,2.58  ,-0.81   ,0.79   ,0.58   ,1.67   ,1.46   ,3.49   ,3.96   ,1.39   ,4.87   ,3.65   ,2.58   ,3.85   ,2.36   ,0.57   ,3.98   ,7.68   ,3.81   ,3.45   ,2.52
199409  ,-1.31  ,-2.16  ,-2.42  ,-2.21   ,0.07   ,1.33  ,-2.00  ,-1.06   ,0.96  ,-2.65   ,2.00  ,-1.05  ,-0.96  ,-0.90  ,-1.24   ,0.00  ,-0.21  ,-0.28  ,-2.05   ,1.65  ,-2.74  ,-2.44  ,-3.02  ,-3.23  ,-1.89
199410  ,-2.06  ,-4.92  ,-2.87   ,0.52  ,-0.63  ,-3.91  ,-0.66  ,-0.73  ,-0.38  ,-2.07  ,-0.37  ,-2.52  ,-1.13   ,1.53   ,2.48   ,0.19  ,-0.18   ,1.14   ,4.83   ,1.68   ,2.40   ,1.02   ,3.78   ,0.27   ,0.46
199411  ,-8.34  ,-7.33  ,-5.91  ,-5.41  ,-5.15  ,-9.38  ,-8.45  ,-8.51  ,-4.44  ,-7.80  ,-7.07  ,-6.95  ,-7.72  ,-5.82  ,-5.54 ,-10.10  ,-6.12  ,-5.46  ,-5.99 ,-13.33  ,-7.87  ,-9.68  ,-6.11  ,-7.81  ,-8.16
199412  ,-2.68  ,-1.08  ,-2.67  ,-3.60  ,-2.40  ,-4.36  ,-5.91  ,-4.80  ,-2.17  ,-1.77  ,-0.72  ,-4.74  ,-0.61   ,0.98  ,-0.61  ,-1.31  ,-1.92   ,1.28   ,2.09  ,-1.22  ,-2.43   ,0.36   ,0.75  ,-2.55   ,0.23
