This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
200805    2.06    0.98    1.22   -3.64    0.18
200806   -6.60    1.30    3.40    4.73    0.17
200807   -3.11   -0.94    1.99    0.74    0.15
200808   -3.98   -2.91    1.37    3.20    0.13
200809  -10.88    1.40    4.89    0.91    0.15
200810  -13.54    4.47    2.77    8.37    0.08
200811    0.00    3.57    0.05    5.93    0.03
200812    8.53    0.81    0.81    1.15    0.00
200901   -6.50    3.15    0.43   -1.10    0.00
200902  -11.96   -0.87    0.26   -0.80    0.01
200903    1.44    0.32    0.56  -10.53    0.02
200904    7.97   -3.95   -0.57  -15.94    0.01
200905   11.05    1.84   -3.30   -8.97    0.00
200906    2.70    4.50    0.08   -3.44    0.01
200907    4.04   -1.62    0.77   -1.46    0.01
200908    3.42    2.87   -0.32   -0.72    0.01
200909   -0.90    1.54   -3.60    3.49    0.01
200910   -2.32   -0.21    0.69   -0.75    0.00
200911   -2.07   -2.70   -4.62   -3.47    0.00
200912    0.25   -4.10    6.17    6.55    0.01
201001    2.81   -0.05    0.84   -3.06    0.00
201002    0.39    1.03   -1.40   -2.33    0.00
201003    4.74   -1.78    6.14    3.33    0.01
201004    0.51    4.14    1.59    0.07    0.01
201005   -7.90    2.30   -3.92   -1.40    0.01
201006   -0.65    2.11   -3.15   -1.58    0.01
201007    2.98   -1.44   -1.04    1.88    0.01
201008   -2.57   -0.40    0.75    0.22    0.01
201009    4.72   -0.52   -1.60    1.35    0.01
201010    1.41   -3.48   -0.66   -0.09    0.01
201011    1.86    0.38    0.70   -1.40    0.01
201012    7.56    2.35    1.78   -0.11    0.01
201101    0.33    1.57    0.84    1.82    0.01
201102    4.77   -0.56    1.41    0.50    0.01
201103   -8.66    2.71    0.72    1.48    0.01
201104    0.74   -1.42   -1.28    3.15    0.00
201105   -1.64    0.20   -0.51    0.36    0.00
201106    2.49    1.79    1.44   -1.43    0.00
201107    3.38    0.55   -0.58    1.67    0.00
201108   -7.06    4.71    0.89   -2.88    0.01
201109   -0.42   -0.36    3.15   -3.79    0.00
201110   -1.19   -2.79   -2.42    0.38    0.00
201111   -3.80    2.30    0.24    0.97    0.00
201112    1.16    0.46    1.61    1.49    0.00
201201    4.36    2.38    1.43   -3.40    0.00
201202    3.61   -3.42   -0.23   -8.89    0.00
201203    1.26    1.80   -1.15    1.90    0.00
201204   -1.94    3.02   -1.74    4.31    0.00
201205   -8.43    0.79   -1.55    3.78    0.01
201206    4.74   -1.19    1.28   -0.89    0.00
201207   -1.83    0.88   -3.70    7.18    0.00
201208   -0.64    0.54   -3.08    4.76    0.01
201209    2.13   -0.57    1.44    0.89    0.01
201210   -1.87    0.26   -1.23   -0.66    0.01
201211    1.73   -0.49    0.52   -2.09    0.01
201212    3.89   -2.52    6.81   -3.55    0.01
201301    3.64    0.25    0.84    3.37    0.00
201302    2.85   -1.02    1.39    1.57    0.00
201303    5.39    2.86   -1.88    7.58    0.00
201304    8.53   -1.10   -0.15    6.22    0.00
201305   -5.64   -1.78   -0.26   -7.27    0.00
201306    1.03   -3.91    0.87    0.33    0.00
201307    1.33    2.17    0.06    1.60    0.00
201308   -2.39    0.56   -0.04   -2.36    0.00
201309    8.54    1.56    0.88    4.59    0.00
201310   -0.14    0.52   -0.48   -1.90    0.00
201311    0.95   -2.91    0.69    0.90    0.00
201312    0.76   -0.13    0.44    1.30    0.00
201401   -2.77    5.64   -0.65   -1.91    0.00
201402   -0.31   -2.05    0.14   -1.93    0.00
201403   -1.29    2.10    0.51   -2.84    0.00
201404   -2.25    0.56    0.41   -2.43    0.00
201405    3.74   -2.30    0.01   -0.98    0.00
201406    5.66    1.76    1.00    0.17    0.00
201407    0.72    0.36   -0.64    3.46    0.00
201408   -2.01    3.12    0.17    2.12    0.00
201409   -0.98   -1.27   -0.76   -0.39    0.00
201410   -1.93   -2.09   -1.05    0.82    0.00
201411   -0.18   -1.37   -0.35   -0.29    0.00
201412   -0.72    2.44    0.92    0.72    0.00
201501    2.85    0.40   -0.86    4.43    0.00
201502    5.43   -4.23    2.19   -2.56    0.00
201503    1.68    0.92   -3.69    1.07    0.00
201504    3.53   -1.46    3.22   -2.97    0.00
201505    0.97   -1.43    1.15   -0.69    0.00
201506   -0.78    4.08   -1.98    2.33    0.00
201507    0.95   -0.48   -2.27    1.01    0.00
201508   -5.23    2.74    0.10   -0.77    0.00
201509   -6.38    3.29    0.89    0.91    0.00



 Annual Factors: January-December
      Mkt-RF     SMB     HML     WML      RF
1991    0.87    0.57    4.26    1.39    5.60
1992  -27.12   -5.89    3.30   -1.02    3.51
1993   21.47   -5.99    4.83  -12.28    2.90
1994   18.84    8.11   19.16    2.71    3.90
1995   -8.14   -3.14   -3.42  -14.02    5.60
1996  -21.35   -7.64    7.49   -4.83    5.21
1997  -33.95  -24.68   -9.22   32.40    5.26
1998    2.65    8.83    1.11   -9.62    4.86
1999   77.04  -12.75  -62.88   90.66    4.68
2000  -38.80   -0.63   36.98  -23.74    5.89
2001  -32.68    3.66   15.79   12.58    3.83
2002   -9.42    2.48   13.92   -3.26    1.65
2003   39.94   19.33   12.68  -22.36    1.02
2004   16.14   18.49   11.01    7.06    1.20
2005   24.23   14.20    1.09   25.09    2.98
2006   -3.81  -21.03   12.40   -3.80    4.80
2007   -9.61   -7.04    5.61    9.36    4.66
2008  -27.59    5.65   16.67   13.69    1.60
2009    5.15    0.63   -3.28  -37.95    0.10
2010   16.08    5.49   -0.74   -3.86    0.12
2011  -10.30    9.01    5.29    3.09    0.04
2012    6.39    1.87   -2.03    5.06    0.06
2013   26.74   -4.23    2.99   17.55    0.02
2014   -2.64    6.78   -0.25   -3.53    0.02
