This file was created by CMPT_ME_BEME_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195607   3.23   3.26   3.32   4.76   5.52   4.92
195608  -0.59  -1.49  -2.56  -3.73  -3.52  -3.76
195609  -3.83  -3.59  -2.54  -6.09  -4.14  -4.00
195610   1.07   0.70   0.16   0.53   0.56   1.14
195611  -0.81  -0.50   1.74  -1.01   1.56   0.10
195612   3.10   1.46   1.61   3.20   3.50   1.38
195701  -0.87  -0.10   1.88  -4.45  -3.09  -2.32
195702  -3.06  -3.79  -3.12  -2.26  -2.20  -3.83
195703   1.69   2.00   1.81   2.51   1.44   1.22
195704   2.19   2.08   2.01   5.22   3.82   2.70
195705   2.56   0.69   1.33   4.06   2.46   0.82
195706  -0.39  -1.70   0.33  -0.17  -1.76  -1.10
195707  -0.61   0.50   0.16   1.17   0.28   0.79
195708  -5.31  -4.95  -5.65  -5.99  -3.62  -6.77
195709  -7.58  -5.49  -5.54  -6.49  -4.85  -6.99
195710  -8.21  -5.90  -8.68  -3.92  -3.61  -7.62
195711   2.73   0.72   0.57   2.39   1.35  -1.25
195712  -5.23  -5.37  -6.63  -4.12  -2.98  -6.79
195801  12.10  10.27  11.61   3.33   5.75  11.79
195802  -2.12  -1.04  -0.90  -2.48  -1.03  -3.03
195803   4.30   3.18   2.54   3.21   2.58   2.90
195804   3.23   1.46   4.08   3.23   2.24   4.90
195805   6.19   3.74   3.88   1.43   2.27   2.97
195806   1.41   2.74   2.60   2.94   2.13   2.73
195807   4.19   5.87   6.92   4.29   3.65   7.53
195808   4.09   2.68   2.90   1.18   1.49   3.05
195809   5.07   3.82   7.52   4.54   3.90   7.73
195810   6.90   2.57   2.88   2.55   2.42   3.89
195811   7.41   3.83   3.73   2.78   1.65   3.99
195812   2.35   2.73   3.25   4.78   6.53   3.51
195901   4.33   5.01   5.48  -0.69   2.57   3.94
195902   2.28   3.28   2.55   0.08   1.11   1.90
195903   1.22   1.23   1.33   0.53  -0.43  -0.43
195904   3.95   3.26   2.04   4.66   2.39   3.74
195905  -1.43   0.09   1.18   2.29   0.19   3.23
195906   1.24   0.18   1.53  -0.56  -0.03   1.83
195907   2.13   2.65   3.46   3.90   2.27   2.97
195908  -2.11  -1.50  -2.34  -1.78  -1.37  -0.85
195909  -5.73  -4.96  -4.37  -5.15  -3.68  -5.61
195910   3.96   2.37   1.04   1.38   1.61  -0.03
195911   3.58   1.56   0.19   2.42  -0.55  -0.96
195912   3.03   1.86   1.59   2.79   2.16   3.78
196001  -5.82  -3.27  -3.14  -8.25  -4.54  -5.72
196002   1.80   1.03   0.25   0.87   1.73  -1.67
196003  -2.69  -2.94  -4.18  -1.07  -1.49  -5.42
196004   0.17  -2.34  -3.01  -1.63  -1.51  -3.36
196005   4.86   1.36   2.10   3.82   1.29  -0.99
196006   1.95   2.02   1.29   2.48   1.14   2.49
196007  -3.50  -1.93  -1.57  -3.57  -0.30  -1.62
196008   3.83   3.01   3.70   2.23   3.62   1.66
196009  -8.12  -6.19  -6.44  -6.87  -4.73  -5.30
196010  -6.55  -2.47  -2.93  -0.71  -0.12   0.45
196011   5.97   4.37   2.43   4.84   3.42   3.22
196012   3.64   3.06   2.04   3.46   7.01   3.46
196101   7.37   7.58   9.51   4.77   7.73   9.79
196102   7.69   5.89   7.09   3.66   2.11   2.58
196103   6.93   4.38   5.58   2.05   3.69   1.98
196104   0.92   0.38   2.15  -0.39   1.07   2.33
196105   3.26   4.55   4.54   2.77   1.09   2.16
196106  -6.16  -4.83  -5.85  -2.39  -3.57  -3.10
196107  -0.54   1.13   1.20   3.06   3.49   0.97
196108   0.39   0.01   0.75   2.76   1.36   1.63
196109  -5.20  -3.50  -3.54  -1.26  -3.21  -3.89
196110  -0.19   3.14   0.16   2.19   3.79   2.91
196111   5.61   5.30   4.35   4.38   3.45   3.40
196112  -2.33  -0.07  -0.01  -0.33   0.21   1.64
196201  -2.49  -0.95   2.14  -5.10  -2.09   0.05
196202   0.45   0.41   1.46   1.46   1.88   1.98
196203  -0.80  -1.37  -0.94  -0.46  -0.47  -2.30
196204  -7.35  -7.46  -6.85  -6.67  -5.73  -6.31
196205 -11.58 -10.69  -9.93  -9.52  -7.54  -6.88
