This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196901,   -0.77,    0.16,   -0.68,   -1.72,   -2.42,   -1.02,   -0.03,    0.28,    0.01,    0.29,   -1.62,   -1.12,   -2.32,   -3.42,   -1.57
196902,   -2.99,   -5.82,   -7.19,   -8.16,  -10.82,   -2.32,   -4.87,   -5.80,   -5.85,   -6.60,   -7.89,   -6.89,   -9.57,  -10.76,  -10.88
196903,    3.44,    3.33,    3.05,    2.12,    1.91,    3.38,    3.56,    3.40,    3.24,    3.03,    3.07,    1.28,    3.05,    2.51,    1.32
196904,    2.51,    1.65,    1.06,    1.81,    1.67,    2.76,    1.95,    1.43,    1.93,    0.75,    1.44,    1.33,    2.34,    1.98,    1.39
196905,    0.73,    0.38,   -0.72,    0.24,   -0.12,    0.49,    1.31,    0.72,    0.03,   -0.66,   -0.77,    1.69,   -2.40,    0.27,   -0.52
196906,   -3.69,   -6.81,   -8.90,  -10.59,  -14.50,   -3.28,   -4.63,   -6.94,   -6.68,   -8.07,   -9.86,  -10.06,  -11.40,  -12.60,  -16.09
196907,   -4.98,   -6.74,   -7.38,   -8.43,  -11.42,   -5.30,   -4.07,   -6.07,   -7.33,   -7.02,   -7.86,   -7.08,  -10.38,  -11.00,  -11.77
196908,    3.78,    5.11,    7.05,    7.37,    7.93,    3.69,    4.03,    5.64,    4.60,    7.17,    6.89,    6.58,    8.29,    7.49,    8.32
196909,   -2.51,   -1.07,   -3.78,   -3.04,   -2.47,   -2.60,   -2.17,   -1.41,   -0.49,   -3.67,   -3.91,   -4.51,   -0.54,   -1.97,   -2.91
196910,    4.93,    4.93,    5.69,    8.81,    7.70,    3.75,    7.33,    6.15,    3.81,    4.41,    7.77,    9.55,    8.03,    7.61,    7.79
196911,   -2.76,   -3.27,   -3.27,   -4.42,   -6.11,   -2.56,   -3.29,   -3.36,   -3.15,   -2.54,   -4.20,   -3.75,   -5.00,   -4.76,   -7.40
196912,   -0.70,   -2.43,   -2.09,   -3.55,   -6.47,   -0.64,   -0.86,   -2.71,   -2.06,   -2.66,   -1.16,   -3.61,   -3.46,   -3.96,   -8.65
