This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL NegNI,SMALL ZeroNI,SMALL LoNI,ME1 NI2,ME1 NI3,ME1 NI4,SMALL HiNI,ME2 NegNI,ME2 ZeroNI,ME2 LoNI,ME2 NI2,ME2 NI3,ME2 NI4,ME2 HiNI,ME3 NegNI,ME3 ZeroNI,ME3 LoNI,ME3 NI2,ME3 NI3,ME3 NI4,ME3 HiNI,ME4 NegNI,ME4 ZeroNI,ME4 LoNI,ME4 NI2,ME4 NI3,ME4 NI4,ME4 HiNI,BIG NegNI,BIG ZeroNI,BIG LoNI,ME5 NI2,ME5 NI3,ME5 NI4,BIG HiNI
198502,    4.8407,    3.8389,    3.5727,    4.9628,    3.6667,    2.4325,    3.2078,    1.3853,    1.0568,    2.1638,    3.5874,    2.2620,    2.3794,    2.5907,    2.1335,    3.4605,    0.2768,    2.0401,    0.1060,    0.0413,    1.0968,    3.1916,    2.5599,    3.7602,    1.0807,    0.7011,    0.7303,    0.9752,    2.4275,    5.8722,    3.8127,    1.4506,   -0.4278,    1.0872,    1.4152
198503,   -0.9423,   -0.8036,   -2.0468,   -0.5517,   -1.8795,    0.4824,   -4.3797,   -0.5980,   -0.3353,   -0.7900,   -1.6786,   -2.8948,   -1.7883,   -3.1825,    1.9487,   -0.8679,   -1.7770,    0.1577,   -0.8374,   -0.5908,   -2.8889,    2.4925,   -0.4797,   -0.5328,   -0.9211,   -1.0981,    0.3748,   -1.4451,    0.9111,   -0.2376,    0.7890,    0.4012,   -2.2145,    1.5895,   -0.1472
198504,   -0.3402,   -0.5214,   -0.9981,   -0.0854,    0.9296,   -0.6952,   -2.6257,    0.8509,    0.6548,   -1.0228,   -0.1843,    1.1661,   -1.6190,   -3.5644,   -0.2561,   -0.4719,    0.6661,   -1.8242,    0.3115,    0.9936,    0.1314,    0.8526,   -1.6874,   -0.7917,   -1.9541,    0.1926,   -0.5284,   -0.1538,   -0.3608,    1.2571,    0.2147,   -1.3116,    0.0864,   -0.8335,    0.4117
198505,    2.5519,    1.3124,    0.8341,    3.4176,    5.0750,    2.9177,    2.9627,    4.7362,    5.0785,    2.4920,    2.8996,    4.7747,    4.8817,    4.3537,    4.5442,    3.1324,    3.4406,    6.5455,    3.6351,    4.7455,    6.4772,    6.1013,    6.0566,    6.7135,    7.8771,    4.7758,    3.7160,    6.8109,    6.7380,    0.7921,    4.9355,    7.9702,    4.3528,    8.0182,    8.9521
198506,    1.1106,    0.9685,    0.1696,    1.2669,    0.8235,    3.1298,    0.4202,    3.2113,    2.1760,    2.0015,    1.6232,    4.4705,    1.5204,    1.0289,    3.7964,    2.8496,    2.2106,    2.7102,    1.1100,    3.1104,    3.7158,    3.6993,   -2.2969,    0.2387,    2.5148,    2.0462,    1.7771,    3.6757,    1.3818,    4.5488,    0.6002,    1.6594,   -0.4999,    3.4110,    3.3447
198507,    2.7890,    3.1113,    1.9211,    3.5963,    2.3112,    1.2120,    2.3110,    3.4088,    1.8950,    3.4388,    5.0798,    1.2418,    1.4152,    2.6419,    2.4078,    1.7887,    3.5310,    2.3965,    1.6070,   -0.5189,   -0.0262,    0.3457,    3.6353,    0.5766,    0.9261,   -0.1705,   -3.4184,   -0.2905,   -0.8188,   -1.2645,    0.3612,    2.1301,   -2.3047,   -1.8256,   -4.8889
198508,   -0.0072,   -0.5294,   -0.6130,   -1.6570,   -0.9713,   -0.8575,   -1.5919,   -0.4135,    0.3798,   -0.0238,    0.5218,   -0.7198,   -1.4715,   -1.6740,   -1.1674,   -0.6547,   -0.6981,   -1.6020,   -2.3278,    0.8893,   -1.1661,    0.4604,    5.8739,    0.0162,   -2.2516,   -0.3438,   -0.1253,   -1.8489,    1.2932,    0.8904,   -2.1913,   -1.6752,   -1.8522,    0.2451,   -0.8166
198509,   -3.5484,   -4.4192,   -5.5747,   -5.1851,   -6.4191,   -5.9714,   -7.9540,   -4.2514,   -3.2437,   -6.0642,   -5.7336,   -5.1857,   -5.4611,   -7.5535,   -2.4358,   -5.9059,   -4.8691,   -4.4468,   -5.1554,   -4.1408,   -6.4270,   -3.0360,   -0.8095,   -5.8290,   -6.5067,   -4.0900,   -4.9896,   -7.5757,   -1.8980,   -3.2800,   -3.6317,   -2.0670,   -4.2135,   -5.2704,   -5.0217
198510,    2.8117,    2.1402,    1.5734,    3.1195,    2.4116,    1.1638,    1.1168,    3.9634,    6.2519,    4.1293,    3.8022,    3.4300,    4.0868,    3.6212,    2.6668,    3.3930,    4.5147,    5.5358,    4.7618,    2.9035,    1.7580,    7.5999,    3.0223,    5.5363,    3.3853,    4.8958,    4.5153,    5.6199,    4.5175,    7.9577,    3.1710,    4.8912,    6.0370,    5.8018,    4.7292
198511,    5.0618,    5.8579,    5.4460,    5.0861,    5.4611,    5.1818,    6.5642,    8.2393,    7.2833,    7.2650,    7.7935,    7.9932,    6.6760,    7.4554,    5.9732,    7.6542,    8.0328,    6.3969,    7.3177,    4.7530,    7.2071,    7.7550,    6.8512,    6.3644,    7.7074,    7.2359,    6.6995,    6.9631,    5.9841,    3.4335,    7.9161,    9.3279,    7.0227,    6.1760,    7.6116
198512,    4.3882,    3.0796,    3.3344,    3.7406,    5.1932,    4.5107,    4.1964,    3.8270,    5.6806,    2.9417,    4.7400,    3.6678,    5.3002,    4.7972,    4.7165,    5.3606,    4.7992,    4.4499,    4.2999,    4.2512,    3.3085,    4.7148,    2.8563,    4.1594,    2.7908,    4.4244,    5.2177,    3.8327,    3.0081,   -0.3754,    4.6363,    6.6854,    5.3213,    5.7234,    5.8972
198601,    2.5690,    3.0193,    2.4188,    4.3340,    2.9433,    1.0509,    3.6004,    0.7608,    3.2406,    0.5786,    0.6690,    2.7385,    0.9733,    0.8073,    1.0039,    1.9442,    3.9257,    2.1937,    2.1332,    1.9676,    2.8687,    0.6798,    0.9995,    1.0519,   -0.7564,    2.7723,    3.7396,    3.6757,   -0.1621,    0.4621,   -0.0729,   -0.9998,    3.2953,    3.4543,   -0.7694
198602,    5.5072,    7.0519,    5.8175,    5.8936,    5.8466,    6.0969,    6.8574,    6.9250,    5.6568,    7.6393,    8.2546,    8.6177,    5.5757,    7.6444,    8.4932,    6.8516,    7.5274,    8.2310,    7.9192,    6.3361,    6.8197,    8.8769,   11.0408,    4.4667,    8.7033,    7.8508,    7.6441,    7.8450,    7.9032,    4.7503,    8.8494,    6.1256,    9.5724,    9.2556,    7.1677
198603,    6.2173,    5.5007,    5.1200,    4.9096,    3.7385,    2.6722,    5.4366,    4.3166,    4.5041,    7.8829,    5.8613,    6.8142,    5.4347,    2.2098,    6.7167,    7.2988,    4.3952,    5.7284,    6.9782,    4.3477,    5.0627,    6.9850,    6.8016,    2.8502,    6.1614,    3.7660,    4.7017,    5.6605,    7.3927,    2.9163,    4.8819,    3.1684,    7.1740,    3.7921,    4.4770
198604,    1.6332,    1.4466,    0.6463,    2.3502,    1.6470,    1.8290,    2.7967,    0.9937,   -2.6279,    0.1791,    2.1785,    1.4901,    2.1874,    1.1961,    0.9619,    3.0424,   -0.6229,    1.3204,    1.2446,    0.8675,    1.8812,   -2.1530,   -2.8348,   -1.8513,    0.7883,   -0.3689,   -0.5915,   -0.7968,   -0.6223,   -1.3146,   -2.1000,    0.6794,   -4.2638,   -3.0955,   -1.6934
198605,    3.9746,    4.3850,    2.8405,    3.3529,    3.6850,    3.5857,    4.1479,    3.8821,    3.2681,    2.1739,    3.5894,    4.7879,    3.3452,    4.7879,    4.5615,    5.0555,    5.0810,    5.7633,    3.6219,    5.2715,    5.8580,    5.6552,    5.0142,    5.0074,    6.0130,    5.2528,    4.9184,    4.1932,    7.0829,    3.7687,    3.6936,    3.7352,    6.5946,    5.1193,    3.4908
198606,    2.2301,    0.1915,    0.1258,    0.7358,   -1.4992,    0.6853,   -0.4931,    0.9218,    3.7075,    2.9115,    0.0154,   -0.7671,    1.0338,    0.5414,   -0.4000,    6.2223,    1.2055,   -0.1991,   -0.0592,    3.4728,   -0.7560,    2.6468,    7.0188,    0.3618,   -0.8057,    2.9658,    1.7177,    0.2310,    3.0034,   -1.3072,    1.3157,   -1.0815,    0.9608,    1.5425,    2.9343
198607,   -7.0528,   -7.2806,   -8.2041,   -7.5987,   -9.1438,   -9.4283,  -10.7564,   -8.4081,   -8.2630,  -10.0803,   -8.9892,   -9.2772,   -6.0368,  -10.7171,   -7.4898,   -5.9401,   -9.6293,   -9.5273,   -8.9536,   -5.0448,   -7.8296,   -6.3545,   -3.2214,  -10.7438,   -7.0418,   -5.6290,   -3.1328,   -7.9904,   -4.4255,   -3.3588,   -6.3597,   -7.5773,   -4.5620,   -3.1061,   -3.3216
198608,    2.0633,    0.2898,    1.0675,    1.3670,    1.0752,    1.6585,    1.1026,    2.4560,    0.0155,    3.5701,    4.4538,    6.2552,    7.4204,    3.5867,    5.5040,    2.6653,    4.2464,    8.0154,    7.3504,    4.5530,    5.2723,    6.8956,    3.8803,    8.0091,    8.0907,    8.6713,    6.9033,    5.3808,    6.8698,   13.5757,    6.2968,    6.0648,    7.9153,    7.5149,    8.3883
198609,   -4.5285,   -5.0654,   -6.0761,   -5.6791,   -6.7941,   -8.3224,   -7.0157,   -3.5462,   -6.8471,   -4.7099,   -5.9309,   -7.4440,   -6.9474,   -8.7669,   -6.7484,   -3.7166,   -5.7351,   -7.0192,   -7.4219,   -7.9015,   -5.2950,   -5.9937,   -5.4393,   -5.7659,   -7.5828,   -7.0387,   -8.5603,   -8.5432,   -9.0228,   -7.6660,   -8.9664,   -6.4450,  -10.5329,  -10.3313,   -9.5696
198610,    2.8850,    1.6206,    1.5053,    1.8522,    3.7707,    2.5661,    0.5142,    3.8194,    2.3783,    5.5793,    5.4817,    4.4941,    4.6093,    4.3883,    2.4874,    3.6628,    2.4937,    5.9539,    4.9880,    2.7297,    1.4451,    6.6656,    6.1719,    4.8648,    5.4940,    5.5690,    5.3353,    5.7758,    6.9085,    6.8788,    6.6735,    1.6125,    6.3244,    6.3235,    4.4400
198611,   -0.3197,    0.1724,    1.1472,   -0.1838,   -0.1485,   -1.7849,   -1.3975,    0.4075,   -0.7248,    1.1850,   -0.0529,   -0.8322,   -0.9075,   -0.4582,    2.0404,    0.6332,    0.1678,    0.8345,   -1.0750,   -0.2308,   -1.3145,    2.3182,    0.0265,    2.6553,    0.7877,   -0.1195,    1.8683,   -1.4006,    2.8301,    2.8110,    3.7765,    2.3216,    1.3616,    1.8002,    0.2991
198612,   -3.0946,   -3.9952,   -2.7122,   -2.5958,   -2.0347,   -4.1178,   -4.5393,   -2.2133,   -0.8269,   -2.5514,   -1.8001,   -3.4330,   -3.8503,   -2.8256,   -2.3895,    0.2848,   -1.8831,   -3.1994,   -1.1331,   -3.5859,   -2.3109,   -3.0698,   -3.4992,   -1.6571,   -2.5236,   -3.1080,   -3.7942,   -5.5228,   -2.0828,   -3.7893,   -2.0362,   -4.1996,   -2.6612,   -3.3558,   -1.7665
198701,   11.0688,    8.8494,    9.7018,   10.0180,    9.8245,   11.5607,   11.2610,   11.6262,   10.7966,   11.3296,   12.9860,   14.6979,    9.9049,   12.6285,   12.2848,    7.9787,   10.9942,   12.5692,   15.7041,    9.7880,   11.4706,   12.7260,    9.7891,   12.6054,   12.4657,   14.8162,   10.4130,   10.7596,   14.5535,   19.7194,   13.8776,   11.1483,   12.7267,   11.7309,   11.1060
198702,    8.0937,    7.1713,    9.3595,    7.7415,    8.4992,    8.3148,    8.6484,    7.7101,    3.9593,    7.8119,    9.4563,    8.1048,    4.7788,    8.2177,    6.4191,    5.7446,    5.8503,    6.8572,    6.7514,    4.9571,    8.6762,    6.0106,    2.9145,    4.7588,    7.2494,    7.1183,    0.9349,    7.5609,    2.7952,   -0.3773,    4.9199,    7.0756,    3.8299,    2.0816,    3.6640
198703,    4.7480,    3.5910,    2.8158,    0.4429,    1.8946,   -0.6019,    4.0409,    3.2651,    3.6758,    0.7532,    1.6649,    0.4095,    2.7212,   -0.0921,    2.4098,    1.9883,    1.1019,    1.6053,    0.9630,    2.2278,   -1.3666,    5.3644,   -1.7944,    2.2897,    0.8420,    0.0064,   -0.4591,    0.6125,    3.8093,    7.3023,    2.5383,    4.4484,   -1.4285,    0.3855,   -2.0106
198704,   -1.3414,   -1.0493,   -1.5872,   -2.9896,   -2.1819,   -3.0098,   -1.9790,   -4.1940,   -4.6059,   -2.2554,   -2.5035,   -3.2676,   -4.5325,   -2.2007,   -2.6780,   -1.9176,   -0.4816,   -3.0892,   -0.4362,   -5.0215,   -2.8936,   -1.6761,   -3.6731,    0.0787,   -2.8892,   -1.9944,   -4.0996,   -4.2535,   -1.6018,    2.8328,   -0.8572,    1.1239,   -0.6346,   -2.6926,   -4.1240
198705,    0.1207,    0.3322,    0.8278,   -1.7958,    0.4534,    0.3584,    0.3825,   -0.0657,   -1.7125,   -0.2614,   -0.5418,    0.7739,    0.0334,   -1.1934,   -1.2948,    1.5247,   -0.1539,    1.1702,    1.9662,    0.2385,    1.5055,    2.7450,   -1.7128,    2.2395,   -0.3776,   -0.5999,   -1.4899,    1.4135,    1.0554,    0.6567,    2.0991,    0.7829,    0.7143,   -0.4963,   -1.2045
198706,    1.7024,    1.3282,    3.1956,    1.8607,    1.9811,    0.1217,    0.2952,    3.1749,    1.7919,    3.7240,    3.6811,    3.1938,    1.6583,    2.5133,    5.9326,    4.9482,    5.0817,    2.9370,   -0.4002,    4.7915,    1.5079,    4.7187,    4.1810,    3.7370,    4.1449,    3.2597,    4.5500,    4.4115,    6.0394,    7.0758,    5.1666,    4.2393,    5.1608,    4.8004,    4.3181
198707,    4.3589,    3.8250,    2.4945,    1.7693,    3.8830,    3.1638,    1.3241,    4.1123,    5.2518,    4.1965,    2.9224,    2.4941,    2.2204,    3.0276,    6.9869,    5.1456,    2.8051,    3.2693,    3.7989,    4.5819,    2.7503,    7.8755,    1.6301,    5.3807,    5.7026,    4.2120,    2.7847,    2.4664,    4.3344,   -0.9406,    6.0824,    5.7819,    5.0325,    2.6940,    4.5828
198708,    1.4441,    2.0455,    2.3844,    1.3235,    1.7546,    0.9515,    0.4348,    4.1671,    1.4789,    4.3368,    3.7850,    2.1893,    3.7233,    2.4764,    1.2261,    0.5473,    3.1140,    2.2363,    4.9256,    4.2607,    5.4739,    2.7501,    5.3371,    1.5538,    4.7030,    4.1884,    4.4282,    3.7463,    4.4825,    0.4044,    3.7931,    4.1804,    4.8487,    5.4526,    3.2629
198709,    0.0441,   -0.1794,   -1.3107,   -1.0426,   -1.5235,   -2.0397,   -2.3964,   -0.7334,   -2.3465,   -1.9400,   -2.9562,   -3.1030,   -0.6881,   -1.0697,   -2.6493,   -3.3098,   -2.9554,   -1.9282,   -2.1479,   -1.6088,   -2.6859,    0.1215,   -2.2929,   -1.1907,   -1.1618,   -0.1459,   -1.3492,   -4.4726,   -2.6983,   -3.1239,   -1.5651,   -2.1008,   -2.7685,   -1.8120,   -1.8697
198710,  -27.7165,  -28.5329,  -28.9152,  -30.2556,  -33.0928,  -31.9287,  -31.9277,  -28.7729,  -26.4587,  -26.7481,  -29.6123,  -30.2360,  -29.8593,  -32.6188,  -27.7811,  -21.0692,  -25.5987,  -27.4189,  -26.5342,  -25.8867,  -29.3003,  -25.3009,  -17.6994,  -25.0655,  -26.1992,  -25.9305,  -23.5592,  -25.1303,  -19.6260,  -14.9684,  -18.0764,  -22.9720,  -25.3685,  -19.5396,  -20.2900
198711,   -4.6150,   -3.4009,   -5.5561,   -3.6955,   -4.6045,   -7.5700,   -7.3918,   -3.5272,   -1.6152,   -4.4434,   -5.0113,   -4.4545,   -4.5290,   -7.2053,   -4.8722,   -4.9740,   -3.6701,   -4.9311,   -3.8229,   -2.3882,   -5.1081,   -5.4960,   -3.3564,   -4.8938,   -5.9026,   -7.0762,   -3.0041,   -6.1200,   -8.9509,  -10.9755,  -10.0747,   -6.4670,   -9.8230,   -7.7780,   -5.0299
198712,    5.3593,    1.8815,    5.0745,    5.9580,    5.3182,    2.2488,    2.8161,   10.5991,    1.1278,    9.7288,    8.0233,    7.1785,    8.0735,   10.4248,    8.0833,    6.9286,    7.7480,    9.2883,    9.0095,    4.7882,    9.9651,   10.3402,    4.7495,    7.1270,   11.9381,    9.1035,    5.6740,    9.2014,    6.0951,    6.1626,    5.2750,    7.8894,   13.4418,    6.2471,    6.8109
198801,    5.3496,    7.1267,    4.6245,    4.3634,    5.1585,    7.6488,    6.5054,    2.6590,    5.8428,    3.8722,    5.4491,    4.3992,    2.4721,    3.4221,    3.2022,    3.0593,    6.8001,    5.4301,    3.8421,    3.8859,    3.7144,    2.6293,    5.3500,    3.8419,    2.5998,    2.2812,    5.7406,    4.7381,    4.2570,   11.1724,    7.5466,    3.1488,    2.5333,    4.6078,    6.7705
198802,    6.4319,    6.0898,    6.7310,    8.4768,    8.7431,    7.5955,    6.1287,    9.3656,    5.5737,   10.1306,    9.2779,    8.8520,    9.9878,    8.3309,    8.0424,    4.0847,    7.1432,    9.3755,    9.2552,    7.2820,    7.1991,   10.2826,    3.4127,    7.9753,    7.6916,    7.4994,    5.9567,    6.2717,    4.2606,    0.9435,    3.2891,    5.6876,    6.3154,    1.9559,    3.2216
198803,    5.6400,    5.4912,    5.4981,    5.6598,    4.0430,    2.5721,    4.3724,    4.7638,    3.2215,    5.0357,    2.0696,    3.9356,    2.5450,    3.1666,    3.9640,    1.7776,    0.5405,   -0.1448,    1.5372,   -0.5116,    2.1845,    2.9112,   -1.0340,   -0.1183,    2.4003,    1.2837,   -1.2366,   -0.3796,   -3.5341,    1.7012,   -2.4340,   -3.1566,   -3.6405,   -6.1111,   -4.6335
198804,    2.8995,    2.2546,    1.3932,    4.1373,    2.8631,    0.5181,    1.0676,    3.8221,    3.7266,    1.3285,    1.6996,    2.8835,    3.3110,    1.7235,    0.1576,    1.1082,   -2.0522,    1.0456,    1.7660,    0.6285,    0.5798,    3.0443,    0.7672,    0.8480,   -0.1181,    0.2514,    0.0714,   -1.1132,    1.6710,    1.9291,   -0.0703,    1.1456,    1.7729,   -0.3369,   -0.0633
198805,   -0.4013,   -1.2754,   -1.3366,   -2.8030,   -2.8216,   -2.4021,   -2.9809,   -1.5306,    1.4443,   -3.9524,   -2.0944,   -2.9117,   -1.7401,   -2.8737,   -1.3040,    0.7609,    0.4715,   -1.2191,    0.5053,   -0.1067,   -1.0530,   -0.7225,    0.9881,    0.0068,   -2.2463,    2.5764,    0.6512,    0.4914,    0.4411,    5.2341,    0.8967,    0.6180,   -0.7785,    2.6026,    0.9657
198806,    6.4457,    5.1382,    5.7627,    5.0721,    5.0544,    3.8110,    6.2937,    7.2641,    5.4770,    9.4098,    8.1196,    9.0146,    8.6475,    6.7427,    4.8328,    4.0772,    7.8886,    6.4766,    7.5977,    4.6015,    7.7417,    4.0448,    2.8544,    5.7981,    7.8212,    8.4570,    6.4596,    9.3019,    4.1043,   -1.0424,    2.8264,    6.3168,    5.8275,    5.4864,    4.9779
198807,   -0.1099,   -0.3075,    0.1835,   -1.2350,   -0.0427,    0.2142,   -1.2971,   -0.5475,   -0.1070,   -0.7177,   -1.3880,   -2.3171,    0.1610,   -1.2779,   -1.3972,   -1.4599,   -0.7328,   -0.2693,   -3.6665,   -3.3461,   -2.2062,   -0.5528,    3.4267,   -2.1123,   -4.3247,   -2.0582,   -3.0208,   -2.4586,   -0.1923,    2.4250,   -0.2869,    0.3456,   -3.2747,   -0.9537,   -0.4596
198808,   -1.5387,   -2.1942,   -2.3116,   -1.2140,   -2.8723,   -4.1326,   -2.7566,   -1.9796,   -2.6273,   -4.1494,   -2.2445,   -3.7390,   -3.1236,   -2.3939,   -2.1346,    1.1152,   -1.0668,   -2.9554,   -3.0680,   -2.5188,   -3.5216,   -1.2059,   -0.7159,   -2.0079,   -1.4703,   -0.9761,   -3.2887,   -4.5982,   -3.1426,   -2.9086,   -2.1746,   -3.5480,   -3.1638,   -2.7474,   -2.3938
198809,    2.5439,    1.2823,    3.2624,    2.7732,    1.9861,    2.2453,    0.1901,    2.9996,    3.4211,    3.1485,    3.1189,    0.8291,    2.0174,    2.4668,    2.0211,    0.8047,    3.0242,    3.5504,    1.9808,    4.0329,    2.8993,    3.0086,    1.7536,    6.3316,    1.9139,    2.5713,    3.8644,    2.7267,    4.2868,    2.9066,    5.0255,    5.3526,    4.4527,    4.5423,    4.3287
198810,   -1.5272,   -1.9879,   -0.1447,   -2.1113,   -0.1743,   -4.1615,   -2.5940,    0.0460,   -0.0762,   -1.2183,   -2.3160,   -0.9989,   -1.0988,   -0.9885,    1.4841,    1.7763,    1.5551,    0.2839,   -0.6306,    0.6245,   -3.0619,    0.2094,    1.4319,    0.6635,    0.4457,    1.6486,   -1.2182,    0.4064,    3.3703,    4.2662,    4.5550,    2.0452,    0.8826,    0.7678,    0.4652
198811,   -2.2392,   -2.9801,   -4.9011,   -4.6338,   -3.4062,   -6.0121,   -6.0216,   -2.8509,   -1.0204,   -3.5747,   -2.9694,   -2.8564,   -3.5369,   -3.9722,   -3.7447,   -0.9835,   -0.0445,   -2.8785,   -2.6628,   -2.4778,   -3.2219,   -1.7803,   -2.1755,   -0.9482,   -2.8260,   -2.4575,   -2.4415,   -2.9968,   -1.1999,   -0.9316,    0.0057,   -2.2375,   -2.3873,   -1.5234,   -1.8931
198812,    3.7339,    1.3160,    4.5035,    2.9883,    2.9150,    2.2637,    2.8433,    2.9674,    3.5280,    4.7541,    4.2810,    6.5085,    3.4204,    4.6326,    3.2192,    2.1220,    2.1565,    4.1501,    4.8304,    2.6199,    3.8101,    2.5305,    1.7115,    0.4558,    1.9550,    1.0323,    2.3046,    4.1825,    1.9027,    0.4793,    0.5902,    2.9898,    3.2354,    1.3803,   -0.0985
198901,    4.3065,    5.7485,    6.1952,    4.6016,    4.6039,    4.7201,    5.5843,    4.1972,    6.0305,    4.5357,    5.9491,    3.8604,    4.3101,    4.2634,    4.9287,    1.9585,    5.7554,    4.4870,    4.0269,    5.7107,    7.4672,    5.8194,    1.6136,    4.2689,    5.2456,    4.9515,    7.0432,    8.2749,    7.7704,    4.5159,    6.2002,    6.2782,    6.6107,    7.4535,    8.0123
198902,    0.8052,    1.9141,    1.3396,    0.9400,   -0.7984,    0.1392,   -0.9338,    2.6393,    3.1468,    0.6736,    1.8635,    0.1315,    0.5561,    0.2170,    0.1124,   -0.5326,    2.0920,    1.2987,    0.0547,    0.6880,   -1.3309,    0.6669,    0.2437,   -0.6945,   -1.4928,   -0.4534,   -0.7384,    0.7239,   -2.9754,   -2.0220,   -1.9809,   -2.7196,   -2.3748,   -1.5673,   -3.1598
198903,    2.8683,    2.5063,    2.8786,    1.7758,    2.5652,    2.2962,    2.7082,    3.4260,    3.8999,    1.9729,    1.2101,    2.0176,    2.1111,    1.7233,    2.4817,    3.7033,    2.1278,    3.2491,    0.5271,    2.2867,    2.1086,    1.4466,   -2.3395,    1.9273,    1.2223,    2.4533,    0.7385,    1.5441,    1.5821,    4.9377,    4.0831,    3.3681,    1.5312,    2.4256,    4.3963
198904,    2.7152,    2.8749,    3.4950,    1.6376,    3.1101,    2.4575,    3.6115,    4.9177,    5.4719,    3.6011,    4.4596,    4.5630,    3.7246,    5.4708,    4.0201,    3.3162,    4.3586,    5.6137,    4.1483,    4.5325,    6.4169,    5.6409,    4.1991,    5.6186,    4.8176,    5.3586,    5.0594,    4.6711,    4.7393,    5.6368,    6.1202,    7.1180,    3.1165,    4.8071,    4.0870
198905,    3.0765,    2.6525,    3.0171,    4.7149,    4.9716,    3.8866,    2.4521,    5.0335,    4.4446,    2.4623,    2.4238,    3.8138,    3.6588,    4.8509,    3.9609,    4.9555,    5.4014,    3.3458,    4.2757,    5.8505,    5.6504,    3.2579,    4.2511,    3.2260,    4.1324,    5.3437,    5.2934,    4.2532,    3.2290,    3.3084,    4.4435,    6.0302,    4.9554,    6.1122,    3.5483
198906,    0.0355,    0.0043,   -2.2093,   -2.2235,   -0.6000,   -3.5989,   -1.2821,   -0.2523,    0.4373,   -2.0713,   -2.5313,   -3.8970,   -1.9326,   -4.0404,   -0.3489,    1.7469,    0.6792,   -1.3407,   -2.2329,   -0.0095,   -3.5045,    0.6562,    0.8881,    0.5771,   -1.2936,   -0.6837,    0.0559,   -1.7011,   -0.4081,    1.5548,   -0.0613,   -1.9674,   -0.1256,    0.1147,   -1.2072
198907,    2.9513,    2.6472,    2.3631,    4.6182,    2.2354,    2.3982,    2.6665,    4.4318,    3.8533,    2.9243,    4.6340,    5.4620,    4.7085,    4.0604,    6.1233,    3.7386,    3.4949,    5.9244,    5.0729,    3.7306,    3.1563,    7.0429,    5.2682,    6.9334,    8.6684,    8.8993,    6.4199,    7.9600,    9.5039,    4.2711,    7.6593,    9.1241,   10.2328,    8.9824,    6.3503
198908,    1.2399,    1.1641,    3.9461,    1.8661,    1.4297,    0.8656,    1.9266,    2.5334,    2.8015,    1.9297,    4.0963,    3.4648,    3.9885,    4.0071,    2.8334,    1.5457,    1.0780,    4.4118,    4.2855,    2.4774,    3.3368,    3.2303,   -0.3634,    2.6653,    3.3742,    4.3231,    3.9296,    3.7562,    1.6195,    1.3227,    1.8920,    2.5280,    1.4118,    2.1191,    0.8483
198909,    0.0083,    0.8398,   -0.0733,   -0.5373,   -0.4611,    1.1996,    0.2650,   -1.4021,    1.3108,   -1.5856,    1.5946,    1.7477,    0.6441,    2.6075,   -0.5361,   -0.2592,   -0.8824,   -0.5828,    0.6962,   -0.3412,   -0.3320,   -1.4112,   -0.6847,   -1.6706,   -1.4057,   -2.6264,   -0.2958,   -1.8182,    0.0021,    4.3752,    0.1097,    0.1305,    1.5089,   -0.4515,   -1.2935
198910,   -5.3179,   -5.6212,   -7.2570,   -5.7795,   -6.1673,   -5.6607,   -5.4020,   -5.9133,   -4.9344,   -6.8585,   -6.6939,   -7.0538,   -5.9668,   -6.3640,   -4.3609,   -2.1422,   -7.6387,   -5.9337,   -4.5418,   -4.8273,   -6.4363,   -4.1622,   -3.4542,   -3.9458,   -5.0420,   -2.9266,   -5.8240,   -6.3173,   -2.3206,    5.3691,   -1.2477,   -0.5127,   -1.0201,   -5.6493,   -3.7207
198911,   -0.3718,   -0.5388,   -0.3161,   -1.2589,    0.0414,   -0.5551,   -0.5807,   -0.1068,   -2.1916,   -0.1434,    0.4662,    3.1946,    1.6842,    1.6796,    2.4417,    1.2817,    0.1488,    1.8315,    0.5636,    0.8859,    0.4992,    2.5007,    2.3337,    3.4180,    0.6654,   -0.6132,    0.6283,    0.5611,    1.8393,    2.5335,    2.6983,    3.5491,    2.6270,    0.2794,   -1.0200
198912,   -1.4225,   -1.8978,   -0.9159,   -1.9277,   -0.3041,   -0.2256,   -1.3573,    0.6850,    1.7447,    0.3507,    0.3088,   -1.1038,    0.7193,    0.9899,    0.1145,   -0.4528,   -0.9299,    2.6258,   -1.2033,    1.0079,   -0.6713,    2.1822,    1.6791,    3.8807,    0.3661,    2.7245,    0.5276,    1.2920,    2.6858,    2.5463,    1.3676,    2.7575,    1.0440,   -1.6164,    2.7838
