This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
                             Small                                                2                                                 3                                                 4                                               Big                        
                             AllBM                                             AllBM                                             AllBM                                             AllBM                                             AllBM                       
                             AllNI                                             AllNI                                             AllNI                                             AllNI                                             AllNI                       
         LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB     LoAcB        2         3         4      HiAcB   
196812    3.7645    3.9303    1.4562    0.2270    0.5420    0.6549   -0.2545    0.4326   -1.2639   -0.8867   -1.7906   -1.9221   -1.1056   -0.8357   -2.6037   -3.3268   -2.5522   -2.4500   -4.1895   -2.4861   -3.3479   -5.2948   -3.3618   -4.5718   -4.2583
196901   -1.8925   -0.8062   -1.8068   -1.8652   -0.5633    0.1171    2.6189   -0.4601   -3.1216   -2.8618   -3.8097   -0.0538   -1.7714   -3.0910   -2.8263    0.1748   -0.6446   -0.3095   -1.6904   -3.5241   -0.7413   -0.9949   -1.4530    0.5775   -3.9565
196902  -10.7379   -9.5464   -9.7009   -9.8328  -11.3407   -9.3795   -7.8404   -6.3308   -8.4820  -10.2611   -7.8251   -7.3893   -7.9302   -8.5556   -7.1970   -8.0314   -7.1927   -5.0092   -7.2048   -8.8908   -5.5062   -3.1176   -3.8938   -4.7965   -5.1030
196903    3.5516    3.1122    2.7698    2.9112    2.2617    5.6761    1.8078    4.4039    4.0072    2.2089    7.6118    2.2701    1.2578    1.6771    1.7226    0.3926    4.6793    2.4753    1.3546    3.9100    4.5332    4.1821    4.7674    4.0026    0.9994
196904    0.7624    0.8454    1.4836   -1.0206   -0.1278    3.8797    1.9292    0.1638   -0.0641    1.4532    2.6532    0.4830    0.8733    1.8902    1.6561    0.1172    2.7499    1.5500    0.3738    3.5495    0.4940    3.7040    0.3071    3.6410    3.6745
196905    1.8037    4.3943   -1.4596    0.3877    0.3612   -0.7026   -1.0443   -0.6048   -1.8046   -1.8164   -0.4425    1.2282    1.9487   -0.9391   -0.9274   -0.0675    1.5775    0.2787    0.0466   -1.8645   -0.4820    0.8100    1.6887    0.5937   -2.5106
196906  -13.1319  -13.3606  -12.6260  -12.2210  -14.6666  -12.3313  -10.1935   -9.3540  -11.0402  -11.3694  -10.2597  -10.4228   -9.5895   -9.0689  -13.1632  -11.5996   -8.9681   -6.7195   -7.2732   -8.5201   -6.9182   -3.1957   -7.6529   -4.4104   -5.1903
196907  -10.2199   -9.2992  -10.3142  -11.4677  -13.5849  -10.1608   -9.8329   -9.6162   -8.5375   -9.7998   -9.8843   -7.3417   -8.3463   -7.4650  -11.7839   -7.4677   -8.1510   -9.0236   -7.1229   -8.8790   -5.4412   -6.2280   -4.9185   -7.3250   -6.8313
196908    3.9844    5.4349    2.8867    4.7806    4.4174    7.9144    4.4213    3.8367    4.8584    6.9991   10.0040    5.9199    8.9943    5.5114   10.8366    7.9515    6.6210    6.7006    4.9368   10.2030    6.1214    4.9557    4.2050    3.7532    9.1347
196909   -2.8546   -3.7369   -4.8396   -2.3923   -4.6422   -0.2104    2.5588    1.9944   -0.9878   -0.5007   -0.0317   -1.3996   -0.0404   -0.8852   -0.4059    0.0585   -2.4448   -0.8580   -0.1349   -2.5093   -1.7590   -4.6380   -1.9736    0.4108   -1.8193
196910   13.0035    9.1277    9.2418    9.3860   12.7189    7.9426    8.9794    8.0997    8.7761   10.2733    7.5789    6.0685    9.2280    6.5761    8.4368    9.3919    6.0102    7.7144    5.5371    8.3433    4.6511    3.4367    3.8850    5.8893    7.9401
196911   -7.9211   -6.2518   -7.2936   -4.5906   -7.9947   -5.1201   -3.7967   -4.3296   -3.5567   -4.0413   -7.4232   -3.6755   -3.5555   -4.2353   -5.3254   -3.4715   -1.8518   -2.9397   -3.2157   -4.2936   -2.2415   -2.0083   -3.4516   -2.0213   -2.6176
196912   -8.1000   -8.0871   -7.5573   -4.8922   -7.9907   -6.2261   -6.5029   -7.3845   -4.8130   -3.7598   -3.2301   -2.9654   -3.9248   -2.4092   -2.9433   -2.1824   -2.3374   -1.7147   -2.8473   -1.5258   -0.6070   -1.5011   -0.9938   -0.8341   -4.1373
197001   -2.9233   -3.4302   -3.8829   -3.4190   -5.2100   -7.0054   -6.9269   -2.4766   -3.5147   -6.3113   -8.2333   -5.9846   -3.1362   -8.8454   -7.1841   -9.0316   -8.9499   -6.6062   -7.8198   -9.0252   -8.4993   -7.7507   -8.0281   -8.3341   -6.9974
197002    1.6230    2.9249    5.4542    3.5434    2.8254    4.3297    3.1930    5.6324    2.2683    2.8420    7.3711    3.9411    3.2563    2.7025    5.0590    5.8246    7.0295    6.9139    5.1829    2.8195    4.6287    6.5204    5.8651    4.1526    4.6891
197003   -3.3558   -3.8454   -2.4156   -5.5545   -5.1406   -4.5637   -2.2883   -1.7121   -2.2080   -3.5478   -1.0203    0.1425   -2.3456   -0.2703   -5.1467   -2.0051    0.7065   -2.6941    1.3638   -1.4646   -1.2283   -0.5635    1.4128   -0.6411   -2.0707
197004  -19.2732  -16.5262  -14.9628  -15.5349  -20.1996  -20.2805  -14.3183  -14.0078  -16.1904  -20.4910  -18.0019   -9.0897  -14.1877  -14.4182  -21.1925  -13.6642  -10.8171  -11.9109  -14.9248  -16.6244  -11.8825   -7.2488   -7.0609  -10.0171  -11.8448
