This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197711,   8.14,   7.77,   7.67,   5.15,   3.62,   4.30
197712,   2.05,   1.31,   2.71,  -0.25,   0.72,   0.43
197801,  -1.62,  -3.06,  -3.91,  -5.48,  -5.75,  -6.24
197802,   3.00,   1.85,   1.98,  -1.45,  -0.64,  -2.51
197803,   8.22,   6.18,   6.27,   3.85,   3.23,   2.03
197804,   7.27,   7.27,   9.43,   9.72,   7.42,  10.21
197805,   7.01,   4.53,   7.48,   2.73,   1.45,   1.59
197806,  -0.39,   1.34,  -0.38,  -1.02,  -1.79,  -1.03
197807,   5.03,   5.64,   6.45,   5.87,   5.42,   6.02
197808,   9.67,   7.37,   8.63,   4.13,   3.31,   4.35
197809,  -0.23,  -1.18,  -1.26,   0.57,  -0.67,  -2.00
197810, -20.91, -17.55, -22.40, -10.79,  -8.87, -11.38
197811,   5.11,   4.96,   7.89,   3.76,   2.81,   3.40
197812,   1.90,   1.46,   3.23,   0.52,   1.68,   1.99
197901,  10.11,   7.77,   8.46,   5.37,   4.41,   3.89
197902,  -2.10,  -2.56,  -2.92,  -2.72,  -2.77,  -3.95
197903,  10.18,   7.53,  10.78,   7.97,   5.08,   6.82
197904,   3.66,   1.68,   2.70,   0.06,   0.48,   0.56
197905,  -1.04,  -1.40,  -0.98,  -2.41,  -1.49,  -0.96
197906,   5.20,   5.74,   6.08,   5.51,   3.71,   5.53
197907,   3.01,   3.42,   2.48,   2.79,   0.75,   2.14
197908,   7.55,   7.67,   8.57,   5.97,   5.44,   7.85
197909,  -0.37,  -0.82,  -0.07,   0.83,  -0.16,  -0.58
197910, -11.29, -10.08,  -9.86,  -5.76,  -6.65,  -7.70
197911,   7.61,   7.13,  10.11,   6.17,   5.13,   7.61
197912,   6.56,   6.01,   7.06,   2.04,   1.51,   3.57
198001,   8.36,   7.33,   8.35,   8.91,   5.14,   4.92
198002,  -2.02,  -1.97,  -1.48,   3.00,  -0.48,  -3.66
198003, -18.00, -16.48, -18.89, -13.41,  -9.28,  -9.86
198004,   6.66,   5.55,   6.17,   5.52,   4.69,   4.85
198005,   7.60,   7.80,   8.40,   6.44,   5.06,   6.63
198006,   3.92,   4.72,   5.18,   2.79,   3.26,   3.37
198007,   8.32,   8.92,  12.97,   7.25,   5.84,   7.51
198008,   5.53,   5.66,   6.82,   1.72,   1.72,   2.01
198009,   2.73,   2.46,   4.85,   2.21,   1.76,   5.74
198010,   3.33,   3.69,   4.60,   1.79,   1.21,   2.94
198011,   5.37,   5.09,  10.36,   8.63,  10.00,  15.11
198012,  -2.63,  -1.96,  -4.52,  -3.40,  -2.40,  -3.89
198101,   0.49,   0.91,  -2.88,  -3.03,  -2.96,  -8.35
198102,   1.74,   2.54,   0.10,   3.13,   2.53,   0.26
198103,   6.37,   7.07,   9.12,   6.53,   2.69,   4.83
198104,   3.18,   3.27,   3.21,  -0.30,  -1.48,  -2.76
198105,   2.78,   2.77,   4.47,  -0.40,   0.91,   1.10
198106,  -0.40,   0.23,  -4.18,  -0.47,   0.00,  -2.06
198107,  -2.27,  -2.04,  -2.56,  -3.57,  -0.69,   2.78
198108,  -7.26,  -5.57,  -9.01,  -5.66,  -4.72,  -6.84
198109,  -7.39,  -5.85,  -9.48,  -5.08,  -3.30,  -8.59
198110,   7.59,   7.08,   8.70,   4.80,   3.93,   9.33
198111,   2.85,   4.95,   2.24,   4.85,   4.58,   4.28
198112,  -0.91,  -1.05,  -2.70,  -1.72,  -2.07,  -4.68
198201,  -2.79,  -2.28,  -4.64,  -2.26,  -0.50,  -4.64
198202,  -3.40,  -1.90,  -6.53,  -2.27,  -3.40,  -8.30
198203,   0.44,   0.33,  -2.21,  -0.73,   0.49,  -2.80
198204,   5.32,   5.02,   6.40,   6.24,   3.27,   5.51
198205,  -2.35,  -1.65,  -3.01,  -3.66,  -2.63,  -2.86
198206,  -2.00,  -1.34,  -3.59,  -0.86,  -0.42,  -4.63
198207,  -0.57,  -0.84,  -2.33,  -2.25,  -1.51,  -3.61
198208,   8.75,   8.53,   8.43,  13.21,  11.76,  13.20
198209,   3.75,   4.93,   2.91,   0.96,   1.49,   1.87
198210,  13.35,  12.95,  14.78,  14.32,   9.82,  13.63
198211,  10.02,   8.96,   8.83,   5.22,   3.91,   5.78
198212,   2.15,   0.75,   1.17,   0.94,   2.12,  -0.27
198301,   6.82,   5.59,   8.16,   4.14,   3.42,   3.75
198302,   7.14,   6.81,   4.18,   2.52,   2.68,   3.42
198303,   6.89,   5.47,   3.19,   5.25,   2.88,   3.36
198304,   8.46,   7.64,   7.20,   8.28,   7.51,   6.37
198305,   6.85,   5.01,   7.28,  -0.27,  -1.37,   2.40
198306,   5.06,   4.37,   4.36,   2.38,   3.36,   4.87
198307,  -1.76,  -1.26,  -3.36,  -1.22,  -2.85,  -5.32
198308,  -3.52,  -2.00,  -3.81,   3.17,   1.34,  -0.41
198309,   2.14,   2.46,   1.33,   1.41,   2.27,   1.02
198310,  -4.76,  -4.15,  -7.33,  -0.79,  -0.75,  -4.20
198311,   5.14,   4.77,   3.96,   3.04,   1.93,   2.92
198312,  -0.76,  -0.94,  -2.21,  -0.15,  -0.76,  -1.21
198401,  -0.37,  -0.17,  -2.51,   0.29,   0.03,  -3.53
198402,  -5.53,  -4.85,  -5.84,  -2.40,  -3.33,  -5.19
198403,   1.78,   1.02,   0.87,   2.31,   1.00,   1.07
